"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Flowers","Marigold","Market Information","marigold market rate","Recommended for marigold market rate : 30 - 50 Rs./Kg","TAMILNADU","DHARMAPURI","PAPPIREDDIPATTY                                   ","2014-09-02 11:29:49.930"
"KHARIF","HORTICULTURE","Flowers","Tuberose","Market Information","tuberose market rate","recommended as Rs. 60/kg.","TAMILNADU","DHARMAPURI","PALAKKODU                                         ","2014-09-02 13:57:43.467"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Seeds and Planting Material","sowing season for chilli","recommended for sowing season for chilli sep-oct","TAMILNADU","DHARMAPURI","PALAKKODU                                         ","2014-09-02 14:26:58.047"
"KHARIF","AGRICULTURE","Others","Others","Weather","dharmapuri Weather report","recommended for today rainy day in dharmapuri","TAMILNADU","DHARMAPURI","DHARMAPURI                                        ","2014-09-02 16:05:18.447"
"KHARIF","AGRICULTURE","Others","Others","Weather","dharmapuri Weather report","recommended for today rainy day in dharmapuri","TAMILNADU","DHARMAPURI","DHARMAPURI                                        ","2014-09-02 16:05:18.447"
"KHARIF","HORTICULTURE","Flowers","Tuberose","	Plant Protection	","red spider mite in tuberose","recommended for spray dicofol 2ml/lit","TAMILNADU","DHARMAPURI","DHARMAPURI                                        ","2014-09-02 17:51:39.240"
"KHARIF","HORTICULTURE","Fruits","Acid Lime","Seeds and Planting Material","contact to kvk dept","REcommended for contact to kvk dept number 04342-248040","TAMILNADU","DHARMAPURI","HARUR                                             ","2014-09-02 18:42:03.180"
"KHARIF","HORTICULTURE","Vegetables","Snap Melon","Nutrient Management","snake gourd top dressing","recommended for apply urea 20 g +potash 10 giram/plant.","TAMILNADU","DHARMAPURI","HARUR                                             ","2014-09-02 19:14:32.507"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","Market Information","market price of turmeric","recommended for market price of turmeric is rs.Bulb -5139 to 6139,Finger-5181 to 6212 /quintol","TAMILNADU","DHARMAPURI","MORAPPUR                                          ","2014-09-02 20:51:22.983"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","flower drops (fusarium) in tomato","Recommended for spray carbendazim 2gm / lit","TAMILNADU","DHARMAPURI","HARUR                                             ","2014-09-03 08:41:20.113"
