"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","Fertilizer Use and Availability","Turmeric top dressing fertilizer","recommended for Apply urea 20 kg + potash 70 kg + micro food 5 kg / ac","TAMILNADU","ERODE","PERUNDURAI                                        ","2014-10-01 07:13:08.753"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather forecast","recommended for today is a rainy day","TAMILNADU","ERODE","PERUNDURAI                                        ","2014-10-01 07:28:44.130"
"KHARIF","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","banana fertilizer management","Recommended for apply urea 150gm+superphosphate 200gm+potash 200gm /plant","TAMILNADU","ERODE","NAMBIYUR                                          ","2014-10-01 07:39:13.123"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","onion blight","recommended for spray mancozeb 2 gram / 1 litre of water","TAMILNADU","ERODE","AMMAPET                                           ","2014-10-01 08:01:46.240"
"KHARIF","AGRICULTURE","Others","Others","Weather","Paddy case worm","recommended for Spray quinalphos 2ml/litre","TAMILNADU","ERODE","PERUNDURAI                                        ","2014-10-01 08:03:45.543"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","Pre emergency Weed control in maize","recommended for Spray atrazin 2gm/lit","TAMILNADU","ERODE","ANDIYUR                                           ","2014-10-01 08:27:22.993"
"KHARIF","HORTICULTURE","Fruits","Banana","Field Preparation","banana seedlings availability","recommended for contact ro banana research station , trichy","TAMILNADU","ERODE","PERUNDURAI                                        ","2014-10-01 08:32:27.160"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Weed Management","weed management for sugarcane","recommended for only hand weeding","TAMILNADU","ERODE","SATYAMANGALAM                                     ","2014-10-01 08:45:32.653"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Nutrient Management","Foliar nutrition in bhendi","recommended for spray water soluble fertilizer 19-19-19 5 gm /lit of water","TAMILNADU","ERODE","PERUNDURAI                                        ","2014-10-01 08:52:03.210"
"KHARIF","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","Banana fertilizer management","recommended for Apply urea 150 gm+ super phosphate 200 gm + potash 200 gm on 3rd, 5th, 7th month","TAMILNADU","ERODE","GOPICHETTIPALAIYAM                                ","2014-10-01 09:01:38.490"
"KHARIF","HORTICULTURE","Flowers","Tuberose","	Plant Protection	","red spider mite in tuberose","recommended for spray dicofol 2ml/lit","TAMILNADU","ERODE","SATYAMANGALAM                                     ","2014-10-01 09:22:55.233"
"KHARIF","HORTICULTURE","Flowers","Jasmine","	Plant Protection	","bud worm in jasmine","recommended for Spray Profenophos 2ml/l","TAMILNADU","ERODE","SATYAMANGALAM                                     ","2014-10-01 09:53:24.953"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","Wilt in banana","recommended for drench with soil for copper oxychloride 2.5gm/lit of water","TAMILNADU","ERODE","NAMBIYUR                                          ","2014-10-01 11:53:07.197"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","Market Information","TURMERIC MARKET RATE COIMBATORE","RECOMMENDED FOR TURMERIC MARKET RATE COIMBATORE RS 4739-5555	 /QUINTAL","TAMILNADU","ERODE","TALAVADI                                          ","2014-10-01 12:23:19.770"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","coconut fertilizer management","recommended for apply 1.300 kg urea + 2 kg superphosphate + 2 kg potash + 5 kg neem cake + 50 kg FYM + 1 kg micro nutrient /tree /year on two split","TAMILNADU","ERODE","THOOCKANAICKENPALAIYAM                            ","2014-10-01 12:32:04.203"
