"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","recommended for spray Profenofos 2ml / lit","TAMILNADU","KANCHEEPURAM","ST.THOMAS MOUNT                                   ","2014-11-01 07:11:17.450"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Seeds and Planting Material","Varieties and season of sowing for bhendi","recommended Varieties and season of sowing for bhendi.season June - August and February . Varieties: MDU 1, Arka Anamika, Arka Abhay, Parbhani Kranti, Co 3 (hybrid), Co Bh H-1, Pusa varieties and season of sowing for bhendi Sawani and Varsha Upkar","TAMILNADU","KANCHEEPURAM","MADURANTAKAM                                      ","2014-11-01 07:37:50.637"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","shoot and fruit borer in brinjal","Recommended for spray quinalphos 2ml + neem oil 3ml + teepol 1ml / lit of water","TAMILNADU","KANCHEEPURAM","KANCHIPURAM                                       ","2014-11-01 07:38:50.770"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","soil testing lab address","Senior Agricultural Officer , STL , Panchupettai Kanchipuram","TAMILNADU","KANCHEEPURAM","KANCHIPURAM                                       ","2014-11-01 08:09:08.317"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy fertilizer management","recommended for apply ammonium sulphate 30kg / ac","TAMILNADU","KANCHEEPURAM","TIRUKKALUKUNRAM                                   ","2014-11-01 08:17:47.507"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","weeds control in paddy","Recommended for apply Butachlor 500gm + sand 20kg / ac 3rd day after planting","TAMILNADU","KANCHEEPURAM","CHITHAMUR                                         ","2014-11-01 10:48:27.077"
"RABI","HORTICULTURE","Fruits","Mango","Cultural Practices","pruning for mango","recommended for pruning during August – September","TAMILNADU","KANCHEEPURAM","THIRUPORUR                                        ","2014-11-01 13:25:42.320"
"KHARIF","AGRICULTURE","Others","Others","Training and Exposure Visits","kvk contact number.","recommended 0442-7452371 number.","TAMILNADU","KANCHEEPURAM","MADURANTAKAM                                      ","2014-11-01 18:01:25.343"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","Pre emergence Weed control in paddy","Recomended for Apply Pendimethalin 500 ml + sand 20 kg/ac","TAMILNADU","KANCHEEPURAM","THIRUPORUR                                        ","2014-11-01 18:55:12.273"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy top dressing","recommended for apply urea 25 kg + potash 15 kg/ acre.","TAMILNADU","KANCHEEPURAM","KANCHIPURAM                                       ","2014-11-01 19:31:48.860"
"KHARIF","HORTICULTURE","Vegetables","Watermelon","Cultural Practices","season for watermelon","recommended for the season; November – December","TAMILNADU","KANCHEEPURAM","KANCHIPURAM                                       ","2014-11-01 19:58:15.227"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf folder in paddy","spray chloropyriphos 2ml/lit of water","TAMILNADU","KANCHEEPURAM","MADURANTAKAM                                      ","2014-11-01 21:02:00.013"
"KHARIF","HORTICULTURE","Fruits","Mango","Fertilizer Use and Availability","mango fertilizer management","Recommended for apply urea 200gm + potash 300gm + super phosphate 200gm / tree","TAMILNADU","KANCHEEPURAM","THIRUPORUR                                        ","2014-11-01 21:44:13.233"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Asking about roof garden","Recommended for contact to horticulture department : 044 - 27222400","TAMILNADU","KANCHEEPURAM","ST.THOMAS MOUNT                                   ","2014-11-01 21:56:39.223"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Root rot in paddy","Recommended for apply Pseudomonas fluorescens 1kg + FYM 20kg / ac","TAMILNADU","KANCHEEPURAM","KANCHIPURAM                                       ","2014-11-02 06:53:53.170"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Nutrient Management","groundnut basal fertilizer","Recommended for  apply DAP 5Okg + gypsum 75 kg /ac,","TAMILNADU","KANCHEEPURAM","KANCHIPURAM                                       ","2014-11-02 07:26:27.553"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","thrips in sesame","Recommended for spray imidacloprid 2ml / lit","TAMILNADU","KANCHEEPURAM","CHITHAMUR                                         ","2014-11-02 08:13:30.940"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Cercospora leaf spot in bhendi","Recommended for spray mancozeb 2gm / lit","TAMILNADU","KANCHEEPURAM","KANCHIPURAM                                       ","2014-11-02 08:31:46.073"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report in kancheepuram","recommended have no rain","TAMILNADU","KANCHEEPURAM","THIRUPORUR                                        ","2014-11-02 11:41:52.300"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Tapioca (Cassava)","	Plant Protection	","whitefly in tapioca","Recommended for spray Dimethoate 30 EC 2 ml/lit","TAMILNADU","KANCHEEPURAM","MADURANTAKAM                                      ","2014-11-02 13:18:11.460"
"RABI","AGRICULTURE","Sugar and Starch Crops","Tapioca (Cassava)","	Plant Protection	","LEAF CURL IN TAPIOCA","recommended for spray methyl demeton 2 ml/lt","TAMILNADU","KANCHEEPURAM","MADURANTAKAM                                      ","2014-11-02 14:20:29.760"
