"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Banana","Nutrient Management","banana fertilizer management","recommended for apply urea 150 gram + ssp 200 gram + potash 200 gram / tree","TAMILNADU","KANNIYA KUMARI","MUNCHIRA                                          ","2014-10-01 07:54:18.210"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","Red palm weevil in coconut","RECOMMENDED FOR Red palm weevil in coconut ecommended for Root feeding Monocrotophos 10ml + water 10ml / tree","TAMILNADU","KANNIYA KUMARI","RAJAKKAMANGALAM                                   ","2014-10-02 15:55:37.497"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","Sigatoka leaf spot in banana","Recommended for spray carbendazim 2gm / lit.","TAMILNADU","KANNIYA KUMARI","THACKALAI                                         ","2014-10-02 16:01:55.217"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","contact to kvk dept","Recommended for contact to kvk dept number 04561-281759","TAMILNADU","KANNIYA KUMARI","THOVALA                                           ","2014-10-02 17:11:57.470"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","asking about kisan credit card details","Recommended contact to nationalized bank","TAMILNADU","KANNIYA KUMARI","THOVALA                                           ","2014-10-03 09:51:01.060"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Nutrient Management","coconut fertilizer management","recommended for apply urea 650 gram + ssp 1 kilo + potash 1 kilo + fym 25 kilo + neem cake 2.5 kilo + microfood 0.5 kilo  / acre","TAMILNADU","KANNIYA KUMARI","KURUNTHANCODE                                     ","2014-10-03 10:23:42.400"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Seeds and Planting Material","pechiparai contact number","recommended to contact Phone:04651-281192/ 281191","TAMILNADU","KANNIYA KUMARI","KURUNTHANCODE                                     ","2014-10-04 08:34:40.573"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","paddy TRI 1 seeds availability details","Recommended ADAC & RI Trichy District contact no. 0431 - 2906100","TAMILNADU","KANNIYA KUMARI","KURUNTHANCODE                                     ","2014-10-04 08:44:42.550"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","Stem borer in mango","Monocrotophos (36 WSC) 10 ml is soaked in absorbent cotton and placed on the affected stem by removing the bark of 2.5 cm²","TAMILNADU","KANNIYA KUMARI","KILLIYOOR                                         ","2014-10-04 17:06:19.423"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Fertilizer Use and Availability","chilli foliar application","Recommended for chilli foliar spray for 19:19:19 50 gm/tank","TAMILNADU","KANNIYA KUMARI","THACKALAI                                         ","2014-10-04 20:37:02.060"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Seeds and Planting Material","weed management in coconut","recommended for  spray glyphosate 3ml/lit","TAMILNADU","KANNIYA KUMARI","AGASTISWARAM                                      ","2014-10-05 08:24:41.787"
"RABI","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","fertilizer management for coconut","RECOMMENDED FOR fertilizer management for coconut apply 1.300 kg urea + 2 kg superphosphate + 2 kg potash + 5 kg neem cake + 50 kg FYM + 1 kg micro nutrient /tree /year on two split","TAMILNADU","KANNIYA KUMARI","MUNCHIRA                                          ","2014-10-05 15:33:36.800"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","Agriculture department contact number","Recommended for contact number: 04651 - 233565 219219","TAMILNADU","KANNIYA KUMARI","AGASTISWARAM                                      ","2014-10-05 20:13:26.750"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather forecast","recommended for today is a rainy day","TAMILNADU","KANNIYA KUMARI","AGASTISWARAM                                      ","2014-10-05 20:22:00.620"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","Bio-Pesticides and Bio-Fertilizers","Leaf eating caterpillar control in bitter gourd","Recommended for spray neem oil 3 ml/litre of water","TAMILNADU","KANNIYA KUMARI","THACKALAI                                         ","2014-10-06 21:04:12.790"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","flower drop control in mango","recommended for Spray planofix 5ml/tank","TAMILNADU","KANNIYA KUMARI","AGASTISWARAM                                      ","2014-10-07 15:45:12.650"
"RABI","ANIMAL HUSBANDRY","Animal","Goat","Disease Management","Veterinary nagarcoil department number","recommended for Veterinary nagarcoil department number 04652-286843","TAMILNADU","KANNIYA KUMARI","AGASTISWARAM                                      ","2014-10-07 20:42:38.560"
"KHARIF","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","Fertilizer management for banana","Recommended for apply urea 150gm+superphosphate 200gm+potash 200gm /plant","TAMILNADU","KANNIYA KUMARI","KURUNTHANCODE                                     ","2014-10-07 20:53:12.823"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Seeds and Planting Material","coconut seedling availability","recommended number for horticulture department is 04652-279776","TAMILNADU","KANNIYA KUMARI","KURUNTHANCODE                                     ","2014-10-07 21:00:21.353"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","contact to fishery dept","Recommended for contact to fishery dept number 04652-227460","TAMILNADU","KANNIYA KUMARI","THOVALA                                           ","2014-10-08 16:52:31.500"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","leaf spot in banana","recommended for spray mancozeb 2 gm /lit of water","TAMILNADU","KANNIYA KUMARI","MELPURAM                                          ","2014-10-08 20:03:46.883"
"RABI","HORTICULTURE","Plantation Crops","Coconut","Government Schemes","KURUNTHANKODU AGRICULTURE DEPARTMENT NUMBER","RECOMMENDED FOR AGRICULTURE DEPARTMENT NUMBER CONTACT 04651-200440","TAMILNADU","KANNIYA KUMARI","KILLIYOOR                                         ","2014-10-09 15:06:01.563"
"KHARIF","AGRICULTURE","Others","Others","Seeds","forestry department no of kanniyakumari","recommended number for kanniyakumari forestry department 04652-232205","TAMILNADU","KANNIYA KUMARI","RAJAKKAMANGALAM                                   ","2014-10-09 15:51:36.027"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","subsidy detail for kitchen garden","recommended contact to nearest horticulture dept","TAMILNADU","KANNIYA KUMARI","KILLIYOOR                                         ","2014-10-10 09:58:05.573"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Tapioca (Cassava)","	Plant Protection	","cassava mosaic virus in tapioca","Recommended for Spray quinalphos 2ml / lit","TAMILNADU","KANNIYA KUMARI","AGASTISWARAM                                      ","2014-10-10 12:43:37.350"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Tapioca (Cassava)","Fertilizer Use and Availability","Top dressing fertilizer management for tapioca","recommended for apply urea 35 kg,+ potash 75 kg / ac","TAMILNADU","KANNIYA KUMARI","AGASTISWARAM                                      ","2014-10-10 21:01:08.113"
"KHARIF","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Animal Nutrition","asking about poultry farming details","Recommended Veterinary University Training and Research Centre, parakkai, nagarkovil, kanniyakumari, contact no. 04652 - 286843","TAMILNADU","KANNIYA KUMARI","KURUNTHANCODE                                     ","2014-10-11 07:58:35.280"
"KHARIF","HORTICULTURE","Fruits","Banana","Market Information","top dressing for banana","recommended for apply MN mixture 50gm/tree","TAMILNADU","KANNIYA KUMARI","AGASTISWARAM                                      ","2014-10-11 10:27:59.607"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","coconut fertilizer management","recommended for apply urea 1/2kg, super phosphate 2kg, pottash 2 kg, neem cake 5kg, farm yard manure 50kg /tree/year","TAMILNADU","KANNIYA KUMARI","MELPURAM                                          ","2014-10-11 15:31:50.630"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","coconut fertilizer management","recommended for apply urea 1/2kg, super phosphate 2kg, pottash 2 kg, neem cake 5kg, farm yard manure 50kg /tree/year","TAMILNADU","KANNIYA KUMARI","MELPURAM                                          ","2014-10-11 15:39:51.687"
