"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Drum Stick","Field Preparation","moringa sowing season","Recommended for moringa sowing season : July – October","TAMILNADU","KARUR","ARAVAKURICHI                                      ","2014-09-02 10:02:04.780"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","soil test lab contact no.","recommended 7598179401   number.","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-09-02 14:00:39.957"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","soil test lab contact no.","recommended 7598179401   number.","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-09-02 14:00:39.957"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","soil test lab address","recommended for 151/7, Thillainagar, II Street, Rayanur, Thirumanilaiyur (po), Karur-639 003.","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-09-02 14:09:16.780"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","soil test lab address","recommended for 151/7, Thillainagar, II Street, Rayanur, Thirumanilaiyur (po), Karur-639 003.","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-09-02 14:09:16.780"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Market Information","brinjal market information","recommended for brinjal market information 20/kg","TAMILNADU","KARUR","KADAVUR                                           ","2014-09-02 15:30:41.187"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Paddy nursery fertilizer","recommended for apply DAP 2kg/cent","TAMILNADU","KARUR","KULITTALAI                                        ","2014-09-02 15:42:25.050"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Ash weevils in brinjal","recommended for spray  carbaryl 2gm/lit of water","TAMILNADU","KARUR","KULITTALAI                                        ","2014-09-02 16:44:56.000"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","shoot and fruit borer in brinjal","Recommended for spray chloripyriphos 2ml / lit.","TAMILNADU","KARUR","THOGAIMALAI                                       ","2014-09-02 17:32:03.757"
"KHARIF","HORTICULTURE","Vegetables","Drum Stick","Market Information","moringa market rate","recommended as Rs.20/kg.","TAMILNADU","KARUR","K.PARAMATHY                                       ","2014-09-02 20:00:02.297"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","thrips in sesame","Recommended for spray imidacloprid 2ml / lit","TAMILNADU","KARUR","KARUR                                             ","2014-09-03 08:18:48.357"
