"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","recommended for today is a rainy day","TAMILNADU","NAMAKKAL","NAMAKKAL                                          ","2014-10-01 08:05:18.647"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Market Information","market rate for copra","Namagiripettai 0.1 Tonnes NR other 9300 9900 9600 Rs/Quintal 
Namakkal 0.1 Tonnes NR other 9300 9500 9400 Rs/Quintal","TAMILNADU","NAMAKKAL","MOHANUR                                           ","2014-10-01 11:24:03.150"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Tapioca (Cassava)","	Plant Protection	","top dreesing for tapioca","recommended for apply urea 40kg + potash 80kg / ac","TAMILNADU","NAMAKKAL","TIRUCHENGODU                                      ","2014-10-01 14:16:55.737"
"KHARIF","AGRICULTURE","Fodder Crops","Other","Government Schemes","Kudirai Masal seed availability","Recommended for Kudirai Masal seed availability contact number: 0422-6611228","TAMILNADU","NAMAKKAL","ERUMAPATTY                                        ","2014-10-01 14:33:12.380"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","coconut fertilizer management","Recommended for apply urea 1.300kg + super phosphate 2kg + pottash 2 kg + neem cake 5kg + farm yard manure 50kg + micro mixture 1kg /tree/year","TAMILNADU","NAMAKKAL","NAMAGIRIPET                                       ","2014-10-01 15:22:13.803"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Leaf spot in tomato","recommended for spray mancozeb + carbendazim (SAAF)2.5gm/lit of water","TAMILNADU","NAMAKKAL","NAMAGIRIPET                                       ","2014-10-01 16:05:18.157"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","Red Rot in sugarcane","Recommendd for soil drenching with Carbandazim 2gm / lit.","TAMILNADU","NAMAKKAL","PARAMATHY                                         ","2014-10-01 16:49:04.350"
"KHARIF","HORTICULTURE","Vegetables","Onion","Market Information","Onion market rate","Recommended for onion market rate: Rs. 15 - 35/kg","TAMILNADU","NAMAKKAL","NAMAKKAL                                          ","2014-10-01 17:15:10.037"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","block level agri department contact number","recommended for the contact number;04288 252609","TAMILNADU","NAMAKKAL","TIRUCHENGODU                                      ","2014-10-01 17:16:08.180"
"KHARIF","HORTICULTURE","Flowers","Zentedeschia","Agriculture Mechanization","Nerium flower drop","Recommended for nerium flower drop spray planofix 5ml/liter of water","TAMILNADU","NAMAKKAL","NAMAGIRIPET                                       ","2014-10-01 18:46:41.097"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Paddy basal fertilizer","recommended for Apply DAP 50 kg + zinc sulphate 15 kg/ac","TAMILNADU","NAMAKKAL","TIRUCHENGODU                                      ","2014-10-01 20:21:50.577"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather for cast in namakkal","recommended for the for cast ;today rain","TAMILNADU","NAMAKKAL","VENNANDUR                                         ","2014-10-01 21:58:28.807"
"KHARIF","AGRICULTURE","Oilseeds","Sunflower (suryamukhi)","Nutrient Management","sunflower top dressing fertilizer management","Recommended for apply urea 15kg / ac","TAMILNADU","NAMAKKAL","ERUMAPATTY                                        ","2014-10-02 09:03:23.600"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","brinjal root rot","recommended for soil drenching with copper oxy chloride 2.5 gram / 1 litre of water","TAMILNADU","NAMAKKAL","TIRUCHENGODU                                      ","2014-10-02 12:34:15.070"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Fertilizer Use and Availability","Brinjal top dressing fertilizer","Recommended for apply urea 40 kg + potash 15 kg/ac","TAMILNADU","NAMAKKAL","TIRUCHENGODU                                      ","2014-10-02 15:20:39.250"
"KHARIF","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","weeds control in banana","Recommended for spray Glyposite 800gm + ammonium sulphate 800ml / ac / 200 litter of water","TAMILNADU","NAMAKKAL","VENNANDUR                                         ","2014-10-02 17:29:31.690"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Fertilizer Use and Availability","Basal fertilizer management for maize","Recommended for apply urea 30kg+superphosphate 150kg+potash 30kg/ac","TAMILNADU","NAMAKKAL","VENNANDUR                                         ","2014-10-02 18:18:59.600"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Cultural Practices","Sesame sowing season","Recommended for sesame sowing season: Margazhipattam Anippattam","TAMILNADU","NAMAKKAL","PALLIPALAYAM                                      ","2014-10-02 19:35:12.423"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Basal fertilizer management for cotton","Recommended for apply urea 33kg+superphosphate 100kg+potash 26kg/ac","TAMILNADU","NAMAKKAL","NAMAKKAL                                          ","2014-10-03 08:54:21.023"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Tapioca (Cassava)","Nutrient Management","topioca basal fertilizer management","recommended for apply urea 39 kilo + super 225 kilo + potash 80 kilo / acre","TAMILNADU","NAMAKKAL","MOHANUR                                           ","2014-10-03 09:56:34.697"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Tapioca (Cassava)","Market Information","market rate for topioca","coimbatore rate - Rs 15.00 -20.00 / kilo","TAMILNADU","NAMAKKAL","NAMAGIRIPET                                       ","2014-10-03 11:16:07.750"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Fertilizer Use and Availability","sesame basal fertilizer","recommended for apply urea 28 kg, super phosphate 55 kg, potash 15 kg/ac","TAMILNADU","NAMAKKAL","ERUMAPATTY                                        ","2014-10-03 11:28:34.520"
"KHARIF","HORTICULTURE","Flowers","Marigold","Fertilizer Use and Availability","Marigold top dressing fertilizer","recommended for Apply urea 40 kg + micro food 3 kg / ac","TAMILNADU","NAMAKKAL","NAMAKKAL                                          ","2014-10-03 13:00:36.270"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","cotton foliar application details","Recommended for spray TNAU cotton plus 2.5kg / 200 lit / ac","TAMILNADU","NAMAKKAL","NAMAGIRIPET                                       ","2014-10-03 14:04:23.243"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Fertilizer Use and Availability","Sesame white seed variety /season","RECOMMENDED FOR  Sesame white seed variety -SVPR 1, Karthigaipattam (Oct - Nov)","TAMILNADU","NAMAKKAL","TIRUCHENGODU                                      ","2014-10-03 15:19:50.607"
"RABI","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","Post emergence Weed control for sesame","RECOMMENDED FOR Post emergence Weed control for sesame Apply alachlor 500 ml/ac","TAMILNADU","NAMAKKAL","MALLASAMUDRAM                                     ","2014-10-03 15:39:14.823"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","root rot in  turmeric","ercommendd for spray Copper oxychloride 2.5gm/lit of water","TAMILNADU","NAMAKKAL","PARAMATHY                                         ","2014-10-03 15:39:43.263"
"RABI","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","Better bunchy fruit size increase in banana","RECOMMENDED FOR Better bunchy fruit size increase in banana Spray potassium sulphate 10 gm/lit","TAMILNADU","NAMAKKAL","NAMAKKAL                                          ","2014-10-03 20:37:11.337"
"KHARIF","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","mosaic virus in beans","recommended for spray dimethoate (rogor)2.5ml + neem oil 3ml+ teepol 1ml/lit of water","TAMILNADU","NAMAKKAL","ERUMAPATTY                                        ","2014-10-04 08:43:40.177"
"KHARIF","HORTICULTURE","Vegetables","Colocasia (Arvi, Arbi)","Nutrient Management","top dressing in colocasia","recommended for apply urea 42kg +potash 72kg /ac","TAMILNADU","NAMAKKAL","NAMAKKAL                                          ","2014-10-04 11:57:13.507"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy basal fertilizer management","Recommended for apply DAP 50 kg + zinc sulphate 10 kg + neem cake 10kg + FYM 10ton /ac","TAMILNADU","NAMAKKAL","NAMAKKAL                                          ","2014-10-04 13:40:24.883"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy basal fertilizer management","Recommended for apply DAP 50 kg + zinc sulphate 10 kg + neem cake 10kg + FYM 10ton /ac","TAMILNADU","NAMAKKAL","NAMAKKAL                                          ","2014-10-04 13:40:39.273"
"KHARIF","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Management","Ectoparasites in chiken","recommended for dusting with butox.","TAMILNADU","NAMAKKAL","ERUMAPATTY                                        ","2014-10-04 14:38:33.990"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","Fertilizer Use and Availability","blackgram fertilizer management","Recommended for blackgram fertilizer management
apply urea 23kg + super phosphate 62.5kg + potash 8kg / ac","TAMILNADU","NAMAKKAL","NAMAGIRIPET                                       ","2014-10-04 15:05:50.597"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Fertilizer Use and Availability","tomato foliar application details","Recommended for tomato foliar spray for 19:19:19 50 gm/tank","TAMILNADU","NAMAKKAL","NAMAGIRIPET                                       ","2014-10-04 16:12:41.117"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","paddy SRI seed rate","paddy SRI seed rate : 2 - 3 kg / ac","TAMILNADU","NAMAKKAL","ERUMAPATTY                                        ","2014-10-04 18:13:59.107"
"RABI","HORTICULTURE","Vegetables","Brinjal","Fertilizer Use and Availability","brinjal top dressing fertilizer management","Recommended for brinjal top dressing fertilizer management
 apply urea 42kg / ac","TAMILNADU","NAMAKKAL","TIRUCHENGODU                                      ","2014-10-04 19:28:43.707"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Tapioca (Cassava)","Nutrient Management","tapioca foliar spray","recommended for 13:0:45- 5 g/lit.","TAMILNADU","NAMAKKAL","NAMAKKAL                                          ","2014-10-05 06:52:52.773"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","Fertilizer Use and Availability","top dressing in turmeric","recommended for  apply urea 25kg+potash 70kg/ac","TAMILNADU","NAMAKKAL","NAMAKKAL                                          ","2014-10-05 08:21:02.253"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report for namakkal.","recommended as chances for raining","TAMILNADU","NAMAKKAL","NAMAGIRIPET                                       ","2014-10-05 09:32:14.680"
"KHARIF","AGRICULTURE","Millets","Buck Wheat (Kaspat)","Seeds","KUDIRAIVALI seed","recommended 04286-266345 number to contact kvk.","TAMILNADU","NAMAKKAL","ERUMAPATTY                                        ","2014-10-05 10:24:53.710"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","grount nut red hairy caterpillar","recommmended for spray thiochloprid 2 g/lit.","TAMILNADU","NAMAKKAL","MALLASAMUDRAM                                     ","2014-10-05 10:42:02.280"
"KHARIF","AGRICULTURE","Others","Others","Weather","asking about for weather details","Recommended for today rainy day","TAMILNADU","NAMAKKAL","VENNANDUR                                         ","2014-10-05 14:39:42.670"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","contact to agriculture engineering dept","Recommended for contact to agriculture engineering dept number 04286 275472","TAMILNADU","NAMAKKAL","ELACIPALAYAM                                      ","2014-10-05 15:14:19.083"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","Bore well subsidy details","recommended for contact to agriculture office and near bank","TAMILNADU","NAMAKKAL","NAMAGIRIPET                                       ","2014-10-05 15:20:02.543"
"RABI","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","Fertilizer management for banana","RECOMMENDED FOR Fertilizer management for banana apply urea 150gm+superphosphate 200gm+potash 200gm /plant","TAMILNADU","NAMAKKAL","NAMAGIRIPET                                       ","2014-10-05 16:41:08.617"
"KHARIF","AGRICULTURE","Others","Others","Market Information","regulated market namakkal contact no","recommended 04286 -281434 number.","TAMILNADU","NAMAKKAL","SENDAMANGALAM                                     ","2014-10-05 18:14:50.830"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Top dressing fertilizer management for paddy","Recommended for apply urea 25 kg + potash 15 kg + Micro food 5 kg/ac","TAMILNADU","NAMAKKAL","PALLIPALAYAM                                      ","2014-10-05 18:20:34.917"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","Fertilizer management for cotton","Recommended for apply Urea 48 kg + potash 20 kg + micro food 5 kg/ac","TAMILNADU","NAMAKKAL","NAMAKKAL                                          ","2014-10-05 19:04:17.510"
"KHARIF","HORTICULTURE","Vegetables","Mushroom","Training and Exposure Visits","asking about mushroom training details","Recommended for given TNAU Mushroom dept. contact no. 0422 - 6611336","TAMILNADU","NAMAKKAL","TIRUCHENGODU                                      ","2014-10-06 07:10:41.837"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Varieties","maize variety","maize variety Co 6, Co(Bc) 1, COH(M) 4, Co1","TAMILNADU","NAMAKKAL","ERUMAPATTY                                        ","2014-10-06 07:51:29.683"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather detail in namakal","have no rain in namakal","TAMILNADU","NAMAKKAL","ERUMAPATTY                                        ","2014-10-06 08:08:05.920"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","season for paddy","recommended season for paddy (Dec - Jan)","TAMILNADU","NAMAKKAL","RASIPURAM                                         ","2014-10-06 08:20:45.520"
"KHARIF","AGRICULTURE","Others","Others","Weather","namakkal district rain details","having medium rain today","TAMILNADU","NAMAKKAL","RASIPURAM                                         ","2014-10-06 08:37:28.967"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Nutrient Management","tomato foliar application details","Recommended for tomato foliar spray for 19:19:19 50 gm/tank","TAMILNADU","NAMAKKAL","NAMAGIRIPET                                       ","2014-10-06 09:00:36.750"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Nutrient Management","foliar spray in maize","recommended for  spray of TNAU Maize Maxim @ 3 kg/acre in 200 litres of water at tassel initiation and at grain filling stages improves grain filling, grain yield and drought tolerance.","TAMILNADU","NAMAKKAL","NAMAGIRIPET                                       ","2014-10-06 09:52:06.877"
"KHARIF","AGRICULTURE","Others","Others","Weed Management","weed management for wasteland","Recommended for spray glyphosate  10 ml and 20 g ammonium sulphate/litre of water","TAMILNADU","NAMAKKAL","VENNANDUR                                         ","2014-10-06 10:25:50.840"
"KHARIF","AGRICULTURE","Millets","Kodo Millet (Kodara/Varagu)","Weed Management","Aphids in varagu","recommended for spray methyl demeton 2ml+neem oil 3ml+ teepol 1ml/lit of water","TAMILNADU","NAMAKKAL","NAMAKKAL                                          ","2014-10-06 12:23:07.970"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather detail in namakal","have no rain in namakal","TAMILNADU","NAMAKKAL","TIRUCHENGODU                                      ","2014-10-06 12:25:25.073"
