"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy basal fertilizer","rcommended for apply Dap 50 kg + zinc sulphate 10 kg /acre.","TAMILNADU","PUDUKKOTTAI","TIRUMAYAM                                         ","2014-09-01 19:05:39.280"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","root rot in redgram","recommended soil application for trichoderma viride 2kg+FYM 50kg/ac","TAMILNADU","PUDUKKOTTAI","KARAMBAKUDI                                       ","2014-09-02 07:11:49.950"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Market Information","groundnut market rate","recommended as Rs.3500-3750/quintal","TAMILNADU","PUDUKKOTTAI","PUDUKKOTTAI                                       ","2014-09-02 11:22:22.080"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Market Information","groundnut market rate","recommended as Rs.3500-3750/quintal","TAMILNADU","PUDUKKOTTAI","PUDUKKOTTAI                                       ","2014-09-02 11:22:22.080"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Nutrient Management","button shed in coconut","Recommended for Root feeding of the tonic @ 200 ml / palm twice a year at six months interval","TAMILNADU","PUDUKKOTTAI","GANDARAVAKOTTAI                                   ","2014-09-02 12:06:14.730"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Market Information","groundnut market information","recommended for groundnut market information Rs 6990/quintal","TAMILNADU","PUDUKKOTTAI","GANDARAVAKOTTAI                                   ","2014-09-03 09:16:21.767"
"KHARIF","HORTICULTURE","Fruits","Acid Lime","	Plant Protection	","thrips in citrus","Recommended for spray neemoil 3ml+teepal  1ml/lit","TAMILNADU","PUDUKKOTTAI","ARANTANGI                                         ","2014-09-03 10:25:04.433"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","solar pump subsity","recommended contact to agri engg department 044 - 24350154","TAMILNADU","PUDUKKOTTAI","KUNNANDARKOIL                                     ","2014-09-03 11:55:51.090"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Nutrient Management","bhendi top dressing","recommended for apply urea 40 kg + potash 30 kg/ acre","TAMILNADU","PUDUKKOTTAI","GANDARAVAKOTTAI                                   ","2014-09-03 14:01:30.177"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Nutrient Management","bhendi top dressing","recommended for apply urea 40 kg + potash 30 kg/ acre","TAMILNADU","PUDUKKOTTAI","GANDARAVAKOTTAI                                   ","2014-09-03 14:01:30.177"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Varieties","paddy sowing season and variety","Recommended for paddy sowing season : September - October and variety : ADT 38, ADT 39, TRY 1, ASD 19, CO 43, ADT (R) 46, CO (R) 48, CO (R) 49, CO (R) 50, ADT (R) 49","TAMILNADU","PUDUKKOTTAI","THIRUVARANKULAM                                   ","2014-09-04 09:09:48.877"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Fertilizer Use and Availability","top dressing in bhendi","recommended for apply urea 60kg/ac","TAMILNADU","PUDUKKOTTAI","KARAMBAKUDI                                       ","2014-09-04 11:04:08.810"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT IN PUDHUKOTTAI","recommended have no rain","TAMILNADU","PUDUKKOTTAI","PUDUKKOTTAI                                       ","2014-09-04 13:34:38.097"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT IN PUDHUKOTTAI","recommended have no rain","TAMILNADU","PUDUKKOTTAI","PUDUKKOTTAI                                       ","2014-09-04 13:34:38.097"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Cultural Practices","chilli season","Recommended for chilli season June - July","TAMILNADU","PUDUKKOTTAI","ANNAVASAL                                         ","2014-09-04 14:36:56.570"
"KHARIF","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","root rot in green gram","Recommended for drench with carbendazim 2gm/liter of  water","TAMILNADU","PUDUKKOTTAI","VIRALIMALAI                                       ","2014-09-04 15:20:20.503"
