"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Nutrient Management","Bhendi zinc Deficiency Symptoms","recommended for Spray zinc sulphate 5 gm/lit","TAMILNADU","THENI","CHINNAMANUR                                       ","2014-10-01 06:50:07.847"
"KHARIF","HORTICULTURE","Vegetables","Lab Lab","	Plant Protection	","lab lab root rot","recommended for soil drencing with coppar oxy chloride 2.5 gram / 1 litre of water","TAMILNADU","THENI","CHINNAMANUR                                       ","2014-10-01 08:22:08.863"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Seeds and Planting Material","THENI HORTICULTURE DEPARTMENT NUMBER","RECOMMENDED FOR THENI HORTICULTURE DEPARTMENT NUMBER CONTACT 04366-224861","TAMILNADU","THENI","KADAMALAIKUNDRU MYLADUMPARAI                      ","2014-10-01 11:30:06.897"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","brinjal root rot","recommended for soil drenching with copper oxy chloride 2.5 gram / 1 litre of water","TAMILNADU","THENI","KADAMALAIKUNDRU MYLADUMPARAI                      ","2014-10-01 11:47:12.060"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","leaf curl in chilli","Recommended for spray methyldemeton 2ml / lit.","TAMILNADU","THENI","ANDIPATTI                                         ","2014-10-01 21:57:06.510"
"KHARIF","HORTICULTURE","Fruits","Banana","Nutrient Management","Calcium Deficiency in banana","Recommended for spray calcium chloride 100gm / 300 lit","TAMILNADU","THENI","PERIYAKULAM                                       ","2014-10-02 09:59:49.493"
"KHARIF","HORTICULTURE","Fruits","Banana","Market Information","market rate for banana","Coimbatore Market rate G-9 20.00/Kg","TAMILNADU","THENI","PERIYAKULAM                                       ","2014-10-02 10:10:56.130"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Sowing Time and Weather","season & variety for black gram","recommended for Puratasipattam (September-November)
VBN 3, VBN(Bg) 4, VBN (Bg) 5, TNAU (Blackgram) VBN 6, TNAU (Blackgram) Co 6, APK 1","TAMILNADU","THENI","UTTAMAPALAIYAM                                    ","2014-10-02 12:25:41.977"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","flower shed in tomato","RECOMMENDED FOR flower shed in tomato Recommended for spray planofix 5 ml/10lit of water","TAMILNADU","THENI","ANDIPATTI                                         ","2014-10-02 14:34:07.830"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","top dreesing for cucumber","recommended for spray urea 50gm/pit","TAMILNADU","THENI","CHINNAMANUR                                       ","2014-10-02 15:59:56.760"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Paddy basal fertilizer","Recommended for apply DAP 50 kg + zinc sulphate 10 kg/ac+neem cake 10kg/ac","TAMILNADU","THENI","PERIYAKULAM                                       ","2014-10-02 16:03:55.283"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","Soil testing techniques  contact details","recommended for Contact to block level ADA office 9442022064","TAMILNADU","THENI","UTTAMAPALAIYAM                                    ","2014-10-02 17:41:49.243"
"RABI","HORTICULTURE","Vegetables","Chillies","Fertilizer Use and Availability","Chilli top dressing fertilizer management","Recommended for Chilli top dressing fertilizer management apply urea 25kg / ac","TAMILNADU","THENI","ANDIPATTI                                         ","2014-10-02 17:44:11.693"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Fertilizer Use and Availability","Basal fertilizer management for tomato","Recommended for  apply urea 63 kg + superphosphate 250 kg + potash 33kg/ac","TAMILNADU","THENI","ANDIPATTI                                         ","2014-10-02 17:50:30.223"
"KHARIF","AGRICULTURE","Others","Others","Market Information","market price for cocoon","recommended for the price for cocoon; 215Rs/kg","TAMILNADU","THENI","BODINAYAKKANUR                                    ","2014-10-03 18:05:09.410"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","weed management for coconut","recommended for spray atrazine 1.0 kg / ha","TAMILNADU","THENI","PERIYAKULAM                                       ","2014-10-03 18:17:34.930"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Damping Off in tomato","Recommended for apply Trichoderma viride 1 kg + FYM 10 kg / ac","TAMILNADU","THENI","UTTAMAPALAIYAM                                    ","2014-10-03 21:36:09.697"
"KHARIF","HORTICULTURE","Fruits","Mango","Nutrient Management","Flower drop in mango ,","recommended for spray planofix 5ml/10 lit of water","TAMILNADU","THENI","PERIYAKULAM                                       ","2014-10-04 12:30:56.940"
