"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Fodder Crops","Guinea Grass","	Field Preparation	","Forage Crops","Fodder Cholam , Fodder Cumbu , Fodder Maize , Fodder Cowpea , Kolukattai Pullu , Guinea Grass , Cumbu Napier , Deenanath Grass , Kudirai Masal	, Velimasal , Muyal Masal , Soundal","TAMILNADU","THOOTHUKUDI","VILATHIKULAM                                      ","2014-10-01 10:40:45.483"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","basal application for blackgram","recommended for SSP 150kg/ac","TAMILNADU","THOOTHUKUDI","OTTAPIDARAM                                       ","2014-10-02 10:18:47.103"
"KHARIF","AGRICULTURE","Others","Others","Weed Management","Weed management for wasteland","spray glyphosate 10 ml and 20 g ammonium sulphate/litre of water.","TAMILNADU","THOOTHUKUDI","VILATHIKULAM                                      ","2014-10-02 10:49:28.487"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Tomato Septoria Leaf Spot","recommended for Spray carbandazim 2 gm /lit","TAMILNADU","THOOTHUKUDI","OTTAPIDARAM                                       ","2014-10-02 13:08:05.137"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","Fertilizer Use and Availability","blackgram fertilizer management","blackgram fertilizer management	Recommended for spray DAP 20gm / lit","TAMILNADU","THOOTHUKUDI","KOVILPATTI                                        ","2014-10-02 19:27:31.470"
"KHARIF","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Fertilizer Use and Availability","foliar application details for greengram","recommended for foliar spray 19:19:19 50 gm/tank","TAMILNADU","THOOTHUKUDI","PUDUR                                             ","2014-10-03 11:06:58.353"
"KHARIF","AGRICULTURE","Others","Others","Seeds","block level agri department contact number","recommended for the contact number;04632222130","TAMILNADU","THOOTHUKUDI","KOVILPATTI                                        ","2014-10-03 14:41:58.627"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","coconut rhinocerous beetle","recommended for Apply mixture of neem seed powder + sand (1:2) @150 g/palm","TAMILNADU","THOOTHUKUDI","SATTANKULAM                                       ","2014-10-03 15:23:24.710"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Fertilizer Use and Availability","Black gram sowing season","recommended for Black gram sowing season - Adipattam (June-August) , Puratasipattam (September-November), Rice fallows (January)","TAMILNADU","THOOTHUKUDI","SATTANKULAM                                       ","2014-10-03 17:04:47.343"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Fertilizer Use and Availability","Paddy foliar application","recommended for Paddy foliar spray for urea 100 gm, DAP 200 g, potash 100 gm/tank","TAMILNADU","THOOTHUKUDI","PUDUR                                             ","2014-10-03 19:35:15.203"
