"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Cultural Practices","season for green gram","recommended season for green gram Puratasipattam (September - October)","TAMILNADU","TIRUPUR","Udumalaipettai","2014-10-01 07:03:54.577"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","cutworm in cauliflower","recommended spray for chlorpyriphos 2ml/lit of water","TAMILNADU","TIRUPUR","Madathukulam","2014-10-01 07:12:23.130"
"KHARIF","HORTICULTURE","Vegetables","Drum Stick","Fertilizer Use and Availability","fertilizer management in drumstick","recommended apply 6:12:12 NPK 10 gm per plant","TAMILNADU","TIRUPUR","Udumalaipettai","2014-10-01 11:29:40.077"
"KHARIF","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","green gram mosic virus","recommended for spray imidachlorpride 2 ml / 1 litre of water","TAMILNADU","TIRUPUR","Avanashi","2014-10-01 11:38:57.330"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Fertilizer Use and Availability","Top dressing fertilizer management for maize","recommended for  apply urea 25 kg + potash 30 kg /ac","TAMILNADU","TIRUPUR","Kundadam","2014-10-01 14:30:18.110"
"KHARIF","HORTICULTURE","Vegetables","Curry Leaf","	Plant Protection	","Leaf spot in curryleaf","recommended for spray mancozeb + carbendazim (SAAF)2.5gm/lit of water","TAMILNADU","TIRUPUR","Palladam","2014-10-01 15:00:50.557"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","Fertilizer Use and Availability","turmeric top fertilizer management","Recommended for apply micro food 5 kg/acre","TAMILNADU","TIRUPUR","Kangyam","2014-10-01 15:31:39.490"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Market Information","COPRA MARKET RATE Singampuneri","RECOMMENDED FOR COPRA MARKET RATE SingampuneriRS 4000-5000	/QUINTAL","TAMILNADU","TIRUPUR","Kundadam","2014-10-01 15:35:48.310"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Market Information","market rate for copra","Recommended for market rate for copra Rs 9200-10310/quintal","TAMILNADU","TIRUPUR","Kundadam","2014-10-01 15:42:51.050"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather report & Rainfall forcasting","recommended for today is a rainy day","TAMILNADU","TIRUPUR","Udumalaipettai","2014-10-01 16:20:19.457"
"KHARIF","AGRICULTURE","Others","Others","Weather","asking about weather details","Recommended for today rainy day","TAMILNADU","TIRUPUR","Kangyam","2014-10-01 16:21:37.397"
"KHARIF","AGRICULTURE","Oilseeds","Sunflower (suryamukhi)","Cultural Practices","Sunflower seed rate","Recommended for sunflower seed rate: 2 - 3/ac","TAMILNADU","TIRUPUR","Dharapuram","2014-10-01 17:21:50.480"
