"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Paddy basal fertilizer","Apply DAP 50 kg + zinc sulphate 15 kg/ac+neem cake 10kg/ac","TAMILNADU","TIRUVANNAMALAI","VANDAVASI                                         ","2014-08-01 06:51:23.000"
"JAYAD","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Market Information","groundnut market rate","rs 5011-5423/quintal","TAMILNADU","TIRUVANNAMALAI","THANDRAMPET                                       ","2014-08-01 06:57:30.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","paddy variety","Samba (Aug) CR 1009, ADT 44, Bhavani, I.White Ponni, CO 43, Paiyur 1, TRY 1*,  TRY 3*, CORH 4, CO (R) 48, CO (R) 49, CO (R) 50, ADT (R) 49,  TNAU Rice ADT 50","TAMILNADU","TIRUVANNAMALAI","ARANI                                             ","2014-08-01 07:49:21.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton variety","LRA 5166, SVPR 2, SVPR 4, Surabhi, fruit fly snakegourd : spray dichlorvos 2ml+teepol 1ml+neemoil 3ml/lit of water","TAMILNADU","TIRUVANNAMALAI","KALASAPAKKAM                                      ","2014-08-01 08:23:43.000"
"JAYAD","HORTICULTURE","Vegetables","Ash Gourd (Petha)","	Plant Protection	","Ash gourd Leaf beetles and leaf caterpillars","spray Methyl demeton 25 EC 1 ml/lit.","TAMILNADU","TIRUVANNAMALAI","CHENGAM                                           ","2014-08-01 08:41:39.000"
"JAYAD","HORTICULTURE","Fruits","Banana","	Plant Protection	","cotton variety","LRA 5166, SVPR 2, SVPR 4, Surabhi, fruit fly snakegourd : spray dichlorvos 2ml+teepol 1ml+neemoil 3ml/lit of water","TAMILNADU","TIRUVANNAMALAI","KALASAPAKKAM                                      ","2014-08-01 10:12:35.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather report tirunelveli","today have rain","TAMILNADU","TIRUVANNAMALAI","POLUR                                             ","2014-08-01 11:13:34.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","Cultural Practices","growth regulators for maize","applay MAIZE MAXIM3 kg / acre/	200 litres of water","TAMILNADU","TIRUVANNAMALAI","PUDUPALAYAM                                       ","2014-08-01 11:18:20.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","Fertilizer Use and Availability","Department of Millets , TNAU, Coimbatore","Phone:0422-2450507","TAMILNADU","TIRUVANNAMALAI","PUDUPALAYAM                                       ","2014-08-01 12:02:05.000"
"JAYAD","HORTICULTURE","Vegetables","Ash Gourd (Petha)","Fertilizer Use and Availability","ash gourd top fertilizer management","apply urea 20 gram / pit at 30 days","TAMILNADU","TIRUVANNAMALAI","POLUR                                             ","2014-08-01 13:05:20.000"
