"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Lab Lab","	Plant Protection	","Spotted pod borer in lab lab","recommended for Spotted pod borer in lab labans:spray quinalphos 2ml+neem oil 3ml+teepol 1ml/lit of water","TAMILNADU","TIRUVANNAMALAI","KALASAPAKKAM                                      ","2014-09-02 07:14:17.853"
"KHARIF","HORTICULTURE","Vegetables","Lab Lab","	Plant Protection	","Spotted pod borer in lab lab","recommended for Spotted pod borer in lab labans:spray quinalphos 2ml+neem oil 3ml+teepol 1ml/lit of water","TAMILNADU","TIRUVANNAMALAI","KALASAPAKKAM                                      ","2014-09-02 07:37:27.157"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Nutrient Management","coconut fertilizer management.","recommended for apply 1.300 kg urea + 2 kg superphosphate + 2 kg potash + 5 kg neem cake + 50 kg FYM + 1 kg micro nutrient /tree /year on two split","TAMILNADU","TIRUVANNAMALAI","TIRUVANNAMALAI                                    ","2014-09-02 08:20:55.507"
"KHARIF","HORTICULTURE","Fruits","Papaya","Nutrient Management","papaya fertilizer management.","recommended for urea 100g urea+ super phosphate 300g + potash 80 kg/plant.","TAMILNADU","TIRUVANNAMALAI","TIRUVANNAMALAI                                    ","2014-09-02 08:50:50.920"
"KHARIF","HORTICULTURE","Fruits","Papaya","Nutrient Management","papaya fertilizer management.","recommended for urea 100g urea+ super phosphate 300g + potash 80 kg/plant.","TAMILNADU","TIRUVANNAMALAI","TIRUVANNAMALAI                                    ","2014-09-02 08:52:49.690"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Tapioca (Cassava)","Nutrient Management","tapioca basal fertilizer management","Recommended for apply urea 40kg + super phosphate 225kg + potash 80kg / ac","TAMILNADU","TIRUVANNAMALAI","THURINJAPURAM                                     ","2014-09-02 09:35:46.007"
"KHARIF","HORTICULTURE","Flowers","Tuberose","Cultural Practices","tuberose foliar spray","recommended for spray zinc sulphate 5 g+ ferrous sulphate 2 g + boron 1 g/lit.","TAMILNADU","TIRUVANNAMALAI","CHENGAM                                           ","2014-09-02 10:09:22.333"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","papaya mealy bug.","recommended for spray profenophos 2ml + neem oil 3ml/lit.","TAMILNADU","TIRUVANNAMALAI","TIRUVANNAMALAI                                    ","2014-09-02 10:23:25.940"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy foliar application details","Recommended for apply urea 100gm + super 200gm + potash 100gm / tank","TAMILNADU","TIRUVANNAMALAI","POLUR                                             ","2014-09-02 12:03:25.500"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Top dressing fertilizer management for paddy","recommended for Top dressing fertilizer management for paddyApply urea 25 kg + potash 15 kg + neem cake 5 kg + Microfood 10 kg/ ac","TAMILNADU","TIRUVANNAMALAI","CHEYYAR                                           ","2014-09-02 12:14:07.827"
"KHARIF","AGRICULTURE","Others","Others","Seeds","forest extension centre contact no.","recommended 04175-209384 number.","TAMILNADU","TIRUVANNAMALAI","CHENGAM                                           ","2014-09-02 13:29:04.763"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Top dressing fertilizer management for paddy","recommended for Top dressing fertilizer management for paddy Apply urea 25 kg + potash 15 kg + neem cake 5 kg + Microfood 10 kg/ ac","TAMILNADU","TIRUVANNAMALAI","THANDRAMPET                                       ","2014-09-02 13:38:47.027"
"KHARIF","HORTICULTURE","Flowers","Jasmine","Fertilizer Use and Availability","jasmine fertilizer management","Recommended for apply urea 30gm + super phosphate 60gm + potash 60gm / plant","TAMILNADU","TIRUVANNAMALAI","PUDUPALAYAM                                       ","2014-09-02 14:40:36.830"
