"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","leaf spot in turmeric","recommended for spray mancozeb 2 g/lit.","TAMILNADU","VELLORE","TIMIRI                                            ","2014-09-02 08:05:29.180"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report for vellore","recommended for no chances for rain","TAMILNADU","VELLORE","TIMIRI                                            ","2014-09-02 08:25:34.617"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in rice.","recommended for spray catap hydrochloride 2g/lit.","TAMILNADU","VELLORE","NEMILI                                            ","2014-09-02 08:29:14.463"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","shoot and fruit borer in brinjal","Recommended for spray quinalphos 2ml + neem oil 3ml + teepol 1ml / lit of water","TAMILNADU","VELLORE","PERANAMBATTU                                      ","2014-09-02 10:49:45.523"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","shoot and fruit borer in brinjal","Recommended for spray quinalphos 2ml + neem oil 3ml + teepol 1ml / lit of water","TAMILNADU","VELLORE","PERANAMBATTU                                      ","2014-09-02 10:49:45.523"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","borewell subsidy","recommended 0416 22 66 603 number to contact aed.","TAMILNADU","VELLORE","TIMIRI                                            ","2014-09-02 11:00:33.447"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","fruit borer in brinjal","recommended for spray quinalphos 2 ml/lit.","TAMILNADU","VELLORE","PERANAMBATTU                                      ","2014-09-02 11:09:40.703"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","fruit borer in brinjal","recommended for spray quinalphos 2 ml/lit.","TAMILNADU","VELLORE","PERANAMBATTU                                      ","2014-09-02 11:09:40.703"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Cultural Practices","chilli season","recommended for sowing at september-october.","TAMILNADU","VELLORE","KAVERIPAKKAM                                      ","2014-09-02 12:10:25.470"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","Market Information","market rate bitter gourd","recommended for market rate bitter gourd rs 18/kg","TAMILNADU","VELLORE","ANAICUT                                           ","2014-09-02 13:57:47.373"
"KHARIF","HORTICULTURE","Vegetables","Cluster Bean","Market Information","cluster bean market rate","recommended as rs 25/kg.","TAMILNADU","VELLORE","ARAKKONAM                                         ","2014-09-02 15:14:57.420"
"KHARIF","HORTICULTURE","Fruits","Orange","Bio-Pesticides and Bio-Fertilizers","bio fertilizer application for orange","recommended for Apply azospirillum 50gm +phosphobacteria 50g+ FYM 5kg/tree","TAMILNADU","VELLORE","ANAICUT                                           ","2014-09-02 15:22:13.920"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report in vellore","recommended have rain","TAMILNADU","VELLORE","WALAJAPET                                         ","2014-09-02 15:31:20.893"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","aphids in Cotton","recommended for Spray imidachloprid 2 ml / lit of water","TAMILNADU","VELLORE","TIRUPPATTUR                                       ","2014-09-02 16:00:40.603"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","aphids in Cotton","recommended for Spray imidachloprid 2 ml / lit of water","TAMILNADU","VELLORE","TIRUPPATTUR                                       ","2014-09-02 16:00:40.603"
