"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","fertilizers in maize","30kg urea/acr","TELANGANA","KARIMNAGAR","DHARMAPURI                                        ","2014-12-01 09:00:57.473"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","trips in chillie","RECOMMENDED TO SPRAY FIPRONIL(REGENT, BILLGRAN, SALVO) 400 ML PER ACRE","TELANGANA","KARIMNAGAR","KATHALAPUR                                        ","2014-12-01 09:34:52.867"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","spodoptera in groundnut","RECOMMENDED TO SPRAY EMAMECTIC BENZOATE (PROCLAIM, SPOLIT) 80 GRAMS PER ACRE","TELANGANA","KARIMNAGAR","BHEEMDEVARAPALLI                                  ","2014-12-01 11:57:12.133"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in rice","RECOMMENDED TO SPRAY CHLORPYRPHOS(KORBAN, DURSBAN, LETHAL, CLASSIC, RADAR) 500 ML PER ACRE","TELANGANA","KARIMNAGAR","BHEEMDEVARAPALLI                                  ","2014-12-01 13:24:39.340"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in rice","RECOMMENDED TO SPRAY CHLORPYRPHOS(KORBAN, DURSBAN, LETHAL, CLASSIC, RADAR) 500 ML PER ACRE","TELANGANA","KARIMNAGAR","BHEEMDEVARAPALLI                                  ","2014-12-01 13:24:39.433"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","stem borer in maize","recommended  chloripyriphos  2.5ml/lit water","TELANGANA","KARIMNAGAR","YELLAREDDIPET                                     ","2014-12-02 19:00:58.353"
"RABI","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","SUCKING PEST","RECOMENDEDD ROGAR 2ML/LIT WATER","TELANGANA","KARIMNAGAR","BEJANKI                                           ","2014-12-03 08:19:54.977"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","recomended 3869minimum  ,4050maximum","TELANGANA","KARIMNAGAR","HUSNABAD                                          ","2014-12-03 12:10:05.213"
"RABI","ANIMAL HUSBANDRY","Animal","Goat","Animal Nutrition","VETERNARY","VETERNARY	040-24015316         040-23311720,  9848406211-koteshwar rao (knr)
040-kisan kumar-9848066708","TELANGANA","KARIMNAGAR","ELIGAID                                           ","2014-12-03 16:48:25.203"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","tomarrow plentyof sun shine","TELANGANA","KARIMNAGAR","JAGTIAL                                           ","2014-12-03 18:44:59.070"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","powderymildew  in chilli","recommended kerathin 400ml/acre","TELANGANA","KARIMNAGAR","IBRAHIMPATNAM                                     ","2014-12-04 16:26:50.253"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","zn deficiency  in paddy","recommended  zinc  sulphate 2g/lit water","TELANGANA","KARIMNAGAR","GOLLAPALLI                                        ","2014-12-04 17:24:39.393"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","LEAFHOPPERS IN PULSES","RECOMMENDED TO SPRAY CHLORPYRPHOS(KORBAN, DURSBAN, LETHAL, CLASSIC, RADAR) 500 ML PER ACRE","TELANGANA","KARIMNAGAR","KODIMIAL                                          ","2014-12-05 08:13:31.210"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","fruit rot in chilli","recomended tilt 200ml/acre","TELANGANA","KARIMNAGAR","HUZURABAD                                         ","2014-12-05 15:48:20.417"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Weed Management","weed management","recomended stomp 1.3ml/acre","TELANGANA","KARIMNAGAR","HUZURABAD                                         ","2014-12-05 16:38:46.487"
"RABI","HORTICULTURE","Condiments and Spices","Ginger","Seeds and Planting Material","ginger  variety","recommended siddipet ginger  variety","TELANGANA","KARIMNAGAR","JAGTIAL                                           ","2014-12-06 08:14:52.600"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Seeds","maize seeds","recommended  DHM  117 ,115","TELANGANA","KARIMNAGAR","SAIDAPUR                                          ","2014-12-06 10:26:18.270"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEEDICIDS IN MAIZE","ATRAZINE(ATRATOP , SOLARO ) 800 GRAMS PER ACRE","TELANGANA","KARIMNAGAR","KATHALAPUR                                        ","2014-12-07 10:15:19.393"
