"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","partly sunny and comfortable","TELANGANA","MEDAK","MEDAK                                             ","2014-11-01 07:37:59.437"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","partly cloudy and sunny","TELANGANA","MEDAK","RAMAYAMPET                                        ","2014-11-01 11:35:58.407"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Varieties","scientist no","Vishanathan ADA(Training) Medak	809 M Karunakar Reddy AD6696333A(STL)	8096696336","TELANGANA","MEDAK","MULUG                                             ","2014-11-01 12:37:57.887"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","partly sunny and comfortable","TELANGANA","MEDAK","CHEGUNTA                                          ","2014-11-01 12:43:17.783"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","no rain","TELANGANA","MEDAK","RAMAYAMPET                                        ","2014-11-01 17:23:18.287"
"RABI","AGRICULTURE","Others","Others","Weather","weather","normal","TELANGANA","MEDAK","KOHIR                                             ","2014-11-02 16:24:36.130"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","mushroom cultivation phn no:","MUSHROOM	9912655843—RAJESHWARI Madam","TELANGANA","MEDAK","RAMCHANDRAPURAM                                   ","2014-11-02 18:23:55.993"
"RABI","AGRICULTURE","Others","Others","Weather","weather","normal","TELANGANA","MEDAK","SIDDIPET                                          ","2014-11-02 18:53:34.557"
"RABI","AGRICULTURE","Others","Others","Storage","RangaReddy(S.T.L)","Assistant Director of Agriculture, (Soil Testing Laboratory) ARI, Rajendranagar, Hyderabad.","TELANGANA","MEDAK","SHIVAMPET                                         ","2014-11-03 07:12:52.600"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","HORTICULTURE","HORTICULTURE	1800-425-0080, 1800-425-0040","TELANGANA","MEDAK","KONDAPAK                                          ","2014-11-03 10:10:25.307"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","POLY HOUSE","POLY HOUSE	9849058420(hyd)
Shade net, 040-20050701,9966907733","TELANGANA","MEDAK","KONDAPAK                                          ","2014-11-03 10:11:32.977"
"RABI","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","Weed Management","sowing  after 5days  weedmanagement","no recomendation","TELANGANA","MEDAK","MIRDODDI                                          ","2014-11-04 13:22:20.863"
"RABI","AGRICULTURE","Pulses","Faba Bean (Horse Bean/windsor Bean)","	Plant Protection	","weather","normal","TELANGANA","MEDAK","TEKMAL                                            ","2014-11-04 15:33:58.660"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","weather","normal","TELANGANA","MEDAK","NARAYANKHED                                       ","2014-11-04 17:18:34.267"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","leaf eating catterpiller","recomended carbaril 3g/lit water","TELANGANA","MEDAK","DUBBAK                                            ","2014-11-05 07:25:56.350"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Market Information","maize rate","jogipet minimum   1070   maximum 1082","TELANGANA","MEDAK","KANGTI                                            ","2014-11-05 12:20:47.267"
