"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","","weather report","chance of rain","TELANGANA","NIZAMABAD","LINGAMPET                                         ","2014-08-01 08:02:29.000"
"","AGRICULTURE","Others","Others","","weather report","today and tomarrow rain will be there","TELANGANA","NIZAMABAD","ARMUR                                             ","2014-08-01 11:15:24.000"
"","AGRICULTURE","Others","Others","Weather","weather report","Cloudy, a couple of t-storms","TELANGANA","NIZAMABAD","MADNUR                                            ","2014-08-01 15:34:20.000"
"","AGRICULTURE","Others","Others","Bio-Pesticides and Bio-Fertilizers","maize bluish leaves","micro nutirnet deffiency","TELANGANA","NIZAMABAD","GANDHARI                                          ","2014-08-02 12:16:18.000"
"","AGRICULTURE","Others","Others","","weather report","rain today and tomarrow onwards showers will be there","TELANGANA","NIZAMABAD","ARMUR                                             ","2014-08-02 13:14:44.000"
"","AGRICULTURE","Others","Others","","asked about red sandle wood contact number","9848661193(","TELANGANA","NIZAMABAD","ARMUR                                             ","2014-08-02 14:29:47.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","Bio-Pesticides and Bio-Fertilizers","leaf eating caterpillar","CHLORPYRPHOS(KORBAN, DURSBAN, LETHAL, CLASSIC, RADAR) 500 ML PER ACRE","TELANGANA","NIZAMABAD","","2014-08-02 15:38:33.000"
"","HORTICULTURE","Condiments and Spices","Turmeric","","turmeric fertilizer dose at 60 days after planting","recommended dose is 50 kg urea+ 25 kg potash per acre","TELANGANA","NIZAMABAD","","2014-08-02 15:58:05.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","","caterpillar","CHLORPYRPHOS(KORBAN, DURSBAN, LETHAL, CLASSIC, RADAR) 500 ML PER ACRE","TELANGANA","NIZAMABAD","ARMUR                                             ","2014-08-02 16:30:09.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","weedicide in 20 days bhindi crop","not recommended","TELANGANA","NIZAMABAD","BIRKOOR                                           ","2014-08-02 17:38:28.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","PRINCIPLE SCIENTIST NUMBER","PRINCIPLE SCIENTIST NUMBER 040 24015011 EXTENSION 416","TELANGANA","NIZAMABAD","NIZAMABAD                                         ","2014-08-02 19:13:30.000"
"","AGRICULTURE","Others","Others","Weather","weather report","cloudy weather","TELANGANA","NIZAMABAD","LINGAMPET                                         ","2014-08-02 20:15:31.000"
"","AGRICULTURE","Others","Others","","asked weather report","no rain next two days","TELANGANA","NIZAMABAD","LINGAMPET                                         ","2014-08-03 11:49:27.000"
"","AGRICULTURE","Others","Others","","weather report","repu jallulu kuravacchu","TELANGANA","NIZAMABAD","JUKKAL                                            ","2014-08-03 17:39:32.000"
"","AGRICULTURE","Others","Others","","asked weather report","no rain next two days","TELANGANA","NIZAMABAD","MADNUR                                            ","2014-08-04 09:59:02.000"
"","AGRICULTURE","Others","Others","","asked weather report","no rain next two days","TELANGANA","NIZAMABAD","MADNUR                                            ","2014-08-04 10:01:35.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","paddy mgmt","CARBOFURAN(FURADAN,TATAFURAN)10 KG PER ACRE","TELANGANA","NIZAMABAD","BODHAN                                            ","2014-08-04 11:06:27.000"
"","AGRICULTURE","Others","Others","Weather","weather report","chance of rain for 2 days","TELANGANA","NIZAMABAD","","2014-08-04 11:42:13.000"
"","AGRICULTURE","Others","Others","Weather","weather report","thunder storm","TELANGANA","NIZAMABAD","MADNUR                                            ","2014-08-04 11:55:46.000"
"","AGRICULTURE","Others","Others","","weather report","eroju, repu varsham padochu","TELANGANA","NIZAMABAD","ARMUR                                             ","2014-08-04 15:13:26.000"
"","AGRICULTURE","Others","Others","","weather report","rain today and tomarrow","TELANGANA","NIZAMABAD","LINGAMPET                                         ","2014-08-05 11:42:53.000"
"","AGRICULTURE","Others","Others","","weather report","CLOUDY WEATHER WITH SHORT DURATION SHOWERS","TELANGANA","NIZAMABAD","","2014-08-05 21:11:41.000"
"","HORTICULTURE","Fruits","Banana","","Banana tissue culture","Banana tissue culture 	0863-2255535, 8008595824","TELANGANA","NIZAMABAD","BIRKOOR                                           ","2014-08-06 07:37:27.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","weedicide","spraying of butachlor 1 lit/acre","TELANGANA","NIZAMABAD","DHARPALLE                                         ","2014-08-06 08:06:04.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","asked about tobacco cater piller","recomonded chloropyriphos 2.5 ml/lit of water","TELANGANA","NIZAMABAD","KOTGIRI                                           ","2014-08-06 19:45:58.000"
"","AGRICULTURE","Others","Others","Weather","weather report","CLOUDY WEATHER WITH DRY CLIMATE","TELANGANA","NIZAMABAD","","2014-08-07 06:57:00.000"
"","AGRICULTURE","Others","Others","Weather","weather report","CLOUDY WEATHER WITH DRY CLIMATE","TELANGANA","NIZAMABAD","LINGAMPET                                         ","2014-08-07 09:06:29.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Cultural Practices","zinc deficiency","spray zinc sulphate 2g/l.","TELANGANA","NIZAMABAD","MADNUR                                            ","2014-08-07 10:09:32.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","","SPODOPTERA","CHLORIPHRIPHOS 500ML/ACRE","TELANGANA","NIZAMABAD","","2014-08-07 10:56:00.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","mgmt","CARBOFURAN(FURADAN,TATAFURAN) 5  KG PER ACRE","TELANGANA","NIZAMABAD","","2014-08-07 17:03:36.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","mgmt","CARBOFURAN(FURADAN,TATAFURAN) 5  KG PER ACRE","TELANGANA","NIZAMABAD","","2014-08-07 17:04:06.000"
"","AGRICULTURE","Others","Others","Weather","weather report","thunder storm","TELANGANA","NIZAMABAD","LINGAMPET                                         ","2014-08-08 08:33:19.000"
"RABI","AGRICULTURE","Others","Others","","weather report","may be rainy","TELANGANA","NIZAMABAD","MADNUR                                            ","2014-08-08 11:19:13.000"
