"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","root rot in chilli","recomended ridomil 2g/lit water","TELANGANA","NIZAMABAD","NANDIPET                                          ","2014-11-01 09:36:57.087"
"RABI","HORTICULTURE","Vegetables","Brinjal","Seeds and Planting Material","sowing time in brinjal","recomended november  sowing time in brinjal","TELANGANA","NIZAMABAD","LINGAMPET                                         ","2014-11-01 12:19:32.540"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","weather report","chance to rain","TELANGANA","NIZAMABAD","NIZAMABAD                                         ","2014-11-01 16:59:43.353"
"RABI","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","Sowing Time and Weather","sowing time in jowar","recommended October ,November","TELANGANA","NIZAMABAD","NANDIPET                                          ","2014-11-02 08:04:15.360"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","NO RAIN","TELANGANA","NIZAMABAD","MADNUR                                            ","2014-11-02 15:37:29.303"
"RABI","AGRICULTURE","Others","Others","Weather","sowing of bhendi","not recommonded","TELANGANA","NIZAMABAD","JUKKAL                                            ","2014-11-02 17:30:03.200"
"RABI","AGRICULTURE","Others","Others","Weather","weather","normal","TELANGANA","NIZAMABAD","YEDAPALLE                                         ","2014-11-02 18:14:27.047"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","VARIETIES OF BLACKGRAM","MADIRA MINUMU207,L.G.B-752,L.G.B-20","TELANGANA","NIZAMABAD","BANSWADA                                          ","2014-11-03 09:17:15.350"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","SOWING TIME OF BENGAL GRAM","OCTOBER-NOVEMBER","TELANGANA","NIZAMABAD","DICHPALLE                                         ","2014-11-03 09:58:33.027"
"RABI","HORTICULTURE","Vegetables","Cluster Bean","Seeds and Planting Material","cluster bean seeds","GUAR GUM BEAN(ANANTHAPUR)	08554-226408, 1800 425 1110","TELANGANA","NIZAMABAD","MADNUR                                            ","2014-11-04 07:56:00.510"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","weather","normal","TELANGANA","NIZAMABAD","ARMUR                                             ","2014-11-04 15:31:42.110"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Seeds","seeds","recomended LGG 460 ,407","TELANGANA","NIZAMABAD","LINGAMPET                                         ","2014-11-05 12:36:22.540"
"RABI","AGRICULTURE","Others","Others","Weather","weather","normal","TELANGANA","NIZAMABAD","BODHAN                                            ","2014-11-05 14:39:26.857"
"RABI","AGRICULTURE","Others","Others","Weather","weather","humid climate","TELANGANA","NIZAMABAD","NAVIPET                                           ","2014-11-05 16:16:16.277"
"RABI","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","Sowing Time and Weather","sowing time  in jowar","recommended  late rabi  november","TELANGANA","NIZAMABAD","ARMUR                                             ","2014-11-06 07:09:25.437"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","hopper in tomato","recommended rogar 2ml/lit water","TELANGANA","NIZAMABAD","NANDIPET                                          ","2014-11-06 07:45:53.277"
"RABI","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","sowing time","recommended january","TELANGANA","NIZAMABAD","LINGAMPET                                         ","2014-11-06 08:19:40.537"
"RABI","AGRICULTURE","Others","Others","Weather","weather","sunny climate","TELANGANA","NIZAMABAD","BODHAN                                            ","2014-11-06 11:57:59.800"
"RABI","AGRICULTURE","Oilseeds","Safflower (kusum/kardi)","Sowing Time and Weather","SOWING TIME OF SAFFLOWER IN RABI","OCTOBER 2ND WEEK-NOVEMBER 1ST WEEK","TELANGANA","NIZAMABAD","MORTAD                                            ","2014-11-06 15:43:36.587"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","root rot in tomato","recomended blitex 3g/lit water","TELANGANA","NIZAMABAD","ARMUR                                             ","2014-11-07 08:31:38.003"
"KHARIF","AGRICULTURE","Pulses","Moth Bean (kidney bean/ deww gram)","Fertilizer Use and Availability","can be sown","can be sown","TELANGANA","NIZAMABAD","JUKKAL                                            ","2014-11-07 10:05:22.927"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER","NO RAIN","TELANGANA","NIZAMABAD","KAMAREDDY                                         ","2014-11-07 10:19:51.060"
"RABI","AGRICULTURE","Others","Others","Weather","weather","normal","TELANGANA","NIZAMABAD","MAKLOOR                                           ","2014-11-07 18:35:30.923"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","catterpiller","recomended tracer 75 g/acre","TELANGANA","NIZAMABAD","JAKRANPALLE                                       ","2014-11-08 11:52:52.560"
"RABI","AGRICULTURE","Others","Others","Weed Management","weed management","RECOMMENDED TO SPRAY ATRAZINE(ATRATOP , SOLARO ) 800 GRAMS PER ACRE  ????????(????????, ????? )  ???????? 800???????? 200 ??????? ?????? ????? ???????? ??????","TELANGANA","NIZAMABAD","ARMUR                                             ","2014-11-08 14:55:39.900"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","weather information","thunder storm","TELANGANA","NIZAMABAD","BIRKOOR                                           ","2014-11-08 15:41:40.127"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","considerable cloudiness","TELANGANA","NIZAMABAD","MORTAD                                            ","2014-11-09 16:32:35.153"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","CHANCES OF RAINS   ??????? ??? ?????? ????","TELANGANA","NIZAMABAD","MADNUR                                            ","2014-11-09 17:37:37.360"
"RABI","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","Weed Management","weed management","recommended atrazine  800g/acre","TELANGANA","NIZAMABAD","JAKRANPALLE                                       ","2014-11-09 19:28:59.550"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","WEATHER","chances of showers","TELANGANA","NIZAMABAD","NIZAMABAD                                         ","2014-11-10 06:49:56.097"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","chances of showers     ???????? ??? ?????? ????","TELANGANA","NIZAMABAD","MADNUR                                            ","2014-11-10 09:18:09.757"
