"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","weatherv report","Mostly sunny 35°Lo 20° 
more Thu
Oct 2
Mostly sunny 35°Lo 21° Fri
Oct 3
Mostly sunny 36°Lo 22° 
more Sat
Oct 4
Mostly","TELANGANA","NIZAMABAD","MADNUR                                            ","2014-10-01 12:37:19.390"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","STEM BORER IN MAIZE","NUVAN 250ML/ACR","TELANGANA","NIZAMABAD","NAGIREDDYPET                                      ","2014-10-01 13:39:28.467"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information","normal","TELANGANA","NIZAMABAD","MADNUR                                            ","2014-10-01 19:23:35.030"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","Seeds and Planting Material","sowing  of kakara","reomended january sowing  of kakara","TELANGANA","NIZAMABAD","JUKKAL                                            ","2014-10-02 11:33:10.583"
"KHARIF","AGRICULTURE","Others","Others","Bio-Pesticides and Bio-Fertilizers","weather information","normal","TELANGANA","NIZAMABAD","MACHAREDDY                                        ","2014-10-02 18:20:18.293"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","weather report","no rain","TELANGANA","NIZAMABAD","BHIKNUR                                           ","2014-10-02 18:40:13.537"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","chulii disease","followed recommonded practices","TELANGANA","NIZAMABAD","MAKLOOR                                           ","2014-10-03 09:00:16.467"
"KHARIF","AGRICULTURE","Others","Others","Weather","water melon crop","not recommonded","TELANGANA","NIZAMABAD","BODHAN                                            ","2014-10-03 10:01:03.270"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","normal","TELANGANA","NIZAMABAD","MADNUR                                            ","2014-10-03 10:45:21.597"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","sucking pest in cotton","confidar@75g/acre","TELANGANA","NIZAMABAD","BODHAN                                            ","2014-10-03 11:09:51.580"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","weather","normal","TELANGANA","NIZAMABAD","KAMMARAPALLE                                      ","2014-10-03 11:51:06.267"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in rice","RECOMMENDED TO SPRAY CHLORPYRPHOS(KORBAN, DURSBAN, LETHAL, CLASSIC, RADAR) 500 ML PER ACRE  ??????????????(???????? , ?????????, ????? , ????????, ?????? ) ??????? 500 ??????  200 ??????? ?????? ????? ???????? ??????","TELANGANA","NIZAMABAD","BICHKUNDA                                         ","2014-10-03 12:14:20.897"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","NO RAIN","TELANGANA","NIZAMABAD","BIRKOOR                                           ","2014-10-03 13:41:50.893"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","NO RAIN","TELANGANA","NIZAMABAD","DICHPALLE                                         ","2014-10-03 13:47:42.913"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","NO RAIN","TELANGANA","NIZAMABAD","BHIKNUR                                           ","2014-10-03 14:07:52.373"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TRIPS IN COTYTON","ULALA 80GM/ACR","TELANGANA","NIZAMABAD","DHARPALLE                                         ","2014-10-03 15:01:30.870"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in rice","suraksha@125g/acre","TELANGANA","NIZAMABAD","NANDIPET                                          ","2014-10-05 08:10:55.333"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","CHANCE TO RAIN","TELANGANA","NIZAMABAD","SIRKONDA                                          ","2014-10-05 14:32:23.270"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","chance to  rain","TELANGANA","NIZAMABAD","BANSWADA                                          ","2014-10-05 14:55:44.440"
"KHARIF","AGRICULTURE","Oilseeds","Soybean (bhat)","Market Information","market market","NIZAMABAD  

nizamabad  
19.6  Soyabeen  Tonnes  2800  3235  3100  Rs./Quintal","TELANGANA","NIZAMABAD","DOMAKONDA                                         ","2014-10-05 16:11:23.427"
"KHARIF","AGRICULTURE","Others","Others","Nutrient Management","WEATHER REPORT","CHANCE TO RAIN","TELANGANA","NIZAMABAD","BICHKUNDA                                         ","2014-10-05 16:41:05.713"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT","CHANCE TO RAIN","TELANGANA","NIZAMABAD","BHEEMGAL                                          ","2014-10-05 17:54:12.760"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice blast","recommended merger 400g/acre","TELANGANA","NIZAMABAD","JUKKAL                                            ","2014-10-05 19:26:21.960"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","STEM BORER IN RICE","RECOMMENDED TO SPRAY CHLORPYRPHOS(KORBAN, DURSBAN, LETHAL, CLASSIC, RADAR) 500 ML PER ACRE","TELANGANA","NIZAMABAD","BANSWADA                                          ","2014-10-05 20:50:22.073"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Nutrient Management","flower drop in brinjal","recommended planofix 2.5ml/10lit water","TELANGANA","NIZAMABAD","KAMAREDDY                                         ","2014-10-06 09:16:49.177"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","sucking pest in onion","recomended profenophos 2ml/lit water","TELANGANA","NIZAMABAD","DICHPALLE                                         ","2014-10-06 11:22:13.530"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Weather","weather report","A t-storm around in the p.m. Hi 32°

RealFeel 39°
 
more Tonight
Oct 6
Patchy clouds with a t-storm Lo 20°

RealFeel 20°
 
more","TELANGANA","NIZAMABAD","MADNUR                                            ","2014-10-06 11:46:04.713"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","spodoptera in termeric","QUINOLPHOS(EKALUX, FLASH, DHANULUX,QUINGUARD) 400 ML PER ACRE","TELANGANA","NIZAMABAD","DHARPALLE                                         ","2014-10-06 12:07:48.667"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","root grub in turmeric","recomended chlripyriphos 4ml/lit","TELANGANA","NIZAMABAD","KAMMARAPALLE                                      ","2014-10-06 12:36:27.243"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","in the p.m. 34°Lo 21° 
more Tue
Oct 7
Periods of sun with a t-storm","TELANGANA","NIZAMABAD","JUKKAL                                            ","2014-10-06 13:03:21.983"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","in the p.m. 34°Lo 21° 
more Tue
Oct 7
Periods of sun with a t-storm","TELANGANA","NIZAMABAD","KAMMARAPALLE                                      ","2014-10-06 13:11:22.957"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","in the p.m. 34°Lo 21° 
more Tue
Oct 7
Periods of sun with a t-storm","TELANGANA","NIZAMABAD","KOTGIRI                                           ","2014-10-06 13:14:56.790"
"RABI","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Sowing Time and Weather","ground nut sowing time  of rabi","oct 15-nov15th","TELANGANA","NIZAMABAD","DICHPALLE                                         ","2014-10-06 14:23:03.803"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in rice","CHLORPYRPHOS(KORBAN, DURSBAN, LETHAL, CLASSIC, RADAR) 500 ML PER ACRE","TELANGANA","NIZAMABAD","BODHAN                                            ","2014-10-06 15:26:43.007"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","thunder storm","TELANGANA","NIZAMABAD","JUKKAL                                            ","2014-10-06 16:27:53.587"
"KHARIF","AGRICULTURE","Others","Others","Weather","waetherb","thunder","TELANGANA","NIZAMABAD","BICHKUNDA                                         ","2014-10-07 08:27:24.190"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CANDAM KULLU TEGULU IN RICE","avatar @400-500g/acre","TELANGANA","NIZAMABAD","NAVIPET                                           ","2014-10-07 08:37:51.383"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","with a t-storm
91°Lo 70°   



Wed

Oct 8



Partly sunny with a t-storm
90°Lo 70°  more  



Thu

Oct 9



Partly sunny, a stray t-storm
90°Lo 72°  more  



Fri

Oct 10



A t-storm around in the","TELANGANA","NIZAMABAD","JUKKAL                                            ","2014-10-07 09:50:53.180"
"RABI","AGRICULTURE","Oilseeds","Soybean (bhat)","Sowing Time and Weather","sowing time in soya","recommended octomber  first week","TELANGANA","NIZAMABAD","PITLAM                                            ","2014-10-08 10:45:14.163"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","kakara  catter piller","recommended profenophos 2ml/lit water","TELANGANA","NIZAMABAD","BICHKUNDA                                         ","2014-10-08 11:10:38.033"
"RABI","AGRICULTURE","Others","Others","Weather","weather report","Today

Oct 8



A couple of p.m. t-storms
31°Lo 21°  more  



Thu

Oct 9



A t-storm in the afternoon
31°Lo 22°   



Fri

Oct 10



Cloudy, a t-storm in spots
32°Lo 22°  more  



Sat

Oct 11



Sun through high clouds
34°Lo 21°  more  



Sun

Oct 12



Sun through high clouds
32°Lo 20°  more  
 


Daily




Hourly



Morning



Afternoon



Evening



Overnight

 





Hi 31° 
RealFeel® 39°

Precipitation 55%
 
 

Day






N

E

S

W
  NW 5 km/h 
Gusts: 8 km/h 

Times of clouds and sun with a shower or thunderstorm around in the afternoon
 Max UV Index: 10 (Extreme)
Thunderstorms: 60%
Precipitation: 1 mm
Rain: 1 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0.5 hrs
Hours of Rain: 0.5 hrs
   




Lo 22° 
RealFeel® 22°

Precipitation 50%
 
 

Night






N

E

S

W
  NW 3 km/h 
Gusts: 8 km/h 

A thunderstorm in spots in the evening; otherwise, increasing clouds
 Max UV Index: N/A
Thunderstorms: 60%
Precipitation: 1 mm
Rain: 1 mm
Snow: 0 CM
Ice: 0 mm
Hours of Precipitation: 0.5 hrs
Hours of Rain: 0.5 hrs
      


Temperature History - Oct 9
more Historical Weather Data >  .

 

Today

Normal

Record

10/9/2013



High
31° N/A N/A 32° 

Low
22° N/A N/A 22° 
 


Sunrise/Sunset
 Sunrise / Sunset Illustration 
Rises at 
6:09 AM
with 
11:52
of sunlight, then sets at 
6:01 PM

  


Moonrise/Moonset
Astronomy >  Moonrise / Moonset Illustration 
Rises at 
6:49 PM
with 
12:56
of moolight, then sets at 
7:45 AM

   


 












Developing Cyclone to Threaten India Later This Week

October 7, 2014; 9:13 PM ET

A developing cyclone will bring the threat for damaging winds and flooding rainfall to eastern India later this week. more >



.","TELANGANA","NIZAMABAD","ARMUR                                             ","2014-10-08 11:19:07.177"
