"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","","aphids","confidor 60ml/acre","TELANGANA","WARANGAL","NALLA BELLI                                       ","2014-08-01 06:26:57.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Cultural Practices","magnesium deficiency","spray  magnesium sulphate 10g/l.","TELANGANA","WARANGAL","DEVARUPPULA                                       ","2014-08-01 15:56:09.000"
"","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","","asked fertilizer application","application of urea potash","TELANGANA","WARANGAL","LINGALAGHANPUR                                    ","2014-08-02 13:05:33.000"
"","AGRICULTURE","Others","Others","Weather","weather report","A shower or t-storm in spots","TELANGANA","WARANGAL","NARSAMPET                                         ","2014-08-02 13:43:37.000"
"","HORTICULTURE","Vegetables","Chillies","Cultural Practices","herbicide before sowing","recommended pendimethalin @1.3-1.6l/acre","TELANGANA","WARANGAL","GEESUGONDA                                        ","2014-08-02 14:11:34.000"
"","AGRICULTURE","Others","Others","	Field Preparation	","weeding","recommended super 1bag","TELANGANA","WARANGAL","SHYAMPET                                          ","2014-08-02 17:38:07.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","mites","recommended dicofol 1000ml/acre","TELANGANA","WARANGAL","MARIPEDA                                          ","2014-08-02 18:03:39.000"
"","AGRICULTURE","Millets","Maize (Makka)","Nutrient Management","fertilizers","recommended 1 bag potash/acre","TELANGANA","WARANGAL","HASANPARTHY                                       ","2014-08-02 18:58:47.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","LEAF SPOTS ON COTTON","RECOMMONDED FOR MANCOZEB 3 G/L","TELANGANA","WARANGAL","RAIPARTHY                                         ","2014-08-02 19:03:56.000"
"","HORTICULTURE","Vegetables","Chillies","","TERMITES PROBLAM","LINDANE 8KG/ACRE","TELANGANA","WARANGAL","NARSAMPET                                         ","2014-08-03 11:36:29.000"
"","AGRICULTURE","Pulses","Black Gram (urd bean)","","PENU BANKA","DIMETHOATE 2ML/LITER","TELANGANA","WARANGAL","JANGAON                                           ","2014-08-03 11:54:02.000"
"","","","","","","","TELANGANA","WARANGAL","","2014-08-03 15:43:30.000"
"","AGRICULTURE","Others","Others","Weather","weather report","thunder storm","TELANGANA","WARANGAL","SANGAM                                            ","2014-08-04 14:03:37.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","SUKING PEST","RECOMENDED FOR SUPER CONFIDER 60ML/ACRE","TELANGANA","WARANGAL","DEVARUPPULA                                       ","2014-08-04 16:28:44.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","weedicide in cotton","ajil 250 ml/ acre","TELANGANA","WARANGAL","CHENNARAOPET                                      ","2014-08-04 16:30:58.000"
"","AGRICULTURE","Others","Others","","weather report  in warangal","chance to rain","TELANGANA","WARANGAL","GEESUGONDA                                        ","2014-08-04 16:59:12.000"
"","AGRICULTURE","Others","Others","Weather","weather report","Mainly cloudy","TELANGANA","WARANGAL","BHUPALPALLE                                       ","2014-08-04 17:36:23.000"
"","HORTICULTURE","Vegetables","Chillies","","weedicide","plucloralin 1 lit","TELANGANA","WARANGAL","DEVARUPPULA                                       ","2014-08-04 17:57:30.000"
"","","","","","","","TELANGANA","WARANGAL","JANGAON                                           ","2014-08-04 19:22:14.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","control of sucking pest in cotton","pride 40 gr/ acre","TELANGANA","WARANGAL","DORNAKAL                                          ","2014-08-05 09:21:31.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","magnesium deficiency","recommended magnesium sulphate 10g/l","TELANGANA","WARANGAL","JANGAON                                           ","2014-08-05 12:22:35.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","asked fertilizer application","applying of urea poitash","TELANGANA","WARANGAL","JANGAON                                           ","2014-08-05 12:30:35.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","herbicide","glyphosate 2liter/acre","TELANGANA","WARANGAL","GOVINDARAOPET                                     ","2014-08-05 16:01:47.000"
"","","","","","","","TELANGANA","WARANGAL","","2014-08-05 17:08:18.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","nutrient mgnt","48kgN,24kg  p,24kg K","TELANGANA","WARANGAL","CHENNARAOPET                                      ","2014-08-05 17:10:54.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","suckingpest in cotton","confidor 0.4ml/lit","TELANGANA","WARANGAL","RAIPARTHY                                         ","2014-08-06 11:23:22.000"
"","AGRICULTURE","Millets","Maize (Makka)","","weedicide in maize","sugested to spray atrazine 800 gr/ acre","TELANGANA","WARANGAL","KURAVI                                            ","2014-08-06 11:34:10.000"
"","AGRICULTURE","Others","Others","","cotton leaf foldings","recomended confidor 50ml/acr","TELANGANA","WARANGAL","HANAMKONDA                                        ","2014-08-06 16:01:11.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","STEM BORER","CARBOFURON 3G 10KG/ACRE","TELANGANA","WARANGAL","ETURNAGARAM                                       ","2014-08-06 16:21:44.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","cotton 1st top dress dosage","recommended application of 35 kg urea + 15 kg potash per acre in cotton","TELANGANA","WARANGAL","ATMAKUR                                           ","2014-08-06 18:28:18.000"
"","AGRICULTURE","Others","Others","Weather","weather","mostly cloudy and showers","TELANGANA","WARANGAL","PARKAL                                            ","2014-08-07 09:24:47.000"
"","AGRICULTURE","Others","Others","","WEATHER REPROT","NO RAIN","TELANGANA","WARANGAL","WARDHANNA PET                                     ","2014-08-07 09:58:29.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton root rot","recommonded blitox 3gm/litre","TELANGANA","WARANGAL","CHITYAL                                           ","2014-08-07 10:21:31.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton sucking pests","Rogar 2ml/litre","TELANGANA","WARANGAL","KHANAPUR                                          ","2014-08-07 12:33:01.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","growth of the cotton crop","recommonded spray agro min max 5 gr/ 1 li of water","TELANGANA","WARANGAL","DUGGONDI                                          ","2014-08-07 15:57:02.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","crop growth in cotton","recommended for formula3 4  1 kg per acre","TELANGANA","WARANGAL","MARIPEDA                                          ","2014-08-07 16:36:46.000"
"","HORTICULTURE","Fodder Crops","BAJRA NAPIER HYBRID","","leaf eating caterpiller","prophenophos 2 ml per  litre","TELANGANA","WARANGAL","SHYAMPET                                          ","2014-08-07 19:13:34.000"
"","HORTICULTURE","Vegetables","Carrot","","weedicide","spraying of pendimethaline 1.3 lit/acre
spraying of pendimethaline 1.3 lit/acre","TELANGANA","WARANGAL","ETURNAGARAM                                       ","2014-08-08 07:22:28.000"
"","HORTICULTURE","Vegetables","Brinjal","","nutrient deficiency","agromin max 5g/lit","TELANGANA","WARANGAL","NARSIMHULAPET                                     ","2014-08-08 08:58:18.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","flower formation","multi-K 5 gr per litre","TELANGANA","WARANGAL","DEVARUPPULA                                       ","2014-08-08 09:02:55.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","variety","arka anamika  arka abaya","TELANGANA","WARANGAL","MANGAPET                                          ","2014-08-08 10:13:32.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","cotton pests","marshal 300ml/acre; 19-19-19 1kg/acre","TELANGANA","WARANGAL","DORNAKAL                                          ","2014-08-08 11:31:08.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Cultural Practices","sucking pest","MONOCROTOPHOS(NUVACRON, PHOSKIL, LUPHOS) 400 ML PER ACRE","TELANGANA","WARANGAL","DUGGONDI                                          ","2014-08-08 15:39:54.000"
"","","","","","","","TELANGANA","WARANGAL","CHENNARAOPET                                      ","2014-08-08 15:55:36.000"
"","AGRICULTURE","Others","Others","Weather","asked about weather report","we said cloudy weather","TELANGANA","WARANGAL","DHARMASAGAR                                       ","2014-08-08 16:45:03.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","PADDY BASAL DOSE","APPLY 125 kg single super phosphate + 25 kg urea + 12 kg potash per acre","TELANGANA","WARANGAL","HANAMKONDA                                        ","2014-08-08 16:57:28.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","for reduce flower drop of cotton crop","recomonded spray planofix 2.5 ml/10 li of water","TELANGANA","WARANGAL","CHITYAL                                           ","2014-08-08 17:14:42.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","asked about leaf mite","recomonded dicophol 5 ml/lit of water","TELANGANA","WARANGAL","WARDHANNA PET                                     ","2014-08-08 17:19:40.000"
"","AGRICULTURE","Others","Others","","weather report","Variable cloudiness","TELANGANA","WARANGAL","GEESUGONDA                                        ","2014-08-08 17:27:27.000"
"","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","sucking pests in greengram","confider 100 ml/acre","TELANGANA","WARANGAL","","2014-08-08 18:29:31.000"
"","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","sucking pests in greengram","confider 100 ml/acre","TELANGANA","WARANGAL","","2014-08-08 18:29:35.000"
"","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","sucking pests in greengram","confider 100 ml/acre","TELANGANA","WARANGAL","","2014-08-08 18:29:36.000"
"","AGRICULTURE","Millets","Maize (Makka)","Cultural Practices","herbicide","ATRAZINE(ATRATOP , SOLARO ) 800 GRAMS PER ACRE","TELANGANA","WARANGAL","WARDHANNA PET                                     ","2014-08-09 08:19:07.000"
"","HORTICULTURE","Fruits","Pomegranate","","pomegranate info","08554–261388","TELANGANA","WARANGAL","GOVINDARAOPET                                     ","2014-08-09 08:35:47.000"
"","HORTICULTURE","Vegetables","Chillies","","fertilizer application","urea,potash application","TELANGANA","WARANGAL","GUDUR                                             ","2014-08-09 08:37:28.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","aphids","recommended confidor 60ml/acre","TELANGANA","WARANGAL","CHITYAL                                           ","2014-08-09 14:37:42.000"
"","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","fruit borrer","recommended prophinophos 400ml/acre","TELANGANA","WARANGAL","","2014-08-09 16:21:18.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","asked about yellow mosaic","recommended dimethoate 2 ml/lit of water","TELANGANA","WARANGAL","MARIPEDA                                          ","2014-08-09 16:30:46.000"
"","HORTICULTURE","Vegetables","Chillies","Nutrient Management","zinc deficiency","recommended zinc sulphate 2g/l","TELANGANA","WARANGAL","MARIPEDA                                          ","2014-08-09 17:54:14.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","white flies","recommended confidor super 60ml/acre","TELANGANA","WARANGAL","BACHANNAPETA                                      ","2014-08-09 18:08:11.000"
"","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","herbicide at 2months","no recommedations","TELANGANA","WARANGAL","WARDHANNA PET                                     ","2014-08-10 09:02:23.000"
"","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","","green gram sucking pest","MONOCROTOPHOS(NUVACRON, PHOSKIL, LUPHOS) 400 ML PER ACRE","TELANGANA","WARANGAL","NARSIMHULAPET                                     ","2014-08-10 11:11:19.000"
"","AGRICULTURE","Others","Others","","weather report","cloudy and thunder strome","TELANGANA","WARANGAL","CHITYAL                                           ","2014-08-10 13:24:07.000"
"","AGRICULTURE","Others","Others","Weather","asked about weather report","we said cloudy weather","TELANGANA","WARANGAL","CHITYAL                                           ","2014-08-10 13:26:39.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","Nutrient Management","fertilizers","recommended potash 20kg","TELANGANA","WARANGAL","KURAVI                                            ","2014-08-10 13:37:50.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","sucking pest in cotton","confidor 0.4ml/lit","TELANGANA","WARANGAL","CHENNARAOPET                                      ","2014-08-10 14:19:22.000"
"","AGRICULTURE","Others","Others","Bio-Pesticides and Bio-Fertilizers","barren lands","recommended to apply organic matter","TELANGANA","WARANGAL","GHANPUR(STATION)                                  ","2014-08-10 15:55:47.000"
"","AGRICULTURE","Others","Others","Weather","weather","mostly cloudy and shower","TELANGANA","WARANGAL","MARIPEDA                                          ","2014-08-10 15:58:21.000"
"","HORTICULTURE","Vegetables","Tomato","","season","June July is season","TELANGANA","WARANGAL","ZAFFERGADH                                        ","2014-08-10 17:51:22.000"
"","HORTICULTURE","Vegetables","Ridge Gourd","Cultural Practices","sodic soils","jagityala long,arka sumith,arka sujatha","TELANGANA","WARANGAL","CHENNARAOPET                                      ","2014-08-11 12:01:03.000"
"","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","","stem fly in sorghum","carbofuran 3g granuels 10 /acre","TELANGANA","WARANGAL","KESAMUDRAM                                        ","2014-08-11 13:30:23.000"
