"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT RICE HISPA","ADVICE TO SPRAY CHLORPYRIPHOS 20 EC@ 2 ML/L WATER","TRIPURA","DHALAI","CHAWMANU                                          ","2014-10-08 12:33:18.957"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKINA BOUT THE CONTROL OF PEST","SPRAY MALATHION 50EC @ 2ML/LITRES OF WATER","TRIPURA","DHALAI","CHAWMANU                                          ","2014-10-11 17:37:00.980"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Management of blast diseases in rice and application of micro-nutrients.","I suggest him to spray bavistin @ 2 gram per litre of water and paddy special @ 2 gram per litre of water.","TRIPURA","DHALAI","SALEMA                                            ","2014-10-14 18:06:07.343"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING FOR CONTROL OF RICE STEM BORER","RECOMMENDED HIM TO SPRAY TRICEL @ 3 ML PER LITRE OF WATER","TRIPURA","DHALAI","SALEMA                                            ","2014-10-20 09:07:03.480"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","ASKING ABOUT PEST CONTROL IN BEANS.","SUGGESTED TO SPRAY MALATHION 50 EC  @ 2 ML /LITER OF WATER.","TRIPURA","DHALAI","AMBASSA                                           ","2014-10-20 09:18:28.577"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING FOER CONTROL OF RICE STEM BORER","RECOMMENDED HIM TO SPRAY TRICEL @ 3 ML PER LITRE OF WATER","TRIPURA","DHALAI","SALEMA                                            ","2014-10-20 09:22:43.433"
"JAYAD","HORTICULTURE","Fruits","Almond","Cultural Practices","CULTURAL PRACTICE OF ALMOND","CALL TRANSFERED TO AGRIL. EXPERT FOR CONSULTATION","TRIPURA","DHALAI","CHAWMANU                                          ","2014-10-20 10:18:07.153"
"RABI","HORTICULTURE","Vegetables","Onion","Cultural Practices","ASKING ABOUT CULTURAL PRACTICES IN ONION","DETAILS GIVEN TO HIM","TRIPURA","DHALAI","DUMBURNAGAR                                       ","2014-10-23 13:03:11.000"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Management of damping off diseases in cauliflower nursery","I suggest him to spray either Bavistin @ 2 gram per litre of water or Blitox 50 @ 2.5 gram per litre of water. Your ID 13908297 .Thank You.","TRIPURA","DHALAI","AMBASSA                                           ","2014-10-25 18:11:35.480"
"KHARIF","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Management","Asking about the vaccine for poultry.","Advice- 0 to 7 days -F1 vacine. 13 to 14 days- I.B.D. vaccine.","TRIPURA","DHALAI","DUMBURNAGAR                                       ","2014-10-26 13:25:41.963"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","control measures of late blight","ADVICE TO SPRAY INDOFIL M 45 @ 2 GM/L WATER","TRIPURA","DHALAI","AMBASSA                                           ","2014-10-29 19:26:03.763"
