"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","QUERY ABOUT THE BROWN PLANT HOPPER INFESTATION MANAGEMENT","RECOMMENDED TO SPRAY LT OF IMIDACLOPRID @2ML/ML WATER AND TO DRAIN THE WATER FROM THE FIELD","TRIPURA","NORTH TRIPURA","DAMCHERRA                                         ","2014-10-02 08:05:05.120"
"RABI","HORTICULTURE","Vegetables","Leafy Vegetable","Government Schemes","Query on schemes relating to vegetables.","I suggest him to contact Agriculture Development Officer and Horticulture Development Officer from his respective block.","TRIPURA","NORTH TRIPURA","JAMPUI HILLS                                      ","2014-10-03 09:28:33.773"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","ASKINGABOUT THE CONTROL MEASURE FO DOWNEY MILDEW IN BITTER GOURD.","SUGGESTED TO SPRAY PROPINEB 70@ 20 GM/15 LT OF WATER AT 15 DAYS OF INTERVAL.","TRIPURA","NORTH TRIPURA","KADAMTALA                                         ","2014-10-12 12:41:25.173"
"RABI","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","Management of Black rot in cabbage.","I suggest him to spray with 2 g/lit Copper oxychloride + Streptomycin 100 ppm .Your ID 341010 .Thank you","TRIPURA","NORTH TRIPURA","DAMCHERRA                                         ","2014-10-12 19:26:05.290"
"RABI","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","asking about fertilizer dose","advice to apply urea=120 gm,ssp=210 gm,mop=275 gm/plant","TRIPURA","NORTH TRIPURA","PANISAGAR                                         ","2014-10-13 11:18:18.847"
"RABI","HORTICULTURE","Vegetables","Cabbage","Cultural Practices","QUERY REGARDING CONTROL MEASURES OF FUNGAL DISEASES IN CABBAGE","RECOMMENDED TO SPARY CAPTAN @ 2 GM PER LITR OF WATER","TRIPURA","NORTH TRIPURA","GOURNAGAR                                         ","2014-10-16 18:29:42.497"
"RABI","HORTICULTURE","Plantation Crops","Coconut","Cultural Practices","QUERY ABOUT THE EXCESS FLOWERING BUT NO DEVELOPMENT OF FRUITS OCCURS","I TOLD HIM TO WAIT FOR ANOTHER INFLORESCENCE AND OBSERVE AGAIN","TRIPURA","NORTH TRIPURA","KADAMTALA                                         ","2014-10-18 18:26:21.583"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ASKING CONTROL MEASURE OF ROOT ROT IN TOMATO","APPLY BLITOX-50 @ 2 GRAM PER LITRE OF WATER","TRIPURA","NORTH TRIPURA","PANISAGAR                                         ","2014-10-24 16:24:31.097"
"RABI","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","CONTROL MEASURES OF FRUIT DROP","ADVICE TO APPLY BORAX @ 25 GM/PLANT","TRIPURA","NORTH TRIPURA","KADAMTALA                                         ","2014-10-25 06:59:56.943"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","Management of Fruit flies in Bitter Gourd and application of micro nutrients.","I suggest him to spray either Rogor 30 EC or Chlorpyriphos 20 EC @ 2 ml per litre of water. For micronutrients spray Green harvest @ 2 gram per litre of water.","TRIPURA","NORTH TRIPURA","KADAMTALA                                         ","2014-10-29 17:54:35.337"
"RABI","HORTICULTURE","Vegetables","Beans ","Cultural Practices","cultural practices of beans","EXPLAINED IN DETAILS","TRIPURA","NORTH TRIPURA","PECHARTHAL                                        ","2014-10-29 18:47:10.437"
