"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dhan me Kharpatwar Ke Liye Kya Dale","bispyriback sodium 80ml/acre pani me spray kare","UTTAR PRADESH","AGRA","ACHHNERA                                          ","2014-08-01 06:18:54.000"
"","HORTICULTURE","Vegetables","Potato","","sowing time of aaloo.","15 oct se bubai karo.","UTTAR PRADESH","AGRA","SAIYAN                                            ","2014-08-01 06:20:50.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dhan me Kharpatwar Ke Liye Kya Dale","bispyriback sodium 80ml/acre  me spray kare","UTTAR PRADESH","AGRA","ACHHNERA                                          ","2014-08-01 06:22:12.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","makka ki pattitya mud rahi hai","Monocrotophos 36% SC 1.5 - 2 ml / liter pani ka ghool banaker spray kare","UTTAR PRADESH","AGRA","JAITPUR KALAN                                     ","2014-08-01 06:48:10.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information","hlki barish ho skti hai","UTTAR PRADESH","AGRA","KHERAGARH                                         ","2014-08-01 07:02:49.000"
"","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","","bajre me weed ho gaya he.","atrazine 50% 2kg/acre.","UTTAR PRADESH","AGRA","KHERAGARH                                         ","2014-08-01 07:08:43.000"
"","HORTICULTURE","Vegetables","Potato","","aloo ki bowaai ke liye machine kaha se sampark kare","krishi yantro ke liye upagro office me sampark kare","UTTAR PRADESH","AGRA","SAIYAN                                            ","2014-08-01 07:08:51.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","tiil me khapatavar hai","Alachlor @ 20 kg/ha kaa chhidkav kare","UTTAR PRADESH","AGRA","AKOLA                                             ","2014-08-01 07:10:34.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me nterient dale","dal de","UTTAR PRADESH","AGRA","KHERAGARH                                         ","2014-08-01 08:39:19.000"
"JAYAD","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Field Preparation	","bajre me kher hai","bajre me nirai kare","UTTAR PRADESH","AGRA","SHAMSABAD                                         ","2014-08-01 09:19:36.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","mausam ki jankari ke liye ?","badal bane rahage  barish sambhavna hai","UTTAR PRADESH","AGRA","FATEHABAD                                         ","2014-08-01 09:45:00.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam ki jaan kari","ap ke yaha baris ho sakti hai","UTTAR PRADESH","AGRA","FATEHABAD                                         ","2014-08-01 09:49:14.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","mosam k e bare batye","badal rhe ge","UTTAR PRADESH","AGRA","FATEHABAD                                         ","2014-08-01 11:27:10.000"
"JAYAD","HORTICULTURE","Vegetables","Potato","	Plant Protection	","alu me rog ke liye","Azospirillum and Phosphobacterium Pseudomonas fluorescens","UTTAR PRADESH","AGRA","FATEHABAD                                         ","2014-08-01 11:35:37.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Cultural Practices","weed control in tili","alachlore 500 ml /acre","UTTAR PRADESH","AGRA","JAITPUR KALAN                                     ","2014-08-01 12:28:59.000"
"","AGRICULTURE","Millets","Maize (Makka)","","variety of bajra","pusa 322","UTTAR PRADESH","AGRA","KHERAGARH                                         ","2014-08-01 12:42:48.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam ki jankari leni hai","barish ki sambhavna hai","UTTAR PRADESH","AGRA","SHAMSABAD                                         ","2014-08-01 13:17:47.000"
