"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","NARIAL ME URVERKO KI MATRA","1000 gram n, 500 gram p, 1000 gram k, 250 gram copper sulphet, 250 zinc sulphate, 125 gram borex prati parti barsh","UTTAR PRADESH","ALLAHABAD","SAIDABAD                                          ","2014-10-01 06:48:09.857"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me gandhi bug lgi hai kya kare","fenvelrate 0.4 % @ 10 kilogram prati acre ka prayog kare","UTTAR PRADESH","ALLAHABAD","KORAON                                            ","2014-10-01 07:08:10.843"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirch me patti mud rahi hai","npk 19 19 19 1 kg/acre","UTTAR PRADESH","ALLAHABAD","SAIDABAD                                          ","2014-10-01 07:08:37.603"
"KHARIF","HORTICULTURE","Vegetables","Pea (Vegetable)","Agriculture Mechanization","matar ki variety bataye","pant sabzi matar -3, matar ageta -6,arkel jawahar matar -4 ki buwai kare","UTTAR PRADESH","ALLAHABAD","MEJA                                              ","2014-10-01 08:21:43.920"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information de","baris kee sambhavana nahi he","UTTAR PRADESH","ALLAHABAD","KARCHHANA                                         ","2014-10-01 08:38:09.123"
"KHARIF","AGRICULTURE","Others","Others","Weather","mauasum ki jankari de","kisan bhai aapke yhaa bunda bandi ho sakati hai","UTTAR PRADESH","ALLAHABAD","MANDA                                             ","2014-10-01 09:04:02.867"
"KHARIF","HORTICULTURE","Fruits","Aonla","	Plant Protection	","aonla ke fal kharab hokar gir jate hain","mancozeb ka chhidkaav karwayen","UTTAR PRADESH","ALLAHABAD","KORAON                                            ","2014-10-01 10:35:45.343"
"JAYAD","HORTICULTURE","Vegetables","Potato","	Plant Protection	","potato ka treatment","potato ka treatment 30 gram /litre pani me spray","UTTAR PRADESH","ALLAHABAD","SORAON                                            ","2014-10-01 11:08:47.683"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me keede lage hai","malathyan dust  5%  ka 10kg /ecar ka burkav kare","UTTAR PRADESH","ALLAHABAD","PHULPUR                                           ","2014-10-01 11:09:05.310"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information?","no rain","UTTAR PRADESH","ALLAHABAD","BAHRIA                                            ","2014-10-01 11:31:40.803"
