"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy me motha ghas ki samasya hai","nominee gold ka spraY KARE","UTTAR PRADESH","AMBEDKAR NAGAR","JAHANGIR GANJ                                     ","2014-08-01 06:39:50.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ke khet me deemak lagi hai","chloroparipos 1.5li /acre ka prayog kare","UTTAR PRADESH","AMBEDKAR NAGAR","AKBARPUR                                          ","2014-08-01 07:13:26.000"
"","AGRICULTURE","Others","Others","Weather","amusem ki jankari","3,4,5 august ko baris ki sambhavna hai","UTTAR PRADESH","AMBEDKAR NAGAR","BASKHARI                                          ","2014-08-01 07:35:33.000"
"","AGRICULTURE","Others","Others","","mausam ki jankari","barsta ki sambhabna hai","UTTAR PRADESH","AMBEDKAR NAGAR","AKBARPUR                                          ","2014-08-01 08:51:53.000"
"","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Aapke yaha 2 august se 6 august tak baris ki hone ki sambhawana hai","UTTAR PRADESH","AMBEDKAR NAGAR","AKBARPUR                                          ","2014-08-01 08:54:15.000"
"JAYAD","HORTICULTURE","Fruits","Mango","Seeds and Planting Material","aam lagani hai jaim patharili hai","1X1 m ka gadha khod kar lagaye","UTTAR PRADESH","AMBEDKAR NAGAR","TANDA                                             ","2014-08-01 09:04:09.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam ki jankari","kal se 7 tak barish hai","UTTAR PRADESH","AMBEDKAR NAGAR","JALAL PUR                                         ","2014-08-01 10:08:34.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam ki jaan kari","ap keyaha bhari baris hone ki sambhavana hai","UTTAR PRADESH","AMBEDKAR NAGAR","TANDA                                             ","2014-08-01 11:14:00.000"
"","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","baigan ki lambi variety bataye","I.V.B.L-9 AUR Pant smraat ye baigan ke lambi kisme hai","UTTAR PRADESH","AMBEDKAR NAGAR","TANDA                                             ","2014-08-01 11:49:28.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Cultural Practices","ganne me kharpatwar ho gye h","kisan bhai ganne me kharpatwar ke liye Paraquat di-chloride 24% SL,750-1000 ml/acre se chhidkav kre","UTTAR PRADESH","AMBEDKAR NAGAR","KATEHARI                                          ","2014-08-01 11:50:37.000"
"JAYAD","AGRICULTURE","Others","Others","Agriculture Mechanization","sms alert ki suvidha chahiye","kisan bhai aapke number par sms alert ki suvidha laga di gai hai","UTTAR PRADESH","AMBEDKAR NAGAR","JALAL PUR                                         ","2014-08-01 13:15:57.000"
"","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Aapke yaha 2 august se 6 august tak baris ki hone ki sambhawana hai","UTTAR PRADESH","AMBEDKAR NAGAR","KATEHARI                                          ","2014-08-01 13:32:14.000"
