"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Oats ","Power, Roads etc.","mausam ki jankari","2 3 4 5ko baris ki sambhavana hai","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2014-08-01 06:46:27.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan ka podha lamba hokar sukh jatahe.","hexaconazole 5% ec. 400 gram/acre ko 200 li pani me milakar spray karo.","UTTAR PRADESH","BAGHPAT","KHEKRA                                            ","2014-08-01 07:31:02.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam kee jankari chahiye","Aapake yahan  03,04,05  August ko varsha hone kee sambhawana hai","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2014-08-01 11:42:05.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","wheather forcast","Today we expect: plus 36—30 °C°F , plus 97—86 °C°F , rain, light air. Tomorrow: plus 37—38 °C°F , plus 99—100 °C°F , rain, light breeze.","UTTAR PRADESH","BAGHPAT","BARAUT                                            ","2014-08-01 14:31:41.000"
"","HORTICULTURE","Plantation Crops","Poplar","	Plant Protection	","popular ke ped  suckh rhe hai","carbendazim 12%+mancozeb 63 % 2 gram /litre pani ke sath milaakaar chidcav kare","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2014-08-01 15:14:19.000"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Bio-Pesticides and Bio-Fertilizers","ganne mai jaan nahi","Aminoacids (16) 10% 8 kg/acre","UTTAR PRADESH","BAGHPAT","BARAUT                                            ","2014-08-01 16:45:13.000"
"JAYAD","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","flower dropping in anar","planofix 0.5 mili/l spray","UTTAR PRADESH","BAGHPAT","BINAULI                                           ","2014-08-01 17:23:21.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me peelapan.","Apply carbendazim[50wp]@2kg./hac+tizophos[40ec]@1.0lit./hac+1000lit.water.","UTTAR PRADESH","BAGHPAT","KHEKRA                                            ","2014-08-01 17:27:21.000"
"","AGRICULTURE","Pulses","Black Gram (urd bean)","Seeds","Urad ki variety","PU-35","UTTAR PRADESH","BAGHPAT","KHEKRA                                            ","2014-08-01 19:02:26.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me pila pan ho raha hai","spray carbendazim 12%+ mancozeb 63% @ 2-3gm,/lit, of water","UTTAR PRADESH","BAGHPAT","BARAUT                                            ","2014-08-02 09:43:18.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me sudi lgi hai","trizophos 40 E.C. @ 400 ml / acre ka spray kare","UTTAR PRADESH","BAGHPAT","BINAULI                                           ","2014-08-02 10:32:00.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","amrood me insect ki samaya hai","Cypermethrin 25% EC 3 ml dava /liter pani me spray kare","UTTAR PRADESH","BAGHPAT","BAGHPAT                                           ","2014-08-02 11:20:30.000"
"JAYAD","HORTICULTURE","Vegetables","Sponge Gourd","	Plant Protection	","leaf eating insect in sponge gourd","your kcc Id-UTP_9324399 , spray Thiomethoxam 25% WG@0.50-0.75 gm /lit water","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2014-08-02 15:21:43.000"
"RABI","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","leaf spot in guAR","spray mailathian @ 1.5 ml./lit.of water","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2014-08-02 15:27:34.000"
"","HORTICULTURE","Vegetables","Radish","Seeds and Planting Material","Mooli ki variety","Pusa chetki","UTTAR PRADESH","BAGHPAT","BINAULI                                           ","2014-08-02 15:59:24.000"
"JAYAD","HORTICULTURE","Condiments and Spices","Fennel","","jaitun kee kheti ke vishay me vatayen","0522-2359623 par sampark karen","UTTAR PRADESH","BAGHPAT","BARAUT                                            ","2014-08-02 15:59:36.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAN ME KIDA LAGA HAI","Apply  cartap hydrochloride 4g @ 10kg /acre","UTTAR PRADESH","BAGHPAT","BAGHPAT                                           ","2014-08-02 16:50:39.000"
"","AGRICULTURE","Others","Others","","sagoan ka tissu culture poda ka bara me","van vivag me sampark kare","UTTAR PRADESH","BAGHPAT","BARAUT                                            ","2014-08-02 17:28:30.000"
"","HORTICULTURE","Vegetables","Chillies","","bilt ki samasya hai","Carbendazim 12% + Mancozeb 63% WP 40gram/tanki","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2014-08-02 20:34:47.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ganna sukh rha hai","MANCOZEB 75% 500 GRAM /ACRE + Cartap Hydrochloride 50 SP 400 GRAM  /Acre SPRAY kare","UTTAR PRADESH","BAGHPAT","BAGHPAT                                           ","2014-08-03 07:43:26.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam ki jankari","aaj se 5 tak barish hai","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2014-08-03 08:02:29.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ganne mepatte sookh rahe hai","carbendazim-400 gram/ekd ya copper oxi chloride- 500 gram/ekd","UTTAR PRADESH","BAGHPAT","BAGHPAT                                           ","2014-08-03 08:38:53.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","","Ganne me agola sukh raha hai","Hexaconazole 5% EC ko 500 ml ko 8-10 kgs balo me milaakar khet me vikherkar sichai kar den","UTTAR PRADESH","BAGHPAT","BAGHPAT                                           ","2014-08-03 10:29:35.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","weather ki jankri","abhi mausam saf nahi hein","UTTAR PRADESH","BAGHPAT","PILANA                                            ","2014-08-03 10:39:32.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ganne me top borer laga hai","furadon 12 kilo gram prati acre prayog karen","UTTAR PRADESH","BAGHPAT","BARAUT                                            ","2014-08-03 10:57:40.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ganne me peelapan hai","urea 40-45 kilo gram + sulphur 5 kilo gram prati acre prayog karen","UTTAR PRADESH","BAGHPAT","BINAULI                                           ","2014-08-03 12:12:53.000"
"","AGRICULTURE","Others","Others","","mosam ki jankari","8 tak mosam kharab hai","UTTAR PRADESH","BAGHPAT","BARAUT                                            ","2014-08-03 15:09:44.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Water Management	","manure in paddy","npk-19 19 192kg/acr micronutrients10kg/acr sulfer10/acr","UTTAR PRADESH","BAGHPAT","KHEKRA                                            ","2014-08-03 15:37:28.000"
"RABI","AGRICULTURE","Pulses","Faba Bean (Horse Bean/windsor Bean)","Crop Insurance","insect in paddy","Cartap Hydrochloride 4G10 Kg/acre","UTTAR PRADESH","BAGHPAT","KHEKRA                                            ","2014-08-03 15:39:24.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me bali aa rhi hi","NPK 19:19:19 1KG /ecd spray karein","UTTAR PRADESH","BAGHPAT","PILANA                                            ","2014-08-03 17:48:44.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","insect in sugarcane","cartap hydrochloride 4g @ 10kg /acre","UTTAR PRADESH","BAGHPAT","PILANA                                            ","2014-08-03 20:17:44.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan ke poudhe shukh rahe","aap cartaf hydro chloride 6-8 kigra + carbendazim 4 kigra ko mix kar prati acare ki dar se burkaw kare","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2014-08-04 06:41:56.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy me growth ke liye kya dale","zinc sulphet-5 kilo/ekd, micro nutrients-5 kilo/ekd, nitro benjen-2 kilo/ekd","UTTAR PRADESH","BAGHPAT","BAGHPAT                                           ","2014-08-04 09:01:32.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","MAUSAM KI JANKARI KE LIYE","4-6 AUGEST ME BARISH KI SAMBHAVNA HAI","UTTAR PRADESH","BAGHPAT","KHEKRA                                            ","2014-08-04 10:05:44.000"
"JAYAD","HORTICULTURE","Plantation Crops","Sagoan","	Plant Protection	","sagoan pila pr rha hai","sagoan me-amino acid 10% @ 100 gm / plant","UTTAR PRADESH","BAGHPAT","BINAULI                                           ","2014-08-04 10:14:30.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","","ganne me patti lapetak laga hua hi","monokrotophos 36sl ,2ml dawa /liter pani milakar","UTTAR PRADESH","BAGHPAT","BARAUT                                            ","2014-08-04 10:52:58.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","","ganne me kire lge hai kya kare","furadaan @ 12 kg / acre ka prayog kare","UTTAR PRADESH","BAGHPAT","BARAUT                                            ","2014-08-04 11:20:17.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","MOSAM KE BARE BATYE","BADAL RHE GE","UTTAR PRADESH","BAGHPAT","BAGHPAT                                           ","2014-08-04 12:02:48.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","CALSIUM KITNA PROG KARE","5-6 KIGRA PRATI ACRE","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2014-08-04 12:06:04.000"
