"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","dhan ki jankari ke liye","n-120,P-60,K-50kg /he ka prayog kare","UTTAR PRADESH","BALRAMPUR","PACHPEDWA                                         ","2014-08-01 12:05:22.000"
"","AGRICULTURE","Others","Others","Weather","weather condition in Balrampur","badli hai","UTTAR PRADESH","BALRAMPUR","TULSIPUR                                          ","2014-08-01 14:55:26.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Weather condition of forcast","Baaris hogi","UTTAR PRADESH","BALRAMPUR","TULSIPUR                                          ","2014-08-01 15:11:06.000"
"JAYAD","AGRICULTURE","Others","Others","","mausum ki jankari de","barish ho sakati hai","UTTAR PRADESH","BALRAMPUR","SHRIDUTTGANJ                                      ","2014-08-01 16:14:18.000"
"","AGRICULTURE","Oilseeds","Mustard","Seeds","Toriya ki variety","PT-303","UTTAR PRADESH","BALRAMPUR","BALRAMPUR                                         ","2014-08-01 17:07:03.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","wheather forcast","2-4 july ko varsha ho sakti hai","UTTAR PRADESH","BALRAMPUR","GAISRI                                            ","2014-08-01 18:44:07.000"
"RABI","AGRICULTURE","Others","Others","Weather","battmiji krta hai","krishi mantralay mai battmiji karne ke karan ke liye sikayat ki ja rahi hai jld najdhiki police sdampark karegi","UTTAR PRADESH","BALRAMPUR","REHERA BAZAAR                                     ","2014-08-02 06:54:16.000"
"","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","weed control in arhar buvi ko 30 din ho gaye hai","kisan bhai nirai gudai kare","UTTAR PRADESH","BALRAMPUR","REHERA BAZAAR                                     ","2014-08-02 09:27:41.000"
"","AGRICULTURE","Others","Others","","Balrampur ka mosam","barish ki sambhawana hai","UTTAR PRADESH","BALRAMPUR","GAISRI                                            ","2014-08-02 17:09:41.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Weather condition of forcast","Baaris hogi","UTTAR PRADESH","BALRAMPUR","GAINDAS BUJURG                                    ","2014-08-02 18:13:11.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me ropaai ke baad kaun si khaad dalwaye","urea 35 kilogram ekad me dalwaye","UTTAR PRADESH","BALRAMPUR","HARRIYA SATGHARWA                                 ","2014-08-03 08:01:41.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me weed ki samaya hai","namini gold 80 ml dava 200 liter pani me spray kare","UTTAR PRADESH","BALRAMPUR","SHRIDUTTGANJ                                      ","2014-08-03 11:02:39.000"
"RABI","FISHERIES","Inland","Cold Water","Water Testing for Fish Production","ASKING ABOUT FISH PROODUCTION","CONTACT TO NEAREST D.F.O.","UTTAR PRADESH","BALRAMPUR","REHERA BAZAAR                                     ","2014-08-03 17:38:53.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki ropai ab kar sakate he","dhan ki ropai ab kar sakate he","UTTAR PRADESH","BALRAMPUR","GAISRI                                            ","2014-08-03 21:13:44.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ganne me kharpatwar ho gya hai","Atrazine 50% WP 500-600 gram/acre spray kare","UTTAR PRADESH","BALRAMPUR","GAISRI                                            ","2014-08-04 09:38:06.000"
"","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ke ped sukh rhe hai","chloporiphos 4 li/ha","UTTAR PRADESH","BALRAMPUR","GAINDAS BUJURG                                    ","2014-08-04 09:49:04.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan ki rupayi karni hi","let hogaye ho,laga sakte ho","UTTAR PRADESH","BALRAMPUR","SHRIDUTTGANJ                                      ","2014-08-04 10:40:03.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","mausam ki jankari chahiy","varish hone ki sambhawna hai","UTTAR PRADESH","BALRAMPUR","TULSIPUR","2014-08-04 12:29:21.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan   boye  30 din ho gaya hai   kay khad daale","super 50 kg + mop 35-40 kg +  urea 40  kg /acre  daale","UTTAR PRADESH","BALRAMPUR","GAISRI                                            ","2014-08-04 14:32:37.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","dhan me kharpatvar hai","spray of- Bispyribac-sodium 10%sc@-80ml.acre spary kre","UTTAR PRADESH","BALRAMPUR","GAINDAS BUJURG                                    ","2014-08-04 15:48:17.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","Ganne mai kya dale","Cartap Hydrochloride 4% G 8-10 kg/acre","UTTAR PRADESH","BALRAMPUR","REHERA BAZAAR                                     ","2014-08-04 15:59:27.000"
"","FISHERIES","Inland","Fresh Water","Breeding of freshwater prawn","Machalipalan karna hai","18001805661","UTTAR PRADESH","BALRAMPUR","HARRIYA SATGHARWA                                 ","2014-08-04 19:33:27.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","MOSAM KE BARE BATYE","BADA RHE GE","UTTAR PRADESH","BALRAMPUR","HARRIYA SATGHARWA                                 ","2014-08-05 07:30:27.000"
"RABI","HORTICULTURE","Vegetables","Colocasia (Arvi, Arbi)","Power, Roads etc.","gross in paddy","butaclore 1liter\acr","UTTAR PRADESH","BALRAMPUR","BALRAMPUR                                         ","2014-08-05 08:27:49.000"
"RABI","HORTICULTURE","Vegetables","Chapan Kaddu","Spices and Condiment Crops","gross in sugarcane","2liter lasso+1kg atrazine  200liter pani me buai ke turant bad","UTTAR PRADESH","BALRAMPUR","BALRAMPUR                                         ","2014-08-05 08:30:35.000"
"","AGRICULTURE","Others","Others","","khali khet me motha(weed) hai","Glyphosate 41% SL 1200 ml/ecar ka sprey kare","UTTAR PRADESH","BALRAMPUR","REHERA BAZAAR                                     ","2014-08-05 09:32:25.000"
"","AGRICULTURE","Others","Others","	Field Preparation	","khet me motha ho raha hai","spray- glyfhoset 41% sl @ 3-4 lit,/hec, with 500-600 lit, of water","UTTAR PRADESH","BALRAMPUR","REHERA BAZAAR                                     ","2014-08-05 09:39:12.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","samany jankari","samany jankari di gyi","UTTAR PRADESH","BALRAMPUR","HARRIYA SATGHARWA                                 ","2014-08-05 14:04:03.000"
