"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Market Information","sarso ki varieties","kranti,varunaa,rohni","UTTAR PRADESH","BANDA","BABERU                                            ","2014-09-02 06:45:40.970"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Market Information","sarso ki varieties","kranti,varunaa,rohni","UTTAR PRADESH","BANDA","BABERU                                            ","2014-09-02 06:45:40.970"
"KHARIF","AGRICULTURE","Others","Others","Weather","about weather","told about weather","UTTAR PRADESH","BANDA","BABERU                                            ","2014-09-02 06:54:00.060"
"KHARIF","AGRICULTURE","Others","Others","Weather","about weather","told about weather","UTTAR PRADESH","BANDA","BABERU                                            ","2014-09-02 06:54:00.060"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Weather","barsa ke pani se fasal kharab ho rahi hai kya kare","proper jankari di gayi","UTTAR PRADESH","BANDA","MAHUVA                                            ","2014-09-04 15:44:07.603"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","weeds problem in paddy crop (50 din ka dhan he )","remove manual /interculture","UTTAR PRADESH","BANDA","JASPURA                                           ","2014-09-05 15:13:03.203"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","weeds problem in paddy crop","spray Adora @ 80-120ml /acre","UTTAR PRADESH","BANDA","KAMASIN                                           ","2014-09-05 15:55:37.660"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","LOKIM ME KEET PRAKOP.","SPRAY EMIDACHLORPRID[17.8SL]@1ML./2LIT.WATER .","UTTAR PRADESH","BANDA","NARAINI                                           ","2014-09-05 15:58:44.777"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","LOKIM ME KEET PRAKOP.","SPRAY EMIDACHLORPRID[17.8SL]@1ML./2LIT.WATER .","UTTAR PRADESH","BANDA","NARAINI                                           ","2014-09-05 15:58:51.157"
"KHARIF","HORTICULTURE","Fruits","Guava","	Plant Protection	","amrud ki patti sukh rhi hai","amrud me - copar oxi cloraid @ 4 gm / liter pani","UTTAR PRADESH","BANDA","BABERU                                            ","2014-09-05 16:55:07.243"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kharia rog lg rha hai","zinc water solubalae + tricyclazole @150gram","UTTAR PRADESH","BANDA","MAHUVA                                            ","2014-09-05 16:56:45.980"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Weather","mausam ki jankari den","cloudy sky and light rain chance","UTTAR PRADESH","BANDA","BISANDA                                           ","2014-09-05 18:03:51.620"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me kharpatwar hai","bispyribac sodium 80 ml/acre prayog karen","UTTAR PRADESH","BANDA","NARAINI                                           ","2014-09-06 12:06:52.810"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","herbicide for paddy ?","bispyribac sodium 80 mili/acre spray","UTTAR PRADESH","BANDA","BABERU                                            ","2014-09-06 14:20:01.797"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","Dhan mai ghas hai","Nirai kare","UTTAR PRADESH","BANDA","KAMASIN                                           ","2014-09-06 15:14:16.493"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","dhan me pila hai","trizophos 2ml /acre","UTTAR PRADESH","BANDA","TINDWARI                                          ","2014-09-06 18:53:43.347"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Cattle shed Planning and Management","pasu samasya","kisan bhai aap 18001805141 par sampark kare","UTTAR PRADESH","BANDA","BISANDA                                           ","2014-09-07 13:57:48.363"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Seeds and Planting Material","mirch ki buvai ka smy bta de","mirch ki kheti OCT me kre","UTTAR PRADESH","BANDA","BABERU                                            ","2014-09-08 06:12:03.590"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAN KI BALI SFED PADRAHA HI","TRIEZOPHOS 2ML DAWA /LITER PANI MILKAR /ACRE","UTTAR PRADESH","BANDA","BABERU                                            ","2014-09-08 11:15:38.880"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam ki jankari chahiye","mamuli barsat ki sambhawana hai","UTTAR PRADESH","BANDA","MAHUVA                                            ","2014-09-08 14:08:23.893"
"JAYAD","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER INFORMATION","chances of rain","UTTAR PRADESH","BANDA","BADOKHAR KHURD                                    ","2014-09-08 14:12:48.957"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","mausam ki jankari","10 11 12 13 14ko baris ki sambhavana hai","UTTAR PRADESH","BANDA","JASPURA                                           ","2014-09-09 12:13:25.540"
"KHARIF","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","alu ki kism bta de","alu ki kism-kufari pukhraj, kufari asoka,kufari badshah","UTTAR PRADESH","BANDA","TINDWARI                                          ","2014-09-09 15:52:37.080"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me kharpatwar ho gaya hai","aap dhaan me kharpatwar ke liye nomini gold 10% ki dawa ko 10 ml prati tanki ki dar se chidkaw kare","UTTAR PRADESH","BANDA","KAMASIN                                           ","2014-09-10 10:18:08.743"
"KHARIF","AGRICULTURE","Others","Others","Fertilizer Use and Availability","sarson ki phasal ke liye fertilizer dose kya hai","kisan bhai rai ki prajati bhawani- nitrogen -100 kg,phosphorus-50 kg,potash-50 kg/hectayer dale","UTTAR PRADESH","BANDA","KAMASIN                                           ","2014-09-10 10:45:25.613"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","flower droping?","spray planophix@1ml/4.5liter of water.","UTTAR PRADESH","BANDA","BABERU                                            ","2014-09-10 14:41:00.833"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEED PROBLEM IN RICE","SPRAY BISPAYRIBAIK  SODIUM @ 0.2 LIT./HECT.","UTTAR PRADESH","BANDA","BABERU                                            ","2014-09-10 14:51:22.517"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me deemak","cloropayarifos 20% 1.5 litar /acre","UTTAR PRADESH","BANDA","BISANDA                                           ","2014-09-10 18:40:36.153"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dhaan me ghas hai","Dhaan me ab nirai karwayen","UTTAR PRADESH","BANDA","MAHUVA                                            ","2014-09-11 06:04:18.927"
"KHARIF","AGRICULTURE","Oilseeds","Safflower (kusum/kardi)","Sowing Time and Weather","surajmukhi kab boye","surajmukhi january last me lagaye","UTTAR PRADESH","BANDA","NARAINI                                           ","2014-09-11 08:49:38.380"
"KHARIF","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","aalu ki kheti ke bare me jankari chahiye","aalu ki kheti ke bare me jankari di gai","UTTAR PRADESH","BANDA","MAHUVA                                            ","2014-09-11 10:00:15.063"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam ki jankari leni hai","kisan bhai barish ki sambhavna hai","UTTAR PRADESH","BANDA","KAMASIN                                           ","2014-09-11 11:44:15.027"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather ki jankri","abhi mausam saf nahi hein","UTTAR PRADESH","BANDA","BISANDA                                           ","2014-09-11 12:17:48.333"
"KHARIF","HORTICULTURE","Fruits","Banana","Water Management, Micro Irrigation","PAPYA ME SADAN HAI","COPER OXY CHLORIDE 2G/LI KA SPRAY KARE","UTTAR PRADESH","BANDA","BISANDA                                           ","2014-09-11 14:30:30.130"
"KHARIF","AGRICULTURE","Fodder Crops","fodder maize ","Seeds","MAIZE KI RAVI SEASION ME KHETI KARNI HAI.","KISAN BHAI@22KG.SEED MAIZE/HAC SE SOWING KARE.","UTTAR PRADESH","BANDA","TINDWARI                                          ","2014-09-11 17:14:51.907"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","bhindi ki patti pili ho rahi he kya kare","spray Areva @ 40-80 gm /acre","UTTAR PRADESH","BANDA","MAHUVA                                            ","2014-09-12 14:30:27.600"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","sheeath blight desease?","spray validamicin@2gram/liter of water.","UTTAR PRADESH","BANDA","NARAINI                                           ","2014-09-12 15:42:12.470"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","mausham ke bare me","12 se 16 tak baresh hone ki sambhwna hi","UTTAR PRADESH","BANDA","KAMASIN                                           ","2014-09-12 20:25:44.230"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dahn ki bali me keet lage hai","Hexaconazole 5%EC 1.5  ml  + Monocrotophos 36% SC 1.5 - 2 ml / liter pani ka ghool banaker spray kare","UTTAR PRADESH","BANDA","MAHUVA                                            ","2014-09-13 06:47:24.763"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BLIGHT DESEASE?","SPRAY MANCOZEB-75%WP@2GRAM/LITER OF WATER.","UTTAR PRADESH","BANDA","MAHUVA                                            ","2014-09-13 11:50:14.500"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dhan me Kharpatwar Ke Liye Kya Dale","bispyriback sodium 80ml/acre  me spray kare","UTTAR PRADESH","BANDA","BABERU                                            ","2014-09-13 13:27:36.140"
