"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","","mosam ki jabnkari","mosam me halki barish ho sakti hi","UTTAR PRADESH","BIJNOR","HALDAUR(KHARI JHALU)                              ","2014-08-01 06:52:35.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirch me root me saran ho rahi hai","Carbendazim 12% + Mancozeb 63% WP 300-400 gm/acre , Cypermethrin 25% EC ,220-300 ml / acre","UTTAR PRADESH","BIJNOR","HALDAUR(KHARI JHALU)                              ","2014-08-01 06:54:50.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me galan ho raha hai","aap carbendazim 4 kigra dawa ko prati acare ki dar se burkaw kare","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-08-01 07:06:31.000"
"","AGRICULTURE","Others","Others","Weather","mousam ki jankari de","aapke yaha aaj dinbhar halke baadal chaye rahenge","UTTAR PRADESH","BIJNOR","BUDHANPUR SEOHARA                                 ","2014-08-01 07:26:31.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me pila pan hai","amonic acid 8 kg /acer","UTTAR PRADESH","BIJNOR","BUDHANPUR SEOHARA                                 ","2014-08-01 07:50:37.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","dhan me pilapan hai","urea + zaim milaker dale","UTTAR PRADESH","BIJNOR","KIRATPUR                                          ","2014-08-01 09:53:47.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam ki jankari","kal se 6 tak barish hai","UTTAR PRADESH","BIJNOR","NOORPUR                                           ","2014-08-01 11:57:32.000"
"","AGRICULTURE","Others","Others","","phasal bima krana hai","0522-2612866, 2624173","UTTAR PRADESH","BIJNOR","NOORPUR                                           ","2014-08-01 12:04:19.000"
"","AGRICULTURE","Fodder Crops","fodder sorghum","","chari me gedaar lagi hai","spray chloropyriphos 20%    EC 3-4 liter /ha with irrigation water","UTTAR PRADESH","BIJNOR","MOHAMMEDPUR DEOMAL                                ","2014-08-01 12:20:58.000"
"JAYAD","HORTICULTURE","Vegetables","Cluster Bean","Training and Exposure Visits","mausam ki jankari","2 3 4 5 ko baris ki sambhavana hai","UTTAR PRADESH","BIJNOR","JALILPUR                                          ","2014-08-01 12:22:10.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","","problem in sugarcane","zime+zink+urea ko milaker prayog kre","UTTAR PRADESH","BIJNOR","HALDAUR(KHARI JHALU)                              ","2014-08-01 14:06:57.000"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","dhaan mai khaad","15 din pe urea 40 kilo, 10 kilo zinc/acre de","UTTAR PRADESH","BIJNOR","KIRATPUR                                          ","2014-08-01 14:36:12.000"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Reporting","Pasu samasya","18001805141","UTTAR PRADESH","BIJNOR","MOHAMMEDPUR DEOMAL                                ","2014-08-01 14:44:29.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","control of yellow leaf in paddy","60 kg urea /hecter","UTTAR PRADESH","BIJNOR","HALDAUR(KHARI JHALU)                              ","2014-08-01 15:27:48.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER CONDITION IN Bijnor","BADLI HAI","UTTAR PRADESH","BIJNOR","JALILPUR                                          ","2014-08-01 15:51:40.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan  me  tana chhedak  ya patti  lapetak  laga hai","cartop hydrocloraid  50sp    400  gram /acre  200  liter pani ke sath spray kare","UTTAR PRADESH","BIJNOR","MOHAMMEDPUR DEOMAL                                ","2014-08-01 16:16:40.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","GANNE KI GOAP ME KEEDA LAG RAHA HAI","APPLY FARTERA-8 KG /ACRE","UTTAR PRADESH","BIJNOR","NAJIBABAD                                         ","2014-08-01 16:56:47.000"
"RABI","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Animal Breeding","POLTRY KI LOAN","APNE BLOCK MAI SAMPARK KARE","UTTAR PRADESH","BIJNOR","DHAMPUR                                           ","2014-08-01 17:56:19.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","problem in paddy","saaf (carbendazim+mancozeb) ko 2gram/liter+streptocyclin ko milaker sprey kre","UTTAR PRADESH","BIJNOR","KOTWALI                                           ","2014-08-01 18:39:09.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","","problem in sugarcan","acephate ko sprey kre","UTTAR PRADESH","BIJNOR","HALDAUR(KHARI JHALU)                              ","2014-08-01 18:49:00.000"
"","AGRICULTURE","Others","Others","Weather","mausam ki janakri de","aaj kal padso halki vairsh hai","UTTAR PRADESH","BIJNOR","MOHAMMEDPUR DEOMAL                                ","2014-08-01 19:59:01.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausham ke bare me","2 se 8 agast tak lagatar baresh ki sambhwna hi","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-08-01 20:47:42.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER INFORMATION DE","baris kee sambhavana he","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-08-01 20:57:52.000"
"RABI","HORTICULTURE","Fruits","Papaya","	Plant Protection	","papita mai pila hai","coper oxy cloraide ka sprey kare 3 gram/liter","UTTAR PRADESH","BIJNOR","BUDHANPUR SEOHARA                                 ","2014-08-02 07:27:18.000"
"","HORTICULTURE","Vegetables","Brinjal","","baigan me kida lga hai","Spray- traizophos 40ec @ 2ml/lit, of water","UTTAR PRADESH","BIJNOR","NAJIBABAD                                         ","2014-08-02 08:22:49.000"
"","AGRICULTURE","Others","Others","","dhan me gop ki soodi lagi hai","fertera ki 4 kg matraa/acre burkaw kare","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-08-02 08:46:53.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me pyrila laga hai","Carbendazim 50%WP  3 gram + Monocrotophos 36% SC  2 ml  / liter pani ka spray kare","UTTAR PRADESH","BIJNOR","JALILPUR                                          ","2014-08-02 09:26:44.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me weed ki samaya hai","naminigold 80 ml dava /ekar 200 liter pani me spray kare","UTTAR PRADESH","BIJNOR","JALILPUR                                          ","2014-08-02 09:40:51.000"
"","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","	Plant Protection	","jowar me dimak ke liye cloropyriphos ki kitni matra dale","cloropyriphos @ 1 -1.5 liter / acre","UTTAR PRADESH","BIJNOR","MOHAMMEDPUR DEOMAL                                ","2014-08-02 10:28:21.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ganne Me Kide Lage Hai","Cartap Hydrochloride 4g 8-10 Kg/Acre","UTTAR PRADESH","BIJNOR","JALILPUR                                          ","2014-08-02 11:57:47.000"
