"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect in paddy","Thiomethoxam 25% WG-40-80 gm/acre","UTTAR PRADESH","BIJNOR","KOTWALI                                           ","2014-10-01 11:57:05.687"
"KHARIF","HORTICULTURE","Plantation Crops","Eculeptous","Agriculture Mechanization","eucaliptous ke paudhe sookh rahe hain","micronutrient + gobar ki khad + clorpyriphos ka prayog karen","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 12:43:07.520"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","	Field Preparation	","UCHIT SAMAY BUBAI KA","????? ?? ???? ?? ???? ??? ??????? ?? ??????? ?? ????? ?????? (1 ??????? ?? 20 ??????? ??) ?? |","UTTAR PRADESH","BIJNOR","DHAMPUR                                           ","2014-10-01 16:13:38.890"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","sms nhi ate hai","dobara apdate kr diya gya hai","UTTAR PRADESH","BIJNOR","NAJIBABAD                                         ","2014-10-01 16:16:18.913"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me kanduva rog ki dva bta de","dhaan me- hexaconazol ya pripikonazol @ 250 ml / ecar","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 16:42:20.533"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","MANGO KE TANE ME KEEDE CHED KR RHA HAI","SIRENGE ME PETROL LE CHED ME DAL KR GILI MITTOI SE BAND KR DE","UTTAR PRADESH","BIJNOR","BUDHANPUR SEOHARA                                 ","2014-10-01 17:28:30.720"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kida laga hai","folidal @ 20-25 kilo / hec prayog kare","UTTAR PRADESH","BIJNOR","KOTWALI                                           ","2014-10-01 17:53:03.337"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:24:01.933"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:24:16.927"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:24:30.310"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:24:44.010"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:24:57.413"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:25:10.760"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:25:22.267"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:25:35.670"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:25:48.967"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:26:02.343"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:26:14.163"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:26:27.477"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:26:40.797"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:26:54.140"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:27:07.757"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:27:21.333"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:27:34.637"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:27:48.413"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:28:02.310"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:28:15.950"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:28:29.237"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:28:42.580"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:28:56.040"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:29:09.927"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","cartap hydrochloride 50sp 400gram /acer ka sprey kre","UTTAR PRADESH","BIJNOR","AFZALGARH                                         ","2014-10-01 21:29:23.673"
