"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","dhan me kherpatavar nask se dhan jal raha hai","dhan me sirf pani laga sakte ho","UTTAR PRADESH","GORAKHPUR","URUWA                                             ","2014-08-01 07:44:01.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan ke jado me kide lag rahe hai","aap fertera 4 kigra dawa ko prati acare ki dar se burkaw kare","UTTAR PRADESH","GORAKHPUR","KHAJNI                                            ","2014-08-01 07:44:55.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Agriculture Mechanization","2,4 D ka doze kya hai","kisan bhai aap 2,4 D 250 ml prati acre prayog karen","UTTAR PRADESH","GORAKHPUR","KHAJNI                                            ","2014-08-01 08:37:54.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dhaan me khar hai","Clorimuran +Metsulfuran (Aalmix)4 gram /care prayog karen","UTTAR PRADESH","GORAKHPUR","KHAJNI                                            ","2014-08-01 08:46:12.000"
"","HORTICULTURE","Fruits","Pomegranate","","AANAR KAPHUL GHAD RAHA HI","PALANOFIX 1ML DAWA 4LITER PANI MILAKAR","UTTAR PRADESH","GORAKHPUR","GOLA                                              ","2014-08-01 09:05:14.000"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","bhini ki pati pili hai","dimacron 100 EC ,nuvan 100 EC 1 ml/3 litre ka spray","UTTAR PRADESH","GORAKHPUR","CAMPIERGANJ                                       ","2014-08-01 10:18:43.000"
"RABI","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Water Management	","insect in brinjal","Dichlorvos 76% EC
350 ml/acre","UTTAR PRADESH","GORAKHPUR","KAURI RAM                                         ","2014-08-01 11:21:17.000"
"RABI","HORTICULTURE","Vegetables","Colocasia (Arvi, Arbi)","Training and Exposure Visits","manure in brinjal","npk-19 19 19 2kg\acr","UTTAR PRADESH","GORAKHPUR","KAURI RAM                                         ","2014-08-01 11:22:53.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Water Management	","weed control ke liye","Nomanigold 80 ml/acre ka spray kare","UTTAR PRADESH","GORAKHPUR","SARDARNAGAR                                       ","2014-08-01 12:29:26.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Water Management	","weed control ke liye","Nomanigold 80 ml/acre ka spray kare","UTTAR PRADESH","GORAKHPUR","SARDARNAGAR                                       ","2014-08-01 12:29:30.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","AZOCTOBECTOR KI KITANI DOSE RAHTI HAI","25 KILO/ ACER KI DAR SE DALE","UTTAR PRADESH","GORAKHPUR","URUWA                                             ","2014-08-01 14:20:16.000"
"","AGRICULTURE","Others","Others","","MAOSM KI JANKARI DE","3  b 4 tarikha   ko barish  ki smbhabna h","UTTAR PRADESH","GORAKHPUR","SARDARNAGAR                                       ","2014-08-01 14:28:14.000"
"","AGRICULTURE","Others","Others","","allhabad ka mosam","barish ki sambhawana hai","UTTAR PRADESH","GORAKHPUR","BHATHAT                                           ","2014-08-01 15:28:52.000"
"","AGRICULTURE","Others","Others","","fasal bima ka bara me","bank me sampark kare","UTTAR PRADESH","GORAKHPUR","KHORABAR                                          ","2014-08-01 16:40:02.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","MAUSAM","BARSAT HONE KI SAMBHAWANA HAI","UTTAR PRADESH","GORAKHPUR","KHORABAR                                          ","2014-08-01 16:47:50.000"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Dairy Production","PASU SE SAMBANDIT JANAKRI","1800 180 5141 par sampark kare","UTTAR PRADESH","GORAKHPUR","PALI                                              ","2014-08-01 17:16:02.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me galn ho rahi hai","spray carbendazim 12%+ mancozeb 63% @ 2.5 gm,/lit, of water","UTTAR PRADESH","GORAKHPUR","GAGAHA                                            ","2014-08-01 17:26:38.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","weed problem in paddy","nomini gold 80ml/acer prayog kre","UTTAR PRADESH","GORAKHPUR","KAURI RAM                                         ","2014-08-01 18:25:44.000"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","dhaan mai ghaas hai","nomini gold ka sprey 120 ml/acre","UTTAR PRADESH","GORAKHPUR","BELGHAT                                           ","2014-08-02 06:32:20.000"
"","AGRICULTURE","Others","Others","","dhan me ghas ho gaya","nomini gold 80mlo dawa 150liter pani milajkar /acre","UTTAR PRADESH","GORAKHPUR","BANSGAON                                          ","2014-08-02 07:10:27.000"
"","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","UPAR KI PATTI SUKH JA RHI HAI","MANCHOZEB KA PRYOG KARE AUR NPK KA BHI PRYOG KAR LE","UTTAR PRADESH","GORAKHPUR","SAHJANAWA                                         ","2014-08-02 07:52:33.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","mosam ki jankari","halki baris ki sambhana hai","UTTAR PRADESH","GORAKHPUR","CAMPIERGANJ                                       ","2014-08-02 08:39:45.000"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Training and Exposure Visits","insect in bhindi","Dichlorvos 76% EC
2ml\liter pani me","UTTAR PRADESH","GORAKHPUR","KHORABAR                                          ","2014-08-02 10:11:53.000"
"","HORTICULTURE","Vegetables","Cauliflower","Seeds and Planting Material","gobhi ki variety kon si hai","arlisnoball,narender gobhi-1,pusa hybrid-2","UTTAR PRADESH","GORAKHPUR","CHARGAWAN                                         ","2014-08-02 12:39:16.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","dhan me jhulsa ke liye kya kare","STREPTOCYCLINE @6 GRAM,+ HEXACONAZOL @ 300 GRAM PRATI ACRE KA SPRAY KARE","UTTAR PRADESH","GORAKHPUR","PALI                                              ","2014-08-02 13:08:02.000"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEED PROBLEM IN RICE","SPRAY BISPAYRIBEK SODIUM @ 0.2 LIT./HECT.","UTTAR PRADESH","GORAKHPUR","URUWA                                             ","2014-08-02 15:59:29.000"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","weed problem in rice","spray bispayribek sodium @ 0.2 lit./hect.","UTTAR PRADESH","GORAKHPUR","URUWA                                             ","2014-08-02 16:14:58.000"
"JAYAD","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","","mausum ki jankari de","barish ho sakati hai","UTTAR PRADESH","GORAKHPUR","BANSGAON                                          ","2014-08-02 19:14:14.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","rice me weed control","bispariback sodium 80 ml /acre","UTTAR PRADESH","GORAKHPUR","SARDARNAGAR                                       ","2014-08-03 07:23:48.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me weed hai kya kare","Spray- bispyribac sodium 10% sc @ 80 ml/acre with 200 lit, of water","UTTAR PRADESH","GORAKHPUR","SARDARNAGAR                                       ","2014-08-03 07:48:12.000"
"JAYAD","AGRICULTURE","Others","Others","","mausam kee jankari chahiye","Aapake yahan  04  August ko varsha hone kee sambhawana hai","UTTAR PRADESH","GORAKHPUR","CAMPIERGANJ                                       ","2014-08-03 13:03:13.000"
"","AGRICULTURE","Others","Others","","DHAN ME KHARPATWAR HOGYA","NOMINI GOLD  80ML DAWA 150LITER PANI MILAKAR","UTTAR PRADESH","GORAKHPUR","PIPRAULI                                          ","2014-08-03 13:47:22.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","adora ki prayog bhidhi ki jankari","adora ki prayog bhidhi ki jankari","UTTAR PRADESH","GORAKHPUR","PIPRAULI                                          ","2014-08-03 14:34:04.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me weeds hai","nomini gold 80  mililiter /acre dava ka prayog kare","UTTAR PRADESH","GORAKHPUR","PIPRAULI                                          ","2014-08-03 14:37:26.000"
