"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","mosam ki jankari","dhup badal abana rahega halki booda kabhbhi pad sakti hi","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-01 07:31:15.953"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","mosam ki jakari","mosam me dhup badal bana rahega halki booda badi hone ki sambhawna hi","UTTAR PRADESH","HAMIRPUR","SUMERPUR                                          ","2014-10-01 08:51:36.280"
"RABI","HORTICULTURE","Fruits","Mango","Seeds and Planting Material","mausam ki jankari","1 2 ko baris ki sambhavana hai","UTTAR PRADESH","HAMIRPUR","SUMERPUR                                          ","2014-10-01 09:02:05.273"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","weather informat de","baris kee sambhavana nahi he","UTTAR PRADESH","HAMIRPUR","MAUDAHA                                           ","2014-10-01 10:05:32.423"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","mandi bhav de","8-10 din bad bhav le","UTTAR PRADESH","HAMIRPUR","KURARA                                            ","2014-10-01 11:41:03.330"
"KHARIF","AGRICULTURE","Others","Others","Weather","Mausam ki jankari chahiye","Kisan bhai aapke yahan  02  se 03 tak halki barish ki sambhawna hai","UTTAR PRADESH","HAMIRPUR","GOHAND                                            ","2014-10-01 12:04:53.020"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","mosam ki jankari","halke badal rahege baris nahi hogi","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-01 12:40:53.290"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information?","no rain","UTTAR PRADESH","HAMIRPUR","KURARA                                            ","2014-10-01 14:10:03.443"
"KHARIF","AGRICULTURE","Others","Others","Weather","MOSAM KI JANKARI","2-3 KO HALKI BUNDE PD SAKTI HAi","UTTAR PRADESH","HAMIRPUR","GOHAND                                            ","2014-10-01 14:14:10.640"
"KHARIF","HORTICULTURE","Fruits","Litchi","	Plant Protection	","litchi  ka paudha kaha milega","jila  udhan  vibhag se samperk kare","UTTAR PRADESH","HAMIRPUR","KURARA                                            ","2014-10-01 14:46:04.083"
"JAYAD","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER INFORMATION","CLEAR WEATHER","UTTAR PRADESH","HAMIRPUR","GOHAND                                            ","2014-10-01 15:12:59.360"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","INSECT IN SESAME","SPRAY- Imidachloprid 17.8% SL. 1ML/LITR WATER","UTTAR PRADESH","HAMIRPUR","MUSKARA                                           ","2014-10-01 16:23:03.703"
"KHARIF","HORTICULTURE","Vegetables","Pea (Vegetable)","Seeds and Planting Material","seed rate of pea","100 kg seed /hecter","UTTAR PRADESH","HAMIRPUR","RATH                                              ","2014-10-01 17:59:10.310"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","problem in chillies","carbendazim ko 2gram /liter ka sprey kre","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-01 21:11:01.227"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","problem in chillies","carbendazim ko 2gram /liter ka sprey kre","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-01 21:11:14.603"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","problem in chillies","carbendazim ko 2gram /liter ka sprey kre","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-01 21:11:27.920"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ke baare me bataye","baarish ki koi sambhaavna nahi hai baadal chaaye rahenge","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-02 06:44:06.830"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","kisan mela kab lagega","15 18 october tak kisan mela lagega","UTTAR PRADESH","HAMIRPUR","SUMERPUR                                          ","2014-10-02 09:27:03.040"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Sowing Time and Weather","Pea showing time","Pea showing time 15 Oct-15 Nov","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-02 10:36:26.647"
"KHARIF","HORTICULTURE","Vegetables","Capsicum","	Plant Protection	","Leaf curl disease in chilli","Metasystox  400 Ml dwa ko 250 liter pani me mila krke /Acre spary kre","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-02 11:44:13.027"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirch ke phool sukh kar gir ja rahe hai","spray carbendazim 12 % + mencozeb 63 %   2 gm/liter of water","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-02 12:26:49.683"
"RABI","AGRICULTURE","Others","Others","Weather","?  Mausam ki jankari leni hai","badal rahenge barish ki sambhavna nahi hai","UTTAR PRADESH","HAMIRPUR","GOHAND                                            ","2014-10-02 13:15:15.650"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","Agriculture Mechanization","cultivation of lentil","narendra masoor-1,2 ki buwai kre","UTTAR PRADESH","HAMIRPUR","GOHAND                                            ","2014-10-02 14:46:52.590"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","Agriculture Mechanization","cultivation of lentil","narendra masoor-1,2 ki buwai kre","UTTAR PRADESH","HAMIRPUR","GOHAND                                            ","2014-10-02 14:47:06.447"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Weather condition of forcast","Baadal rahege","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-02 15:32:22.920"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam","mausam saaf rahega","UTTAR PRADESH","HAMIRPUR","MAUDAHA                                           ","2014-10-02 15:47:59.247"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Varieties","sarso ki kism bta de","sarso ki kism kranti, pusa bold, varuna,narendra ageti rai-4","UTTAR PRADESH","HAMIRPUR","MAUDAHA                                           ","2014-10-02 16:32:01.127"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information?","barish hone ki sambhawana nahi hai","UTTAR PRADESH","HAMIRPUR","RATH                                              ","2014-10-02 16:49:45.140"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information?","barish hone ki sambhawana nahi hai","UTTAR PRADESH","HAMIRPUR","SUMERPUR                                          ","2014-10-02 17:05:50.310"
"KHARIF","HORTICULTURE","Fruits","Guava","	Plant Protection	","amrud ke ped me ful lagte hai fal nahi aata","planofix 1  mililiter /5 liter pani  me gholkar chhidkaav kare","UTTAR PRADESH","HAMIRPUR","MUSKARA                                           ","2014-10-02 17:36:28.083"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","ALU ME KALA DAG NAALAGE","TRICODARMA 2 KG /ACRE","UTTAR PRADESH","HAMIRPUR","MAUDAHA                                           ","2014-10-02 19:26:09.437"
"RABI","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","badal rhege baris ki koi sambhavna nhi hai","UTTAR PRADESH","HAMIRPUR","MUSKARA                                           ","2014-10-02 19:36:26.413"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam ki jankari chahiye","kisan bhai aapke yahan 3 se 8 tak bahut halki barish ki sambhawna hai","UTTAR PRADESH","HAMIRPUR","MUSKARA                                           ","2014-10-03 06:56:39.987"
"KHARIF","AGRICULTURE","Others","Others","Agriculture Mechanization","Chandra shekhar azad krishi vishwavidyalaya ka krishi mela kab hai","kisan bhai Chandra shekhar azad krishi vishwavidyalaya ka krishi mela 15 se 17 October ko hai","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-03 12:04:33.180"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","mosam ke bare batye","badal rhe ge","UTTAR PRADESH","HAMIRPUR","MAUDAHA                                           ","2014-10-04 11:47:56.610"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","RAVI ME CHANA KI BUAI KAR SAKTE HAI,WEATHER REPORT BATAO..?","KISAN BHAI MAUSAM SAF RAHEGA ,BUAI[CHANA ] KI KARE.","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-04 16:29:45.067"
"RABI","AGRICULTURE","Oilseeds","Mustard","Weather","mosam kebare me batao.","halke badal chaye rahenge.pure sptah  barish ki  sambhabna nhi hai .","UTTAR PRADESH","HAMIRPUR","GOHAND                                            ","2014-10-05 13:23:47.880"
"RABI","AGRICULTURE","Others","Others","Weather","weather information","11 Oct tak bunda baandi ki sambhawna he","UTTAR PRADESH","HAMIRPUR","SUMERPUR                                          ","2014-10-05 14:15:36.587"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Seeds","SARSO KI PRAJATI","JAIKISHAN, B-9, T-59, CS-52, Swaran Jyoti, Vasundhra, Aravali, PB, RH-30, PCR-7, Laxmi, Garima, Jagannath, GM-2, JM-1, Geeta, Meera, Urvashi , B-54,RGN-229, RGN-236, RGN-73, Pusa Mustard 24, Pusa Mustard 25, Pusa Mustard 26, Pusa Mustard 27, Pant Pili Sarso-1, Pusa Tarak, RGN-145, CS-56, PM-22, RGN-48, CS-54, JD-6, PBR-210,RH-9304, RK-9807, RK-9902, Pusa Agarni, BIO-902, Kranti","UTTAR PRADESH","HAMIRPUR","MAUDAHA                                           ","2014-10-05 15:53:09.243"
"KHARIF","AGRICULTURE","Others","Others","Weather","MAUSAM KI JANKARI DE","AAJ KAL MAUSAM SAAF HAI","UTTAR PRADESH","HAMIRPUR","SUMERPUR                                          ","2014-10-05 17:53:47.347"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","LEAF CURL IN KARELA ?","ACITAMEPRIDE 60 GRAM/ACRE SPRAY","UTTAR PRADESH","HAMIRPUR","SUMERPUR                                          ","2014-10-05 18:12:56.327"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","POTATO-SEED TREATED.","APPLY AGLAL@2GM./LIT.WATER.","UTTAR PRADESH","HAMIRPUR","GOHAND                                            ","2014-10-05 20:34:12.930"
"JAYAD","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER INFORMATION","CLEAR WEATHER","UTTAR PRADESH","HAMIRPUR","GOHAND                                            ","2014-10-06 14:42:42.433"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","fasal beema company ka number bata de","krishi beema company ka number-0522-2621173,2612866,2612627 lucknow karyalay","UTTAR PRADESH","HAMIRPUR","KURARA                                            ","2014-10-06 16:15:58.330"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","Agriculture Mechanization","masur kab boye","masur 15 october se bo sakte hai","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-06 16:28:56.990"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","GEHU KI PRAJATI KI JAAN KARI","C-306, DWR-162, DL-788-2, GW-496, GW-173, HD-2189, HD-2285, HD-2329, HP-1633 (SONALI), HS-240, KRL-19, LOK-1, PBW-154, PBW-226, RAJ-1482, RAJ-3765, RAJ-3077, SONALIKA, UP-2338, UP-1109, UP-262, WH-542, WH-147, KUNDAN, PBW-373, PBW-443, PBW-396, HD-2687, HD-2643, HD-2733, HD-4672, GW-273, GW-322, Helana, UP-2382, UP-2425, PBW-345, PBW-502, PBW-509, HS-295, WH-711, Sujata, HUW-234, HUW-468 , DBW-17, DBW-88, DBW-90, DBW-93, HD-3059, HD-3086, HD-3090, HS-542, HW-1098, K-1006, MACS-6478, NW-5054, PBW-660, RAJ-4238, WH-1124, DBW-71, HI-8713, WH-1105, HD-3043, DPW 621-50, HD-2967, HD-2987, HI-1563, Pusa Basant (HD-2985), Raj-4079, WH-1080, WHD-943, DBW-39, PDW-314, UP-2628, VL-907, WH-1025, CBW-38, MP-1203, PBW-590, PBW-596, RAJ-4120, HD-2984, HD-2932, HD-4713, HI-1544, PBW-550, VL-892, WH-1021, GW-366, K-307, UP-2526, UP-2572, DBW-16, HD-2833, RAJ-3777, UP-2565, RAJ-6560, WR-544, HD-2824, RAJ-4037, HI-1500, NW-2036, VL-829, HUW-510, K-7903, NW-1014, PBW-343, HUW-234, VL-616","UTTAR PRADESH","HAMIRPUR","MAUDAHA                                           ","2014-10-06 16:37:23.660"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather ki jankri","abhi mausam saf hein","UTTAR PRADESH","HAMIRPUR","SUMERPUR                                          ","2014-10-06 17:23:05.880"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information de","baris kee sambhavana nahi he","UTTAR PRADESH","HAMIRPUR","GOHAND                                            ","2014-10-06 17:38:29.377"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam ki jankari","barish ki koi sambhvana nahi hai","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-06 19:52:45.170"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Weather","any contact number of weather","18001801717","UTTAR PRADESH","HAMIRPUR","MAUDAHA                                           ","2014-10-07 07:35:07.960"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","baigan me galan hai","carbendajim + mancojeb 2 gr /liter","UTTAR PRADESH","HAMIRPUR","SUMERPUR                                          ","2014-10-07 09:28:32.247"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Seeds and Planting Material","SOWING TIME","JULY AUGST ME KAR SKTE HAI","UTTAR PRADESH","HAMIRPUR","SUMERPUR                                          ","2014-10-07 10:06:25.100"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","Weather","MAOSM KI JANKARI DE DE","BADAL RHEGE BARIS KI SAMBHAVNA NHI HAI","UTTAR PRADESH","HAMIRPUR","SUMERPUR                                          ","2014-10-07 11:09:27.053"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Weather","WEATHER REPORT BATAO.","KISAN BHAI VARSHA KI  KOI SAMBHAVNA NAHI HAIN/BADAL ATE-JATE DIKHAI DEGE.","UTTAR PRADESH","HAMIRPUR","SUMERPUR                                          ","2014-10-07 15:36:28.520"
"RABI","AGRICULTURE","Oilseeds","Sunflower (suryamukhi)","	Plant Protection	","LAHI ME KEEDA LAGA HAI","2 ml monocrotophos 36 %/ litre pani me ghol banakar spray kare","UTTAR PRADESH","HAMIRPUR","MAUDAHA                                           ","2014-10-07 16:50:36.883"
"RABI","AGRICULTURE","Others","Others","Weather","baarish ki kya sambhavna hai","baarish ki koi sambhaavna nahi hai baadal chaaye rahenge","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-08 08:49:23.440"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","daal wali matar ki variety bataye","rachna, malviya matar-15 aur R-400 (sikha) ye daal wali matar ki variety hai","UTTAR PRADESH","HAMIRPUR","MUSKARA                                           ","2014-10-08 14:47:36.590"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","mauasam ki jankari ke liye","mausam  saaf rahega","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-08 14:51:29.370"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Weather condition of forcast","Baadal rahege","UTTAR PRADESH","HAMIRPUR","GOHAND                                            ","2014-10-08 15:37:17.573"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Weather","MAUSAM KI JANKARI CHAHIY","MAUSAM SAPH RAHEGA VARISH NAHI HOGI","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-08 16:38:14.030"
"KHARIF","HORTICULTURE","Vegetables","Peas (field peas/ garden peas/matar)","Seeds and Planting Material","MATER KI PRAJATI BATAYEN","BONVILE,ARKIL MATER KI PRAJATIUGAYEN","UTTAR PRADESH","HAMIRPUR","SUMERPUR                                          ","2014-10-09 10:16:22.747"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","mosam ki jankari","13-14 october me 15mm barish hone ki sambhawna hi","UTTAR PRADESH","HAMIRPUR","RATH                                              ","2014-10-09 11:10:46.717"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","MAUSAM KI JANKARI CHAHIY","14 TARIKH KO VARISH HONE KI SAMBHAWNA HAI","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-10-09 11:29:19.730"
