"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","dhan me kherpatvar ho gyae hai","Spray of bispyribac sodium-80 ml /acre","UTTAR PRADESH","HARDOI","BILGRAM                                           ","2014-08-01 06:42:55.000"
"JAYAD","AGRICULTURE","Others","Others","","mausam kee jankari chahiye","Aapake yahan  03,04,05  August ko varsha hone kee sambhawana hai","UTTAR PRADESH","HARDOI","SANDILA                                           ","2014-08-01 06:54:28.000"
"","HORTICULTURE","Vegetables","Tomato","","varities of tomato","vaishali, rupali,rashmi, pusa ruby","UTTAR PRADESH","HARDOI","MADHOGANJ                                         ","2014-08-01 07:49:31.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","dhan me kherpatvar hai","Spray of bispyribac sodium-80 ml /acre","UTTAR PRADESH","HARDOI","SHAHABAD                                          ","2014-08-01 07:50:11.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","dhan me kya 2-4D dal sakte hai","dhan me  2-4D dal sakte hai jab ropayi 25-30 din ki hojaye","UTTAR PRADESH","HARDOI","BAWAN                                             ","2014-08-01 08:41:25.000"
"","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","moong ki patti pilli pad rhi hai","dimethoet (30 E.C) @ 1 liter / hacter","UTTAR PRADESH","HARDOI","PIHANI                                            ","2014-08-01 09:21:14.000"
"JAYAD","AGRICULTURE","Others","Others","","mausam kee jankari chahiye","Aapake yahan  03,04,05  August ko varsha hone kee sambhawana hai","UTTAR PRADESH","HARDOI","BILGRAM                                           ","2014-08-01 09:43:29.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","dhan  me kya khad dale","spray of n:p:k 19:19:19-1 kg /acre 200 lit paani me ghol kar chidkav kare","UTTAR PRADESH","HARDOI","MADHOGANJ                                         ","2014-08-01 10:11:59.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","dhan me khar hai","bixparibax sodium 80 ml /acre","UTTAR PRADESH","HARDOI","SANDI                                             ","2014-08-01 10:41:15.000"
"JAYAD","HORTICULTURE","Vegetables","Lettuce","Water Management, Micro Irrigation","palaki buvai ke bare me  jankari ke liye","palak ki buvai  augest me kare","UTTAR PRADESH","HARDOI","MADHOGANJ                                         ","2014-08-01 11:21:11.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Mausam ki jankari leni hai","badal rahege  barsa ho sakti hai","UTTAR PRADESH","HARDOI","BAWAN                                             ","2014-08-01 11:47:24.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","?  Mausam ki jankari leni hai","badal rahenge.kuch dino me barish ki sambhavna hai","UTTAR PRADESH","HARDOI","BAWAN                                             ","2014-08-01 13:16:03.000"
"","AGRICULTURE","Others","Others","","Hardoi ka mosam","barish ki sambhawaana hai","UTTAR PRADESH","HARDOI","PIHANI                                            ","2014-08-01 13:32:11.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dhan mai rog laga hai","Sulphar ka spray kare","UTTAR PRADESH","HARDOI","MALLAWAN                                          ","2014-08-01 14:07:00.000"
