"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me deemak lagi he.","carbofuron 3g. 10kg./acre.","UTTAR PRADESH","KHERI","MITAULI                                           ","2014-08-01 06:37:51.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me ghas ho gaya hi","nomin gold 80ml dawa 150liter pani milakar /acre","UTTAR PRADESH","KHERI","PHOOLBEHAR                                        ","2014-08-01 06:54:19.000"
"JAYAD","HORTICULTURE","Vegetables","Pointed Gourd","	Plant Protection	","KIT LAGE HAI KYA KARE","DAIMETHOATE 30%EC KA PRYOG KARE","UTTAR PRADESH","KHERI","PHOOLBEHAR                                        ","2014-08-01 06:58:11.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me deemk ki samasya hai","fatera 4-5 /ekar","UTTAR PRADESH","KHERI","DHAURHARA                                         ","2014-08-01 07:02:52.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me pattiya lal h","kisan bhai dhan me lalpan ke liye 5  kg zinc sulphate ,20 kg urea,1000 litre pani se chhidkav kre","UTTAR PRADESH","KHERI","PASGAWAN                                          ","2014-08-01 07:06:00.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","mausam ki jankari ke liye","barish ki sambhavna hai","UTTAR PRADESH","KHERI","LAKHIMPUR                                         ","2014-08-01 07:48:36.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan ki patti lal ho rahi hi","karbendazim 2ml dawa /liter pani milkar ,8-10kg mikronutrieant/acre,","UTTAR PRADESH","KHERI","PASGAWAN                                          ","2014-08-01 08:06:49.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me patti lal ho rahi hai","zink ka spray kare","UTTAR PRADESH","KHERI","PASGAWAN                                          ","2014-08-01 08:30:28.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me khera rog laga hai","zink sulphet 5 gram + urea 15 gram /liter pani ka spray kare","UTTAR PRADESH","KHERI","BEHJAM                                            ","2014-08-01 09:34:29.000"
"","AGRICULTURE","Others","Others","Weather","mousam ki jankari de","aapke yaha aaj sham me halki barsat hone ki sambhawana ban rahi hai","UTTAR PRADESH","KHERI","LAKHIMPUR                                         ","2014-08-01 09:46:26.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam ki jaan kari","3.4.5 ko ap keyaha bhari baris ho sakti hai","UTTAR PRADESH","KHERI","LAKHIMPUR                                         ","2014-08-01 10:06:25.000"
"RABI","HORTICULTURE","Vegetables","Potato","Water Management, Micro Irrigation","potato ki jankari ke liye","potato ki jankari di gayi hai","UTTAR PRADESH","KHERI","DHAURHARA                                         ","2014-08-01 10:30:09.000"
"JAYAD","AGRICULTURE","Others","Others","","urea mahangi mil rhi hai kya kare","aap is no . par 9235629301 sampark kare","UTTAR PRADESH","KHERI","MOHAMMADI                                         ","2014-08-01 10:45:15.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","DHAN KI GROWTH NAHI HO RAHI HAI","UREA KA BURKAW KARE","UTTAR PRADESH","KHERI","MOHAMMADI                                         ","2014-08-01 11:02:20.000"
"","HORTICULTURE","Fruits","Jack Fruit","	Plant Protection	","jack fruit ke phal girne ki samasya hai","copper oxi chloride- 2.5 gram/liter pani ka spray, monocrotophos 36%- 2 gram/liter pani","UTTAR PRADESH","KHERI","LAKHIMPUR                                         ","2014-08-01 11:29:14.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me deemak  lagi hai","chloroparipos 20ec ka 1.5 li /acre ka prayog  kare","UTTAR PRADESH","KHERI","DHAURHARA                                         ","2014-08-01 11:48:30.000"
"JAYAD","HORTICULTURE","Vegetables","Pointed Gourd","	Plant Protection	","khire me patti me dhabbe  h","kisan bhai khire me dhabbe ke liye Carbendazim 0.05 % (0.5 g/litre se spray kre","UTTAR PRADESH","KHERI","MOHAMMADI                                         ","2014-08-01 12:00:03.000"
"","AGRICULTURE","Others","Others","Weather","mausam ki janakri de","aaj kal padso halki varish hai","UTTAR PRADESH","KHERI","LAKHIMPUR                                         ","2014-08-01 14:14:02.000"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT RICE CROP","KINDLY CHECK THE PLANT & CALL AGAIN","UTTAR PRADESH","KHERI","KUMBHIGOLA                                        ","2014-08-01 14:19:11.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me patte kokeda lappet rha hai","daiclorovas 2 mililitre/litre pani ke sath milaakar chidcav kare","UTTAR PRADESH","KHERI","BEHJAM                                            ","2014-08-01 15:03:09.000"
"","AGRICULTURE","Others","Others","Weather","mausam ki janakri de","aaj kal padso halki vairsh hai","UTTAR PRADESH","KHERI","LAKHIMPUR                                         ","2014-08-01 15:42:06.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me kida hai","fartera 6kilo/acre","UTTAR PRADESH","KHERI","PHOOLBEHAR                                        ","2014-08-01 16:11:04.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Crop Insurance","CROP INSURANCE REQUIRMENT.","KISAN BHAI NATIONALIZED BANK MANAGER SE CONTACT KARE.","UTTAR PRADESH","KHERI","KUMBHIGOLA                                        ","2014-08-01 16:20:04.000"
"","HORTICULTURE","Fruits","Papaya","","cropping of papaya","co-1,2,3,4,5,6  pusa nanha ki ropai kre","UTTAR PRADESH","KHERI","NAKAHA                                            ","2014-08-01 16:24:11.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAAN KI PANGI SUKH RAHA HAI","Cartap Hydrochloride 4G
8-10 Kg/acre","UTTAR PRADESH","KHERI","BANKEYGANJ                                        ","2014-08-01 16:32:48.000"
"","AGRICULTURE","Others","Others","","other ke bare me","k.v.k se sumpark kre","UTTAR PRADESH","KHERI","LAKHIMPUR                                         ","2014-08-01 17:02:19.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Weather","WEATHER REPORT BATAO.","KISAN BHAI IS SAPTAH BHARI VARSHA HO SAKTI HAI.","UTTAR PRADESH","KHERI","MITAULI                                           ","2014-08-01 17:12:39.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Dhan mai khaira rog laga hai","Zink ka prayog kare","UTTAR PRADESH","KHERI","PASGAWAN                                          ","2014-08-01 17:47:01.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan  me  kida  h","Dichlorvos 76% EC 350 ml + Cartap Hydrochloride 50 SP 400 g  / acer   ka  spre  kre","UTTAR PRADESH","KHERI","KUMBHIGOLA                                        ","2014-08-01 17:51:44.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me kya dale","yuriya 50kilio/acre ,zink 10 kilo/acre ,megniciam 2kilo/acre","UTTAR PRADESH","KHERI","LAKHIMPUR                                         ","2014-08-01 20:23:03.000"
"RABI","AGRICULTURE","Cereals","Barley (Jau)","Credit","ganne ki pattiyan tiddi kha rhi hi","Dichlorvos 76% EC 350 ml/ecd spray karein","UTTAR PRADESH","KHERI","NIGHASAN                                          ","2014-08-01 20:31:43.000"
"","AGRICULTURE","Others","Others","","dhan  me weed  control","bes paribek sodiyam 100ml/acre","UTTAR PRADESH","KHERI","PASGAWAN                                          ","2014-08-01 21:03:37.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan ki pudh pili ho rahi hai kya kare","zinc 5 kilo per eakr se dal de khet m","UTTAR PRADESH","KHERI","LAKHIMPUR                                         ","2014-08-01 21:19:33.000"
"","HORTICULTURE","Vegetables","Brinjal","","brinjal  me  kida  h","Dichlorvos 76% EC 350  ml +Cartap Hydrochloride 50 SP 400 g / acer   ka  spre","UTTAR PRADESH","KHERI","RAMIA BEHAR                                       ","2014-08-01 21:58:30.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan ke jado me kida lag raha hai","aap cartaf hydro chloride 6-8 kigra dawa ko prati acare ki dar se jado me burkaw kare","UTTAR PRADESH","KHERI","PASGAWAN                                          ","2014-08-02 06:15:56.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER INFORMATION","HLKI BARISH HO SKTI HAI","UTTAR PRADESH","KHERI","PHOOLBEHAR                                        ","2014-08-02 06:50:57.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me weed hai","nomnigold 80ml/acre","UTTAR PRADESH","KHERI","BIJUWA                                            ","2014-08-02 06:53:43.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","mosam ki jankari","halki baris ki sambhana hai","UTTAR PRADESH","KHERI","PHOOLBEHAR                                        ","2014-08-02 08:07:06.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dhan me Kharpatwar Ke Liye Kya Dale","bispyriback sodium 80ml/acre  me spray kare","UTTAR PRADESH","KHERI","MITAULI                                           ","2014-08-02 08:09:13.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me suri ki samaya hai","koraazeen 60-80 ml dava /ekar","UTTAR PRADESH","KHERI","MITAULI                                           ","2014-08-02 08:17:24.000"
"","AGRICULTURE","Others","Others","","dhan me soodi lagi hai","chlorpyriphas ka chidkaw kare","UTTAR PRADESH","KHERI","BEHJAM                                            ","2014-08-02 08:20:43.000"
"RABI","AGRICULTURE","Others","Others","Weather","SMS JYADA AA RAHE HAI","DEACTIVATION KA KOI OPTATIO NAHI HAI","UTTAR PRADESH","KHERI","PHOOLBEHAR                                        ","2014-08-02 08:23:02.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","POUDHE ME NICHE KI PATTI PILI PAD RHI HAI KYA KARE","MANCHOZEB KA SPRAY KARE AUR UREA KA PRYOG KARE","UTTAR PRADESH","KHERI","LAKHIMPUR                                         ","2014-08-02 08:35:17.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","manure in paddy","micronutrients 10kg\acr","UTTAR PRADESH","KHERI","BIJUWA                                            ","2014-08-02 08:39:16.000"
"","AGRICULTURE","Others","Others","","mausam ki janakri","barsat ki sambhabna hai","UTTAR PRADESH","KHERI","MITAULI                                           ","2014-08-02 08:42:41.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me pila pad raha hi jad gughiya lag rahi","kartaf hydra kloride 10kg /acre","UTTAR PRADESH","KHERI","DHAURHARA                                         ","2014-08-02 08:56:19.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","?  Mausam ki jankari leni hai","badal rahege  barsa ho sakti hai","UTTAR PRADESH","KHERI","LAKHIMPUR                                         ","2014-08-02 09:11:40.000"
"","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Aapke yaha 2 august se 6 august tak baris ki hone ki sambhawana hai","UTTAR PRADESH","KHERI","LAKHIMPUR                                         ","2014-08-02 09:31:22.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me ghas ho gaya hi","nomini gold 80ml dawa 150liter   /acre","UTTAR PRADESH","KHERI","MITAULI                                           ","2014-08-02 09:45:38.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me ghas ho gaya hi","nomini gold 80ml dawa 150liter   /acre","UTTAR PRADESH","KHERI","MITAULI                                           ","2014-08-02 09:45:41.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me root me kidad ahi","fipronil 0.3 8.0 kilo /acre","UTTAR PRADESH","KHERI","KUMBHIGOLA                                        ","2014-08-02 10:22:46.000"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","","bhaince bimar hai","05812311111 pr samprk kre","UTTAR PRADESH","KHERI","NAKAHA                                            ","2014-08-02 11:53:21.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me rog laga hai","carbendajim12%+mencozeb63%@500 gram/acre spray karen","UTTAR PRADESH","KHERI","KUMBHIGOLA                                        ","2014-08-02 12:22:21.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhaan  me bdbar  nhi  h","zink salfet 8  kg / acer","UTTAR PRADESH","KHERI","PASGAWAN                                          ","2014-08-02 13:04:08.000"
"JAYAD","HORTICULTURE","Plantation Crops","Eculeptous","Cultural Practices","liptash ki planting duri kya rahegi","liptash ki planting duri 2 - 2.5 meeter/plant rahegi","UTTAR PRADESH","KHERI","ISANAGAR                                          ","2014-08-02 13:12:21.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me growth ka liye","amino acid 8.0 kilo/acre","UTTAR PRADESH","KHERI","PASGAWAN                                          ","2014-08-02 13:22:08.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me deemak lagi he.","carbofuron 3g. 10kg./acre.","UTTAR PRADESH","KHERI","LAKHIMPUR                                         ","2014-08-02 13:35:21.000"
"JAYAD","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","khira gol ho rha hai","khire me- 20 gm urea / liter pani","UTTAR PRADESH","KHERI","MOHAMMADI                                         ","2014-08-02 14:05:55.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Potash ki pahchan","Bhigone par chipakte nahi hai","UTTAR PRADESH","KHERI","BIJUWA                                            ","2014-08-02 14:08:47.000"
"","AGRICULTURE","Others","Others","Weather","weather condition in Kheri","4 august ko barish ki sambhavna hai","UTTAR PRADESH","KHERI","BANKEYGANJ                                        ","2014-08-02 14:19:11.000"
"","AGRICULTURE","Others","Others","","sms subidha laga do","pahale se lagi hai","UTTAR PRADESH","KHERI","KUMBHIGOLA                                        ","2014-08-02 14:27:08.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INSECT IN PADDY","Apply  cartap hydrochloride 4g @ 10kg /acre","UTTAR PRADESH","KHERI","NIGHASAN                                          ","2014-08-02 14:30:06.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","growth problem in paddy","kisan bhai NPK 18-18-18 @ 3 kilo/acre ka prayog karen","UTTAR PRADESH","KHERI","ISANAGAR                                          ","2014-08-02 14:53:05.000"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ganne me weeds hai","2,4-D 80% WP   sodium salt 600-700 gram/acre dava prayog kare","UTTAR PRADESH","KHERI","MITAULI                                           ","2014-08-02 15:13:50.000"
"","HORTICULTURE","Fruits","Mango","	Plant Protection	","aam  me deemak lag rahi he","furan 3 g  1.0 kilo/plant","UTTAR PRADESH","KHERI","KUMBHIGOLA                                        ","2014-08-02 15:29:47.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam kee jankari chahiye","Aapake yahan  04  August ko varsha hone kee sambhawana hai","UTTAR PRADESH","KHERI","MITAULI                                           ","2014-08-02 15:41:08.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Weather condition of forcast","Baaris hogi","UTTAR PRADESH","KHERI","MITAULI                                           ","2014-08-02 15:46:25.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dhan mai kida laga hai","Cartap Hydrochloride 4% G 8-10 kg/acre","UTTAR PRADESH","KHERI","KUMBHIGOLA                                        ","2014-08-02 16:05:33.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","kele ke samsya hi","Carbendazim 12% + Mancozeb 63% WP 3 gm/liter pani me ghol bana ke spray karein","UTTAR PRADESH","KHERI","ISANAGAR                                          ","2014-08-02 16:23:37.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","blight desease?","spray mancozeb@2gram/liter of water.","UTTAR PRADESH","KHERI","NAKAHA                                            ","2014-08-02 17:31:39.000"
"JAYAD","AGRICULTURE","Pulses","Black Gram (urd bean)","	Field Preparation	","blight desease?","spray mancozeb@2gram/liter of water.","UTTAR PRADESH","KHERI","ISANAGAR                                          ","2014-08-02 18:50:37.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam ki jankari de","3 aur 4 ko baris hone ki sambhavna hai","UTTAR PRADESH","KHERI","KUMBHIGOLA                                        ","2014-08-02 18:53:33.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dhan mai kida laga hai","Cartap Hydrochloride 4% G 8-10 kg/acre","UTTAR PRADESH","KHERI","ISANAGAR                                          ","2014-08-02 18:53:56.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","dhaan me kire lge hai kya kare","??? ??? ??????? ??????????????? 4G @ 8-10 Kg/ ??? ?? ?????? ???","UTTAR PRADESH","KHERI","DHAURHARA                                         ","2014-08-02 19:30:06.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan weed hai do mah ki fasal hai","koi dava nhi padegi","UTTAR PRADESH","KHERI","ISANAGAR                                          ","2014-08-02 19:30:08.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information?","bhari barish","UTTAR PRADESH","KHERI","PHOOLBEHAR                                        ","2014-08-02 20:32:30.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me sundi lagi hai","spray quinolphos 25 % EC  400 ml per ekad","UTTAR PRADESH","KHERI","MOHAMMADI                                         ","2014-08-02 20:35:55.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAN ME DIMAK HAI","CARTAP HYDROCHLORIDE 8 KG/ACRE","UTTAR PRADESH","KHERI","LAKHIMPUR                                         ","2014-08-02 20:55:57.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","stem rot desease?","spray coperoxiclorid@2gram/liter of water.","UTTAR PRADESH","KHERI","PHOOLBEHAR                                        ","2014-08-02 21:00:16.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAAN KI PATI LAL PAD RAHI HAI","SPRAY OF Hexaconazole 5% EC-400 ML /ACRE","UTTAR PRADESH","KHERI","PASGAWAN                                          ","2014-08-02 21:12:59.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","","ganne me peelapan hai  badwaar nahi ho rahi hai","apply cartop hydrochloride 4 G 10 kilogram/ acre","UTTAR PRADESH","KHERI","LAKHIMPUR                                         ","2014-08-02 21:26:35.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","DHAN ME KEEDE LAGE HAI","Spray Cartop hydrochloride 50 % sp 400 gram per acre","UTTAR PRADESH","KHERI","BANKEYGANJ                                        ","2014-08-03 06:39:27.000"
"JAYAD","AGRICULTURE","Others","Others","Agriculture Mechanization","kisan bhai aapki awaj nahi aa rahi hai","kisan bhai aapki awaj nahi aa rahi hai","UTTAR PRADESH","KHERI","PHOOLBEHAR                                        ","2014-08-03 07:08:29.000"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)","bhas ke bel utar rhi hai","pashu chiktsak se smprk kre","UTTAR PRADESH","KHERI","PHOOLBEHAR                                        ","2014-08-03 07:17:07.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","Til kee patti par kale pade hai","Carbendazim 12% + Mancozeb 63% WP 2 gram / litre spray karen+Monocrotophas 36 % SL 1 ml/Litre pani ke sath spray karen","UTTAR PRADESH","KHERI","BANKEYGANJ                                        ","2014-08-03 07:23:32.000"
"JAYAD","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","","bhai ka uterus bahar aa jata hai kya kare","aap pasu daktar se sampark kare","UTTAR PRADESH","KHERI","PHOOLBEHAR                                        ","2014-08-03 07:27:47.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather ki jankri","ABHI mausam saf nahi hein","UTTAR PRADESH","KHERI","ISANAGAR                                          ","2014-08-03 07:46:59.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me suri ki samaya hai","Triazophose 40% EC,350-500 ml/acre ,fatera 4-5 kg / ekar","UTTAR PRADESH","KHERI","PASGAWAN                                          ","2014-08-03 07:54:51.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ganna pila ho raha hai","3 kg NPK 19:19 ka spray 200 liter pani me spray kare","UTTAR PRADESH","KHERI","MOHAMMADI                                         ","2014-08-03 08:13:10.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","mausam ki jankari chahiy","varish hone ki sambhawna hai","UTTAR PRADESH","KHERI","ISANAGAR                                          ","2014-08-03 08:18:03.000"
"","AGRICULTURE","Others","Others","","mnadi bhaw jankari chahiy kal lagwaya hi aat nahi hi","activate hone me time lagata","UTTAR PRADESH","KHERI","MOHAMMADI                                         ","2014-08-03 08:24:49.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","dhaanme kire lge hai kya kare","??? ??? ??????? ??????????????? 4G @ 8-10 Kg/ ??? ?? ?????? ???","UTTAR PRADESH","KHERI","MITAULI                                           ","2014-08-03 08:28:59.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","pest in paddy","Chlorpyriphos 50% + Cypermethrin 5% EC 2 ml / liter pani ka ghool banaker spray kare","UTTAR PRADESH","KHERI","BEHJAM                                            ","2014-08-03 09:29:32.000"
"JAYAD","AGRICULTURE","Others","Others","Agriculture Mechanization","kisan bhai aapki aawaj nahi aa rahi hai dobara call karen","kisan bhai aapki aawaj nahi aa rahi hai dobara call karen","UTTAR PRADESH","KHERI","ISANAGAR                                          ","2014-08-03 09:39:02.000"
