"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","sms lagwana hai","sms lagaya gaya","UTTAR PRADESH","KUSHI NAGAR","KHADDA                                            ","2014-09-04 14:11:13.013"
"JAYAD","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","Badal rhege hlki baris ho skti hai","UTTAR PRADESH","KUSHI NAGAR","KASAYA                                            ","2014-09-04 15:51:36.323"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam ki jankari","6 september ko barsat ho sakti hai","UTTAR PRADESH","KUSHI NAGAR","NEBUA NAURANGIA                                   ","2014-09-04 17:22:45.000"
"KHARIF","ANIMAL HUSBANDRY","Animal","Goat","Disease Reporting","bakri ke bacche mar ja  rahe hai","contact your block vetrinary officer","UTTAR PRADESH","KUSHI NAGAR","HATA                                              ","2014-09-05 06:38:07.613"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","kele bade karne keliye","spray nepthlene acetic acid","UTTAR PRADESH","KUSHI NAGAR","KHADDA                                            ","2014-09-05 08:18:54.737"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki nok sukh rahi hai","Carbendazim 12%+ Mancozeb 63% WP     3 gram / liter pani ka spray kare","UTTAR PRADESH","KUSHI NAGAR","TAMKUHIRAJ                                        ","2014-09-05 08:27:17.793"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me tidde lage hai","dusting fenvelret 0.04 % dust 10 kg/acre","UTTAR PRADESH","KUSHI NAGAR","KHADDA                                            ","2014-09-05 11:08:52.300"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dhan mai rog laga hai","Hexaconozol ka spray kare","UTTAR PRADESH","KUSHI NAGAR","SEORAHI                                           ","2014-09-05 14:52:01.590"
"KHARIF","AGRICULTURE","Others","Others","Agriculture Mechanization","bank accont me kitna paisa hai","no detail","UTTAR PRADESH","KUSHI NAGAR","KASAYA                                            ","2014-09-05 17:06:47.187"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER INFORMATION","BARISH HO SKTI HAI","UTTAR PRADESH","KUSHI NAGAR","MOTICHAK                                          ","2014-09-06 06:44:53.020"
