"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rice me insect laga hein","corbofuran 10 kilo /acre","UTTAR PRADESH","MATHURA","CHAUMUHA                                          ","2014-10-01 06:31:30.757"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me blast ki samasy hai","tricklajol 200 gram dava 150 liter pani me spray kare","UTTAR PRADESH","MATHURA","CHAUMUHA                                          ","2014-10-01 06:42:19.920"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me baalia safed nikal rahi hai","dusting fenvelret 0.04 % dust 10 kg/acre","UTTAR PRADESH","MATHURA","CHHATA                                            ","2014-10-01 07:41:46.363"
"KHARIF","AGRICULTURE","Others","Others","Weather","Mausam ki jankari chahiye","Kisan bhai aapke yahan 02 ko halki barish ki sambhawna hai","UTTAR PRADESH","MATHURA","GOVARDHAN                                         ","2014-10-01 07:47:29.753"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki phasal sukh rhi hai kya dawa dale","?????  -78 ???  500 ?????  /???  + ????????????? 500 ml /??? ?????? ???","UTTAR PRADESH","MATHURA","CHHATA                                            ","2014-10-01 07:53:50.057"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki patti julsi hai","popikonajol 200 ml dava /ekar 150 liter pani me spray","UTTAR PRADESH","MATHURA","MATHURA                                           ","2014-10-01 10:06:46.500"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","laha ki buvai karni hai","buvai kara sakte hai","UTTAR PRADESH","MATHURA","GOVARDHAN                                         ","2014-10-01 10:42:47.317"
"KHARIF","AGRICULTURE","Others","Others","Weather","MAUSAM KI JANAAKRI DE","AAJ KAL MAUSAM SAAF HAI","UTTAR PRADESH","MATHURA","RAYA                                              ","2014-10-01 11:33:02.610"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather ki jankri","abhi mausam saf hein","UTTAR PRADESH","MATHURA","FARAH                                             ","2014-10-01 11:52:52.043"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","alu ko upchar","monsaron 1liATAR/30 KUNTAL","UTTAR PRADESH","MATHURA","MAT                                               ","2014-10-01 13:15:01.410"
"KHARIF","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","kisan bhai appke yaha, 1 october se 6 october tak bundabandiaur halki barish ki sambhawana hai","UTTAR PRADESH","MATHURA","BALDEO                                            ","2014-10-01 13:37:55.023"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausum ki jankari de","????? ??? ?? ?? ??? ? ??????? ?? ?? ???? ??","UTTAR PRADESH","MATHURA","MAT                                               ","2014-10-01 13:40:51.720"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","1509 KA RATE","1350 rupya/quintel msp hi","UTTAR PRADESH","MATHURA","GOVARDHAN                                         ","2014-10-01 14:16:54.973"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information?","no rain","UTTAR PRADESH","MATHURA","BALDEO                                            ","2014-10-01 14:40:22.540"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER CONDITION IN MATHURA","HALKI BADLI HAI BARISH KI SAMBHANA NAHI HAIO","UTTAR PRADESH","MATHURA","CHHATA                                            ","2014-10-01 15:17:55.933"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DISEASE IN PADDY CROP","PROPICONAJOL 25 % 200 ML/ACRE  + Cartap Hydrochloride 50 SP.400 gm/acre","UTTAR PRADESH","MATHURA","FARAH                                             ","2014-10-01 15:29:14.483"
"KHARIF","AGRICULTURE","Others","Others","Weather","aaj ka tapman kitana hai","aaj ka adhikatam tapman 36*c hai","UTTAR PRADESH","MATHURA","GOVARDHAN                                         ","2014-10-01 15:35:54.867"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan  ke dane halka pila hai  sichai kare ki nahi","Propiconazole 25% EC   250   ml /acre  200  liter pani ke sath sapray kare","UTTAR PRADESH","MATHURA","CHHATA                                            ","2014-10-01 15:46:33.440"
