"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam ki jankari","2 se 6 tak barish hai","UTTAR PRADESH","MORADABAD","BAHJOI                                            ","2014-08-01 07:20:59.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me pilapan hai","nitrobenjin  dawa ko 400ml/acre spray kare","UTTAR PRADESH","MORADABAD","SAMBHAL                                           ","2014-08-01 08:00:57.000"
"","AGRICULTURE","Others","Others","","dhan me soodi lagi hai","chloropyriphas ka chidkaw kare","UTTAR PRADESH","MORADABAD","THAKURDWARA                                       ","2014-08-01 08:32:22.000"
"JAYAD","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","Seeds","jwar lagani hai chare ke liye","mp chari-1 ki bovai kare","UTTAR PRADESH","MORADABAD","KUNDARKI                                          ","2014-08-01 09:07:10.000"
"","AGRICULTURE","Others","Others","","BAJRA KI PHASAL BONA","LET HO ERAHA HI ,JALDI LAGAO","UTTAR PRADESH","MORADABAD","BILARI                                            ","2014-08-01 09:42:31.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","mousam ki jankari de","aapke yaha aaj sham me halki barsat hone ki sambhawana ban rahi hai","UTTAR PRADESH","MORADABAD","PANWASA                                           ","2014-08-01 10:30:04.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","machali palan ki jankari","machali palan ki jankari -18001805661 pe phone kare","UTTAR PRADESH","MORADABAD","SAMBHAL                                           ","2014-08-01 10:30:45.000"
"JAYAD","HORTICULTURE","Plantation Crops","Poplar","	Plant Protection	","poplar me deemak ki problem","sichaai ke saath chloropyrifos dale","UTTAR PRADESH","MORADABAD","MUNDA PANDEY                                      ","2014-08-01 11:21:30.000"
"JAYAD","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","Cultural Practices","bajre me ghas h","kisan bhai bajre me ghas ke liye nirai gudai kre","UTTAR PRADESH","MORADABAD","BAHJOI                                            ","2014-08-01 12:51:37.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan  me  weed  h","nomini gold 80  ml / acer  ka  spre kre","UTTAR PRADESH","MORADABAD","BHAGATPUR TANDA                                   ","2014-08-01 15:25:47.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan  me  kida  h","Cartap Hydrochloride 50 SP 400 g + Dichlorvos 76% EC 250ml   / acer  ka  spre  kre","UTTAR PRADESH","MORADABAD","DILARI                                            ","2014-08-01 16:25:48.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","control of weeds in paddy","nominigold 80ml /acre spray","UTTAR PRADESH","MORADABAD","MUNDA PANDEY                                      ","2014-08-01 17:22:48.000"
"","AGRICULTURE","Others","Others","	Plant Protection	","ZAIM KA PRAYOG KARNA HAI","Aminoacids (16) 10% ( AISHWARYA GRANULES) 8 kilogram /acre","UTTAR PRADESH","MORADABAD","BAHJOI                                            ","2014-08-01 17:23:31.000"
"","HORTICULTURE","Vegetables","Bottle Gourd ","","loki me root ser rahi hai","coper oxichloride 500 gram /acre, steraptocyclaline 6.0 gram/ acre ka spray","UTTAR PRADESH","MORADABAD","KUNDARKI                                          ","2014-08-01 17:27:13.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki fasal pili ho rahi he kya kare pani bhar gaya tha","your kcc Id-UTP_9644033 ,spray coc @2 gm /lit water","UTTAR PRADESH","MORADABAD","MORADABAD                                         ","2014-08-01 17:39:29.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Bakanae Disease IN PADDY","Foliar spray with carbendazim @ 3g/ litre gives good control of this disease in the field","UTTAR PRADESH","MORADABAD","BANIYAKHERA                                       ","2014-08-01 17:52:27.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","Weather condition of forcast","Baadal rahege","UTTAR PRADESH","MORADABAD","PANWASA                                           ","2014-08-01 19:30:26.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER INFORMATION","HLKI BARISH HO SKTI HAI","UTTAR PRADESH","MORADABAD","DILARI                                            ","2014-08-02 07:42:13.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER INFORMATION","HLKI BARISH HO SKTI HAI","UTTAR PRADESH","MORADABAD","KUNDARKI                                          ","2014-08-02 07:45:24.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER INFORMATION","HLKI BARISH HO SKTI HAI","UTTAR PRADESH","MORADABAD","BAHJOI                                            ","2014-08-02 08:08:17.000"
"","AGRICULTURE","Others","Others","","mausam ki jankari","barsat ki sambhabna hai","UTTAR PRADESH","MORADABAD","THAKURDWARA                                       ","2014-08-02 08:57:26.000"
"","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","urd ki variety","azad-1,2,shekher -2,narender urd -2","UTTAR PRADESH","MORADABAD","KUNDARKI                                          ","2014-08-02 09:12:53.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me gidar lagi hai","Monocrotophos 36% SC  2 ml+ Carbendazim 50%WP  3 gram / liter pani ka ghool banaker spray kare","UTTAR PRADESH","MORADABAD","BANIYAKHERA                                       ","2014-08-02 09:31:04.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan ki patti pr safed dhabba ahi","theek se dekh kr bataye","UTTAR PRADESH","MORADABAD","KUNDARKI                                          ","2014-08-02 10:08:00.000"
"","AGRICULTURE","Others","Others","","MAUSAM KI JANKARI","BARSAT KI SAMBHABNA HAI","UTTAR PRADESH","MORADABAD","SAMBHAL                                           ","2014-08-02 11:21:04.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ganne me phutav nahi hai","npk 19 19 19 1kg/acre","UTTAR PRADESH","MORADABAD","ASMAULI                                           ","2014-08-02 13:36:55.000"
"JAYAD","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Sabjiyon kee kheti ke vishay me jankari den","Sabjiyon kee kheti ke vishay me jankari dee gayi","UTTAR PRADESH","MORADABAD","THAKURDWARA                                       ","2014-08-02 14:21:18.000"
"","AGRICULTURE","Others","Others","Weather","mosam ki jankari","6 tak mosam kharab hai","UTTAR PRADESH","MORADABAD","SAMBHAL                                           ","2014-08-02 14:42:00.000"
"JAYAD","HORTICULTURE","Fruits","Papaya","	Plant Protection	","papaya   me leaf   curl  laga hai","jad  me furadaan  daale ,  aur   imidacloroprid 17.8 sl    1 ml/liter pani ke dar se spray kare","UTTAR PRADESH","MORADABAD","MORADABAD                                         ","2014-08-02 14:43:43.000"
"","AGRICULTURE","Others","Others","","mosam ki jankari","7 tak mosam kharab hai","UTTAR PRADESH","MORADABAD","CHHAJLET                                          ","2014-08-02 14:46:45.000"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ROTTING IN RICE","SPRAY COPPER OXY CHLORIDE @ 3 GM./LIT.OF WATER","UTTAR PRADESH","MORADABAD","BANIYAKHERA                                       ","2014-08-02 15:14:07.000"
"JAYAD","AGRICULTURE","Others","Others","	Field Preparation	","Kamdhenu yojana ke vishay me batayen","Kamdhenu yojana ke vishay me jankari ke liye 18001805141 par sampark karen","UTTAR PRADESH","MORADABAD","BAHJOI                                            ","2014-08-02 16:09:32.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam kee jankari chahiye","Aapake yahan  04,05  August ko varsha hone kee sambhawana hai","UTTAR PRADESH","MORADABAD","BAHJOI                                            ","2014-08-02 17:18:22.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dhaan me dimak ki dva bta de","Dhaan me dimak ki dva- foret 10g ya cartop haidrocloraid 4g @ 8 kg / ecar","UTTAR PRADESH","MORADABAD","BANIYAKHERA                                       ","2014-08-02 17:41:52.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirch ki upar ki patti gal rahi he kya kare","your kcc Id-9690347599 ,spray Carbendazim 12% + Mancozeb 63% WP @ 300-400 gm /acre","UTTAR PRADESH","MORADABAD","ASMAULI                                           ","2014-08-02 17:52:42.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki growth nahi ho rahi he kya kare","your kcc Id-UTP_9649094 ,apply aishwarya grenuls @8 kg /acre","UTTAR PRADESH","MORADABAD","BANIYAKHERA                                       ","2014-08-02 20:12:34.000"
"","AGRICULTURE","Others","Others","Weather","mausam ke baare me bataye","kal aur parso baarish ki sambhavna bani rahegi","UTTAR PRADESH","MORADABAD","THAKURDWARA                                       ","2014-08-02 20:47:34.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER REPORT BATAO.","KISAN BHAI HALKI AUR BHARI VARSHA HONE KI SAMBHAVNA HAIN.","UTTAR PRADESH","MORADABAD","THAKURDWARA                                       ","2014-08-02 20:57:08.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam kee jankari chahiye","Aapake yahan  04,05  August ko varsha hone kee sambhawana hai","UTTAR PRADESH","MORADABAD","KUNDARKI                                          ","2014-08-02 21:32:22.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","rice me fertilizer ki jankri","fertiklizer kae use karene","UTTAR PRADESH","MORADABAD","BANIYAKHERA                                       ","2014-08-03 08:00:46.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me weed control","nominigold@80 ml/acre spray karen","UTTAR PRADESH","MORADABAD","PANWASA                                           ","2014-08-03 08:26:10.000"
