"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Plantation Crops","Eculeptous","","uk lptes ki jankari","1x5 miter  size ki kyari","UTTAR PRADESH","RAEBARELI","DALMAU                                            ","2014-08-01 07:32:53.000"
"JAYAD","AGRICULTURE","Others","Others","","eukelitis ke vishay me jankari den","eukelitis ke vishay me jankari dee gayi","UTTAR PRADESH","RAEBARELI","DALMAU                                            ","2014-08-01 07:48:34.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me peelapan ki samasya hai","urea-35 kilo+zinc sulphet-5 kilo+zyme-10 kilo/ekd ka prayog kare","UTTAR PRADESH","RAEBARELI","DIH                                               ","2014-08-01 08:52:54.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","mosam ki jankari","2-6 ko baris hone ki sambhana hai","UTTAR PRADESH","RAEBARELI","JAGATPUR                                          ","2014-08-01 09:19:13.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Mausam Ki Jankari Leni Hai","Aapke yaha 2 august se 6 august tak baris ki hone ki sambhawana hai","UTTAR PRADESH","RAEBARELI","SARENI                                            ","2014-08-01 09:39:09.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","Cultural Practices","chillies me fungus laga hein","Carbendazim 12% + Mancozeb 63% WP: 300-400 gm/acre","UTTAR PRADESH","RAEBARELI","DEENSHAH GAURA                                    ","2014-08-01 09:49:05.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam ki jaan kari","ap ke yaha bharibari ho sakti hai","UTTAR PRADESH","RAEBARELI","UNCHAHAR                                          ","2014-08-01 10:11:10.000"
"","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Aapke yaha 2 august se 6 august tak baris ki hone ki sambhawana hai","UTTAR PRADESH","RAEBARELI","ROHANIA                                           ","2014-08-01 10:45:31.000"
"","AGRICULTURE","Others","Others","","DHAN ME WEED HAI","BISPYRIBAC SODIUM KA CHIDKAW KARE","UTTAR PRADESH","RAEBARELI","ROHANIA                                           ","2014-08-01 10:53:41.000"
"","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","baigan ki jad sad rahi hai","mancojeb 75 WP  2 gram/liter ka sprey kare","UTTAR PRADESH","RAEBARELI","SHIVGARH                                          ","2014-08-01 12:05:02.000"
