"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","kisan mela date bata de csa","kanpur kisan mela -15-18 actoober","UTTAR PRADESH","RAEBARELI","LALGANJ                                           ","2014-10-01 07:36:35.217"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ALU KI JANKARI CHAHIY","PRAPAR JANKARI DI GAI HAI","UTTAR PRADESH","RAEBARELI","KHIRON                                            ","2014-10-01 09:59:26.333"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me gandhi bug laga hai","malathian 5% ka 10kg /ecar ka burkav kare","UTTAR PRADESH","RAEBARELI","DALMAU                                            ","2014-10-01 11:13:33.590"
"KHARIF","AGRICULTURE","Others","Others","Training and Exposure Visits","Farmer Fair ki jankari leni hai","Farmer fair kanpur  15-10-2014 se 17-10-2014","UTTAR PRADESH","RAEBARELI","DALMAU                                            ","2014-10-01 13:04:15.507"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","??? ???? ????? ???? ?? ??? ?? ?? ????? ??","????????????@500 ????/??? 250 ???? ???? ?? ?????? ???,","UTTAR PRADESH","RAEBARELI","DALMAU                                            ","2014-10-01 14:06:44.360"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Weather","any contact number of weather","18001801717","UTTAR PRADESH","RAEBARELI","SHIVGARH                                          ","2014-10-01 17:38:49.873"
"KHARIF","HORTICULTURE","Fruits","Papaya","Seeds and Planting Material","distance of papaya pilant to pilant","1.5 to 1.8 meter","UTTAR PRADESH","RAEBARELI","MAHRAJGANJ                                        ","2014-10-01 18:41:37.357"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","aam ki patti kali pad jati hai","Hexaconazole 5% EC @  2 mililiter/liter pani me gholkar chhidkaav kare","UTTAR PRADESH","RAEBARELI","SATAON                                            ","2014-10-01 18:50:03.710"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Water Management	","TRICODERAM KA CULTURE KAISE TAIYAR KARTE HAI","T. viride 2.5 kg/ha + 50 kg FYM.KA PRAYOG KARE","UTTAR PRADESH","RAEBARELI","SALON                                             ","2014-10-01 20:59:03.503"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","khali khet me kherpatvar hai","GLYPHOSET 41% 2.5ML/LITR PANI ME MILA KAR SPRAY KARAYE","UTTAR PRADESH","RAEBARELI","DALMAU                                            ","2014-10-02 06:45:16.763"
"KHARIF","HORTICULTURE","Vegetables","Onion","Cultural Practices","Seed Rate of Onion","Seed Rate of Onion 8-10 Kg /hectare","UTTAR PRADESH","RAEBARELI","SARENI                                            ","2014-10-02 07:23:04.293"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu ki varity","up.2338,2382huw468,hd2733,pbw542","UTTAR PRADESH","RAEBARELI","DIH                                               ","2014-10-02 08:01:59.760"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam ki jankari","barish ki sambhabanye nhi hai","UTTAR PRADESH","RAEBARELI","LALGANJ                                           ","2014-10-02 10:29:59.367"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kya spray kare bal sukh rhi hai","Imidachloprid 17.8% SL70-100 ml/acre  SPRAY KARE","UTTAR PRADESH","RAEBARELI","RAHI                                              ","2014-10-02 12:15:25.790"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam kee jankari chahiye","Aapake yahan 07 october tak  mausam saaf rahega","UTTAR PRADESH","RAEBARELI","SARENI                                            ","2014-10-02 13:06:56.977"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","brinjal me keeda lag raha hai","spray of Triazophose 40% EC-1.5 ml /lit","UTTAR PRADESH","RAEBARELI","SALON                                             ","2014-10-02 14:30:33.013"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER CONDITION IN RAIBARILEY","HALKI BADLI HAI","UTTAR PRADESH","RAEBARELI","SINGHPUR                                          ","2014-10-02 16:55:41.910"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me gandi kit lge hai","dhaan me- maelathiyan @ 8 kg / ecar","UTTAR PRADESH","RAEBARELI","SARENI                                            ","2014-10-02 19:25:11.793"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAAN ME FALS SMUT KI JAAN KARI","Propiconazole 25% EC 200 ML/ACRE+Validamycin 3% L 800 ML/ACRE KA CHHIDKAV KARE","UTTAR PRADESH","RAEBARELI","MAHRAJGANJ                                        ","2014-10-02 20:30:30.967"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","dimethoate 30ec ko30ml/tanki ka sprey kre","UTTAR PRADESH","RAEBARELI","DALMAU                                            ","2014-10-02 20:32:03.907"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","problem in paddy","dimethoate 30ec ko30ml/tanki ka sprey kre","UTTAR PRADESH","RAEBARELI","DALMAU                                            ","2014-10-02 20:32:17.410"
