"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dhaan me jhulsa laga hai","Dhaan me jhonka rog ke Tricyclazole 75% WP 160 gram / acre ka prayog karen","UTTAR PRADESH","RAEBARELI","UNCHAHAR                                          ","2014-09-02 06:14:55.910"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki patti pili ho rahi he","NPK 19:19:19 ka 2% ka spray karo","UTTAR PRADESH","RAEBARELI","MAHRAJGANJ                                        ","2014-09-02 07:33:30.093"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEED PROBLEM IN PADDY","bispayribaik sodium 10 sc @ 80 -100 mililiter/acre sprey kare","UTTAR PRADESH","RAEBARELI","KHIRON                                            ","2014-09-02 07:59:01.233"
"KHARIF","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","Badal rhege hlki baris ho skti hai","UTTAR PRADESH","RAEBARELI","DIH                                               ","2014-09-02 19:05:19.627"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy me bali nikalte samay urea dal sakte hai","kisan bhai bali nikalte samay urea ke sath potash 20 kilo/ekd dale","UTTAR PRADESH","RAEBARELI","SALON                                             ","2014-09-04 07:13:25.057"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information?","halki barish","UTTAR PRADESH","RAEBARELI","SARENI                                            ","2014-09-04 10:36:39.893"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me insect laga hai","Cartap Hydrochloride 50 % 400 gram + Acetamiprid 20% SP 100 gram /acre dava ka prayog kare","UTTAR PRADESH","RAEBARELI","SALON                                             ","2014-09-04 14:10:21.027"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","control of fungal disease bhindi","mencozeb 2 gram /liter spray","UTTAR PRADESH","RAEBARELI","UNCHAHAR                                          ","2014-09-04 14:57:35.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki pattiya pili pad rahi hai","Carbendazim 12% + Mancozeb 63% WP @ 2  gm/liter of water","UTTAR PRADESH","RAEBARELI","RAHI                                              ","2014-09-04 17:23:47.203"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Weather condition of forcast","Baaris hogi","UTTAR PRADESH","RAEBARELI","SALON                                             ","2014-09-04 19:21:21.083"
"KHARIF","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","Badal rhege hlki baris ho skti hai","UTTAR PRADESH","RAEBARELI","UNCHAHAR                                          ","2014-09-04 19:26:22.290"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","PATTI PILI PAD RHI HAI KYA KARE","THAYOPHENATE METHAYL 1 GRAM PRATI LITER PANI ME PRYOG KARE","UTTAR PRADESH","RAEBARELI","SARENI                                            ","2014-09-05 06:57:42.487"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","aam ke patte ko kide kha rahe hai","Aam Me Keet niyantran ke liye Monocrotophas 36 SL ko 2 ml / litre pani ke sath spray karen","UTTAR PRADESH","RAEBARELI","DEENSHAH GAURA                                    ","2014-09-05 08:29:20.170"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me weed control","besparibek sodiyam 100ml/acre","UTTAR PRADESH","RAEBARELI","DEENSHAH GAURA                                    ","2014-09-05 09:33:39.600"
"KHARIF","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","termit?","corbafuron@10gram/plant give in root.","UTTAR PRADESH","RAEBARELI","RAHI                                              ","2014-09-05 10:38:18.793"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me pilapan hai","5gr zink + 20 gr yuria/liter","UTTAR PRADESH","RAEBARELI","TILOI                                             ","2014-09-05 10:59:39.827"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam ke bare me bataye","aj halki barish hogi","UTTAR PRADESH","RAEBARELI","DALMAU                                            ","2014-09-05 14:06:49.353"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bacterial blight in paddy","200 gram (carbendagim 12%+mancozeb 63 % WP) + 6 gram streptocyclean / acre ka spray kare","UTTAR PRADESH","RAEBARELI","DALMAU                                            ","2014-09-05 14:07:57.520"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","weed in paddy","Spray of bispyribac sodium -80 ml /acre 200 lit","UTTAR PRADESH","RAEBARELI","KHIRON                                            ","2014-09-05 14:16:16.320"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Weather condition of forcast","Baadal rahege","UTTAR PRADESH","RAEBARELI","HARCHANDPUR                                       ","2014-09-05 14:59:47.860"
"JAYAD","AGRICULTURE","Others","Others","Weather","WEATHER CONDITION IN RAIBARELLY","BADLI HAI","UTTAR PRADESH","RAEBARELI","RAHI                                              ","2014-09-05 15:26:24.400"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki patti pili ho rahi he kya kare","spray 5 gm zinc suulphate +10-15 gm urea ko /lit water","UTTAR PRADESH","RAEBARELI","DALMAU                                            ","2014-09-05 17:17:27.347"
"KHARIF","HORTICULTURE","Fruits","Citrus","	Plant Protection	","CITRUS ME PHALI BEDHAK KI PROBLEM","spray of Triazophose 40% EC-1.5 ml /lit","UTTAR PRADESH","RAEBARELI","DALMAU                                            ","2014-09-05 20:00:05.167"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","mausam ki jankari den","cloudy sky and light rain chance","UTTAR PRADESH","RAEBARELI","DEENSHAH GAURA                                    ","2014-09-05 20:54:33.173"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy me bali kali rang ki nikal rahi hai","carbendazim+mancozeb+thiram(1:1:1)-2 gram/liter pani","UTTAR PRADESH","RAEBARELI","SARENI                                            ","2014-09-06 09:00:17.770"
"KHARIF","AGRICULTURE","Others","Others","Weather","mousam ki jankari de","aapke yaha aaj sham se lekar pure hafte halki-fulki boonda-baandi hote rahane ki sambhawana ban rahi hai","UTTAR PRADESH","RAEBARELI","DALMAU                                            ","2014-09-06 09:37:41.767"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","bhindi me hare rag ka keet lga hai","Indoxacarb 14.5% SC 160-200 ml / acre dale","UTTAR PRADESH","RAEBARELI","LALGANJ                                           ","2014-09-06 09:39:57.337"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy me patti ka rang lal rang ki ho jati hai","hexaconazole 5%-400 ml/ekd+streptocylin-1 gram/10 liter pani","UTTAR PRADESH","RAEBARELI","UNCHAHAR                                          ","2014-09-06 09:48:17.173"
"KHARIF","AGRICULTURE","Fodder Crops","fodder sorghum","	Plant Protection	","jwar me keede lg rhe hai","neem oil 3-4 ml prati liter pani ka prayog kare","UTTAR PRADESH","RAEBARELI","JAGATPUR                                          ","2014-09-06 09:59:20.410"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","PEST?","BESSAL SYPERMETHRIN POWDER@5KG/ACAR.","UTTAR PRADESH","RAEBARELI","SATAON                                            ","2014-09-06 10:06:14.380"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me jhulsa ke liye kya kare","STREPTOCYCLINE @6 GRAM,+ HEXACONAZOL @ 300 GRAM PRATI ACRE KA SPRAY KARE","UTTAR PRADESH","RAEBARELI","UNCHAHAR                                          ","2014-09-06 12:41:35.687"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAANMAI MURCHA","N:P:K 19:19:19 KA SPREY KARE","UTTAR PRADESH","RAEBARELI","SHIVGARH                                          ","2014-09-06 14:28:39.450"
"KHARIF","HORTICULTURE","Vegetables","Onion","Agriculture Mechanization","pyaj ki dar","pyaj ki dar - 4 kg / acre","UTTAR PRADESH","RAEBARELI","DEENSHAH GAURA                                    ","2014-09-06 14:39:41.687"
"JAYAD","AGRICULTURE","Others","Others","	Field Preparation	","BATTMIJI KARTA HAI","IS NOUMBER KI SIKAYAT KRISHI MANTRALAY MAI KI GAYI HAI MANTRALAY MAI BATTMIJI KE LIYE JLD HI STHANIY POLICE SAMPARK KAREGI","UTTAR PRADESH","RAEBARELI","ROHANIA                                           ","2014-09-06 16:13:52.613"
"KHARIF","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","Badal rhege hlki baris ho skti hai","UTTAR PRADESH","RAEBARELI","AMAWAN                                            ","2014-09-06 17:41:32.850"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","fasal bima ke bare me bataye","fasal bima ke bare me jankari di gayi","UTTAR PRADESH","RAEBARELI","AMAWAN                                            ","2014-09-06 17:51:26.250"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Weather condition of forcast","Baaris hogi","UTTAR PRADESH","RAEBARELI","RAHI                                              ","2014-09-06 18:30:59.280"
"KHARIF","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","variety of potato","variety of potato -kufari chandramukhi , kufari ashoka , kufari badsah ,kufari bahar","UTTAR PRADESH","RAEBARELI","KHIRON                                            ","2014-09-06 18:37:55.200"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information","07-12 SEP TAK HLKI BARIS KI SAMBHAWNA HE","UTTAR PRADESH","RAEBARELI","DEENSHAH GAURA                                    ","2014-09-06 20:28:46.010"
"KHARIF","AGRICULTURE","Others","Others","Weather","?  Mausam ki jankari leni hai","badal rahege  barsa ho sakti hai","UTTAR PRADESH","RAEBARELI","DALMAU                                            ","2014-09-07 07:20:14.710"
