"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAAN JHULASH RHAI HAI KYA KARE","??? ??? ????????????? 12 % + ????????? 63 % @ 1 KILO ????? ,500 ???? ???? ?? ?? ???????? ?? ?????? ???","UTTAR PRADESH","RAMPUR","SUAR                                              ","2014-09-03 06:38:06.483"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan ki patti pili ho rhi hai kya kare","??? ??? ??????? ??????????????? 4G @ 8-10 kilo gram/ ??? ?? ?????? ???","UTTAR PRADESH","RAMPUR","SUAR                                              ","2014-09-03 07:33:38.420"
"KHARIF","AGRICULTURE","Others","Others","Weather","mousam ki jankari de","aapke yaha aaj shaam se lekar pure hafte halki ke sath-sath bhaari barsat hone ki ummid ban rahi hai","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-03 10:16:09.617"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam ki jankari leni hai","barish ki sambhavna hai","UTTAR PRADESH","RAMPUR","SHAHABAD                                          ","2014-09-04 10:03:43.803"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","mausam ki jankari de","pure saptah halki bunda bandi ki sambhabna hai","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-04 10:43:10.393"
"KHARIF","AGRICULTURE","Others","Others","Weather","Dhaan me kida lag jata hai","Imidachloprid 17.8% SL 1 ml/liter ka spray karen","UTTAR PRADESH","RAMPUR","MILAK                                             ","2014-09-04 10:45:21.450"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information?","halki barish","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-04 10:47:49.693"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information?","halki barish","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-04 10:47:49.693"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information?","halki barish","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-04 10:47:49.693"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information?","halki barish","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-04 10:47:49.693"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information?","halki barish","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-04 10:47:49.693"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me  rog laga hai","hexaconazole 2ml/li ka spray kare","UTTAR PRADESH","RAMPUR","MILAK                                             ","2014-09-04 10:58:21.633"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausum ki jankari de","????? ??? ?? ?? ??? 4 ?? 9 ??????? ?? ????? ?? ???? ??","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-04 11:12:37.407"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausum ki jankari de","????? ??? ?? ?? ??? 4 ?? 9 ??????? ?? ????? ?? ???? ??","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-04 11:12:37.407"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausum ki jankari de","????? ??? ?? ?? ??? 4 ?? 9 ??????? ?? ????? ?? ???? ??","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-04 11:12:37.407"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausum ki jankari de","????? ??? ?? ?? ??? 4 ?? 9 ??????? ?? ????? ?? ???? ??","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-04 11:12:37.407"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausum ki jankari de","????? ??? ?? ?? ??? 4 ?? 9 ??????? ?? ????? ?? ???? ??","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-04 11:12:37.407"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me jhulasa lga hai kya kare","??? ??? ????????????? 12 % + ????????? 63 % @ 1 ????  ????? ,500 ???? ???? ?? ?? ???????? ?? ?????? ???","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-04 11:18:13.870"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me jhulasa lga hai kya kare","??? ??? ????????????? 12 % + ????????? 63 % @ 1 ????  ????? ,500 ???? ???? ?? ?? ???????? ?? ?????? ???","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-04 11:18:13.870"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me jhulasa lga hai kya kare","??? ??? ????????????? 12 % + ????????? 63 % @ 1 ????  ????? ,500 ???? ???? ?? ?? ???????? ?? ?????? ???","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-04 11:18:13.870"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me jhulasa lga hai kya kare","??? ??? ????????????? 12 % + ????????? 63 % @ 1 ????  ????? ,500 ???? ???? ?? ?? ???????? ?? ?????? ???","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-04 11:18:13.870"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me jhulasa lga hai kya kare","??? ??? ????????????? 12 % + ????????? 63 % @ 1 ????  ????? ,500 ???? ???? ?? ?? ???????? ?? ?????? ???","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-04 11:18:13.870"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information","04-09 sep tak hlki baris hoti rahegi","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-04 15:29:52.073"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","urd ki patti pili hai","en pi ke 19:19:19 2kilo/acre ,humic acid 300ml/acre","UTTAR PRADESH","RAMPUR","SUAR                                              ","2014-09-04 16:26:54.483"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me pila pan hai","hexconazol 400 ml /acre","UTTAR PRADESH","RAMPUR","MILAK                                             ","2014-09-04 16:34:55.680"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me pila pan hai","hexconazol 400 ml /acre","UTTAR PRADESH","RAMPUR","MILAK                                             ","2014-09-04 16:34:55.680"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me stem borar ki dva bta de","dhaan me- foret 10g @ 6 kg / ecar","UTTAR PRADESH","RAMPUR","SAIDNAGAR                                         ","2014-09-04 16:46:52.083"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan pili pr rhi hai","dhaan me hexaconazol @ 250 ml / ecar","UTTAR PRADESH","RAMPUR","SHAHABAD                                          ","2014-09-04 17:52:58.400"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","dhaan me pila pan hai","hexconazol 400 ml /acre","UTTAR PRADESH","RAMPUR","MILAK                                             ","2014-09-05 07:20:53.867"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy me stem borer ki samasya hai","cartap 50%-300 gram/ekd ya cartap 4G-8 kilo/ekd","UTTAR PRADESH","RAMPUR","SHAHABAD                                          ","2014-09-05 08:53:32.047"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy me stem borer ki samasya hai","cartap 50%-300 gram/ekd ya cartap 4G-8 kilo/ekd","UTTAR PRADESH","RAMPUR","SHAHABAD                                          ","2014-09-05 08:53:32.047"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan ki pattiyan gerui rang ki ho rahi hai","propiconezol 2 m + imidicloprid 1 ml prati litre paani ke saath spray karen","UTTAR PRADESH","RAMPUR","MILAK                                             ","2014-09-05 09:51:06.373"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan ki pattiyan gerui rang ki ho rahi hai","propiconezol 2 m + imidicloprid 1 ml prati litre paani ke saath spray karen","UTTAR PRADESH","RAMPUR","MILAK                                             ","2014-09-05 09:51:06.373"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Wilt Disease in chilli","Carbendazim 12% + Mancozeb 63% WP 400 gm  dwa ko  200 liter pani me mela krke /Acar spary kre","UTTAR PRADESH","RAMPUR","MILAK                                             ","2014-09-05 10:34:50.613"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Mausam Ki Jankari Leni Hai","kisan bhai appke yaha, 5 september se 10 september tak bundabandiaur halki barish ki sambhawana hai","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-05 13:23:43.883"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Mausam Ki Jankari Leni Hai","kisan bhai appke yaha, 5 september se 10 september tak bundabandiaur halki barish ki sambhawana hai","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-05 13:23:43.883"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Mausam Ki Jankari Leni Hai","kisan bhai appke yaha, 5 september se 10 september tak bundabandiaur halki barish ki sambhawana hai","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-05 13:23:43.883"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Mausam Ki Jankari Leni Hai","kisan bhai appke yaha, 5 september se 10 september tak bundabandiaur halki barish ki sambhawana hai","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-05 13:23:43.883"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Mausam Ki Jankari Leni Hai","kisan bhai appke yaha, 5 september se 10 september tak bundabandiaur halki barish ki sambhawana hai","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-05 13:23:43.883"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Mausam Ki Jankari Leni Hai","kisan bhai appke yaha, 5 september se 10 september tak bundabandiaur halki barish ki sambhawana hai","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-05 13:39:44.260"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Mausam Ki Jankari Leni Hai","kisan bhai appke yaha, 5 september se 10 september tak bundabandiaur halki barish ki sambhawana hai","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-05 13:39:44.260"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Mausam Ki Jankari Leni Hai","kisan bhai appke yaha, 5 september se 10 september tak bundabandiaur halki barish ki sambhawana hai","UTTAR PRADESH","RAMPUR","BILASPUR                                          ","2014-09-05 13:39:44.260"
