"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","","cropping of urd","narendra urd-1 ki buwai kre","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2014-08-01 20:35:48.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me suri lhi hai","dhaan me -cartop haidro cloraid 50% @ 250 gm / ecar","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2014-08-03 21:02:41.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me weed hai kya kare","bispyribac sodium 10% sc @ 80-100 ml/acre with 200 lit, of water","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Gunnor","2014-08-04 08:58:35.000"
"","AGRICULTURE","Others","Others","","mosam ki jabnkari","mosam me dhup badl haklki barish hone ki sambhawena hi","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Gunnor","2014-08-05 08:03:06.000"
"RABI","HORTICULTURE","Vegetables","Colocasia (Arvi, Arbi)","	Plant Protection	","leaf blight of colocsia","spray bavistin @ 2.5 gm./litof water","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Gunnor","2014-08-05 10:02:49.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DEEMAK LAGA HAI DHAN ME","FIPRONILL 0.3% 8 -10 KILOGRAM /ACRE","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Gunnor","2014-08-05 17:24:15.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INSECT IN PADDY","Apply  cartap hydrochloride 4g @ 10kg /acre","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2014-08-06 20:38:36.000"
"","HORTICULTURE","Vegetables","Potato","Cultural Practices","ageti patato ki buvai kab kare","15 september se buvai kare","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2014-08-07 07:52:29.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ganne me kida laga hai","Spray diclorvas 76% EC @ 1.0 ml/lit, of water","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2014-08-07 12:53:13.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me tata payri lagane ke bad kitani der bad pani de","24 ghante bad pani de","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2014-08-07 20:28:36.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki jad kali pad rahi hai","carbendajim@500 gram/acre spray karen","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2014-08-08 10:10:28.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Dhaan me montha ho gaya hai","Dhaan me montha ke liye Chlorimuron Ethyl 25% WP 9.5 gram / acre prayog karen","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2014-08-10 14:53:47.000"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information","your kisan call centre id-Client ID : UP003216 ,clear weather till August 25, 2014","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Asmoli","2014-08-19 16:38:29.497"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","dhan me safed hi","ferous salfate 500 gm/ecd spray karein","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2014-08-19 17:39:57.820"
"KHARIF","HORTICULTURE","Fruits","Papaya","	Plant Protection	","papite ki kheti ki jan kari","papite ki kheti ki jan kari di gai hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2014-08-19 18:06:08.370"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki pattiya lal pad kar dana nhi pad rha hai","hexaconazol + multiplex  400 graam +500 graam 250 litre pani me milake chidcav kare+1 kilouriya + 1/2 fras salfet +1/2 zink","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2014-08-19 18:39:27.160"
"JAYAD","AGRICULTURE","Oilseeds","Mustard","Cultural Practices","SOWING TIME OF MUSTARD","SOWING FROM SEPTEMBER - OCTOBER","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2014-08-19 18:45:24.473"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","Yellow bein mosic in urd me","Quinalphos 20% + Cypermethrin 3%: 350-500 ml/acre","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Baniyakheda","2014-08-20 10:25:00.020"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ganne me badhwar nahi hai","10 kigraa zaaim,4 kigraa sulphr,40 kigraa urea","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2014-08-20 11:11:15.460"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","udad me mosaic rog ki samasya hai","dimethoet 30%-200 ml/ekd","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Junawai","2014-08-20 11:56:14.490"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Plant Protection	","Bajra mai demak laga hai","Carbofuron ka prayog kare","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Junawai","2014-08-20 12:13:50.130"
"KHARIF","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Kisan bhai aapke yaha badal bane rhene ki sambhawana hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Pawasa","2014-08-20 12:59:05.810"
