"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","Badal rhege hlki baris ho skti hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2014-09-02 18:11:19.170"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy me tidda ki samasya hai","cartap 50 sp-300 gram/ekd, monochrotophos 36%-400 ml/ekd","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2014-09-03 08:48:40.670"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam kee jankari chahiye","Aapake yahan 04,05 September ko varsha hone kee sambhawana hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Asmoli","2014-09-04 13:51:18.987"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAAN KI PATTIYAN PILI HO RAHI HAI","Carbendazim 12% + Mancozeb 63% WP 300-400 gm/acre KA CHHIDKAV KARE","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Asmoli","2014-09-06 06:32:50.060"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kya spray kare bal sukh rhi hai","indofil -M -45 DAWA 500 ML/Acre spray kare +Triazophose 40% Ec350-500 Ml/Acre  Spray Kare","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Baniyakheda","2014-09-06 08:54:10.663"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam ki jankari chahiye","aaj kal me achchi bearish ho skti hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2014-09-06 09:17:38.740"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me baali safed ho rahi hai","apply cartop hydrochloride  4 G  10  kg/acre","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2014-09-06 09:19:25.930"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me bal safed hai","propiconajol 300ml/acre ,imidacloropid 17.8% 100ml/acre","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2014-09-06 16:32:46.403"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","control of fungal disease","mencozeb 2 gram /liter spray","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2014-09-08 07:26:47.650"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","chane ki variety","radhe ,pusa-2024,

Pusa 5028


Pusa 5023
Pusa Green 112
Pusa 2085
Pusa 2024 (Kabuli)Pusa 372 (Desi)","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Baniyakheda","2014-09-08 09:18:20.677"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Weather","mausam ki jankari den","cloudy sky and heavy rain chance of 10 to 12 september","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Asmoli","2014-09-08 11:48:31.470"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki bali kali ho rahi hai aur tada lag raha hai","Hexaconazole 5%EC 1.5  ml  + Monocrotophos 36% SC  2 ml / liter pani ka ghool banaker spray kare","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2014-09-08 12:52:43.027"
