"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information","hlki barish ho skti hai","UTTAR PRADESH","SANT RAVIDAS NAGAR","SURIYAVAN                                         ","2014-08-01 07:46:18.000"
"","AGRICULTURE","Others","Others","Weather","mausam ki janakri de","aaj kal padso halki vairsh hai","UTTAR PRADESH","SANT RAVIDAS NAGAR","AURAI                                             ","2014-08-01 14:33:35.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","MAUSAM KAISA HAI","BARIS KE AASAAR HAI","UTTAR PRADESH","SANT RAVIDAS NAGAR","BHADOHI                                           ","2014-08-01 15:09:15.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","Badal rhege hlki baris ho skti hai","UTTAR PRADESH","SANT RAVIDAS NAGAR","BHADOHI                                           ","2014-08-01 15:09:30.000"
"","HORTICULTURE","Fruits","Mango","	Plant Protection	","Aam mai kya kare","Carbofuron ka prayog kare","UTTAR PRADESH","SANT RAVIDAS NAGAR","SURIYAVAN                                         ","2014-08-01 17:23:18.000"
"RABI","AGRICULTURE","Others","Others","Weather","MOSAM KI JANKARI","2-5 TK TEJ BARISH RAHEGI","UTTAR PRADESH","SANT RAVIDAS NAGAR","BHADOHI                                           ","2014-08-01 17:35:12.000"
"RABI","AGRICULTURE","Others","Others","Weather","mosam ki jankaRI","2-4 TK BARISH TEJ RAHEGI","UTTAR PRADESH","SANT RAVIDAS NAGAR","DEEGH                                             ","2014-08-01 19:07:26.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WHEATHER FORCAST","Today we expect: plus 30 °C°F , plus 86 °C°F , rain, calm. Tomorrow: plus 34 °C°F , plus 93 °C°F , rain, gentle breeze.","UTTAR PRADESH","SANT RAVIDAS NAGAR","DEEGH                                             ","2014-08-01 21:57:33.000"
"JAYAD","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","Seeds","variety of bajra crop","your kcc Id-UTP_9647427 ,variety of bajra crop -pusa-322, pusa-23","UTTAR PRADESH","SANT RAVIDAS NAGAR","DEEGH                                             ","2014-08-02 15:09:29.000"
"JAYAD","HORTICULTURE","Fruits","Mango","	Plant Protection	","aam ka paodh sukh rha hai","aam me- copar oxi cloraid @ 3 gm / liter pani","UTTAR PRADESH","SANT RAVIDAS NAGAR","ABHAULI                                           ","2014-08-02 17:24:57.000"
