"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Organic Farming","mandi ki jankari","sewa la di gai hai","UTTAR PRADESH","SHIVASTI","SIRSIYA                                           ","2014-10-01 11:12:17.347"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me gandhi kit lge hai","dhaan me- Thiomethoxam 25% WG @ 60 gm / ecar","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-10-01 17:55:09.833"
"KHARIF","AGRICULTURE","Others","Others","Training and Exposure Visits","NARENDRA DEV  ka krasi mela kab lagega","NARENDRA DEV KRASHI MELA KI DATE ABHI NAHI AAI HAI","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-10-02 11:11:14.147"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me gandhi keede lage hai","dusting fenvelret 0.04 % dust 10 kg/acre","UTTAR PRADESH","SHIVASTI","SIRSIYA                                           ","2014-10-02 12:51:15.043"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan ki bali safed pad rahi hai","urea phosphate 17:44 @ 5.5 kilo/acre ka spray karen","UTTAR PRADESH","SHIVASTI","SIRSIYA                                           ","2014-10-02 14:13:57.300"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Varieties","matr ki kism bta de","matr ki kism - arkil, azad, rachana, bonbile","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-10-02 14:57:44.240"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","MAUSAM KI JANKARI CHAHIY","PRAPAR JANKARI DI GAI HAI","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-10-04 09:37:26.550"
"KHARIF","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ki jankari ke liye","chloropariphoska 3ml/li ka Drench kare","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-10-04 10:04:21.820"
"KHARIF","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ki jankari ke liye","chloropariphoska 3ml/li ka Drench kare","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-10-04 10:04:34.937"
"KHARIF","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ki jankari ke liye","chloropariphoska 3ml/li ka Drench kare","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-10-04 10:04:48.083"
"KHARIF","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ki jankari ke liye","chloropariphoska 3ml/li ka Drench kare","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-10-04 10:05:02.090"
"KHARIF","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ki jankari ke liye","chloropariphoska 3ml/li ka Drench kare","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-10-04 10:05:15.230"
"KHARIF","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ki jankari ke liye","chloropariphoska 3ml/li ka Drench kare","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-10-04 10:05:28.453"
"KHARIF","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ki jankari ke liye","chloropariphoska 3ml/li ka Drench kare","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-10-04 10:05:41.613"
