"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","Badal rhege hlki baris ho skti hai","UTTAR PRADESH","SIDDHARTH NAGAR","KHESRAHA                                          ","2014-09-02 15:20:24.163"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","FUDKE LAGE HAI BALI KO KAT DE RHE HAI","DAIMETHOATE 30%EC KA PRYOG KARE","UTTAR PRADESH","SIDDHARTH NAGAR","JOGIA                                             ","2014-09-05 07:06:56.227"
"KHARIF","HORTICULTURE","Plantation Crops","Eculeptous","Cultural Practices","tisue culture ki training kaha se kare","jila udhyan adhikari se sampark kare","UTTAR PRADESH","SIDDHARTH NAGAR","ITWA                                              ","2014-09-06 11:01:34.070"
"KHARIF","AGRICULTURE","Others","Others","Weather","MAUSAM KI JAAN KARI","HALKI BARIS HO SAKTI HAI","UTTAR PRADESH","SIDDHARTH NAGAR","MITHWAL                                           ","2014-09-06 12:12:33.197"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","disease in paddy","Tricyclazole 75% WP
120-160 gm/acre","UTTAR PRADESH","SIDDHARTH NAGAR","MITHWAL                                           ","2014-09-06 14:44:17.320"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","insect in cauliflower","copperoxycloride 50% wp @ 2-3gram/lit, of water","UTTAR PRADESH","SIDDHARTH NAGAR","KHESRAHA                                          ","2014-09-06 18:58:06.960"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Agriculture Mechanization","tamatar ki kheti ki jankari de","tamatar ki buwai October - November  me kare","UTTAR PRADESH","SIDDHARTH NAGAR","BHANWAPUR                                         ","2014-09-07 07:52:35.780"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me jado me sadan ho raha hai","aap dhaan ke jado me carbendazim 12% 4 kigra + straptocyclin 6 gram + cartaf hydro chloride 5 kigra ko prati acare ki dar dale","UTTAR PRADESH","SIDDHARTH NAGAR","BHANWAPUR                                         ","2014-09-07 08:59:08.393"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me peelapan hai","propiconezole 200 ml/acre prayog karen","UTTAR PRADESH","SIDDHARTH NAGAR","SHOHARATGARH                                      ","2014-09-07 10:32:06.803"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAAN KI PATI LAL PAD RAHI HAI","SPRAY OF Hexaconazole 5% EC-400 ML /ACRE","UTTAR PRADESH","SIDDHARTH NAGAR","MITHWAL                                           ","2014-09-07 19:38:40.667"
