"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Mirch kee pattiyan sikud rahi hai","Imidachloprid 17.8% SL 1 ml/Litre pani ke sath spray karen","UTTAR PRADESH","SULTANPUR","KADIPUR                                           ","2014-08-01 06:08:32.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Mirch kee pattiyan sikud rahi hai","Imidachloprid 17.8% SL 1 ml/Litre pani ke sath spray karen","UTTAR PRADESH","SULTANPUR","KADIPUR                                           ","2014-08-01 06:12:22.000"
"JAYAD","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","varity of onion","Co 1, Co 2, Co 3, Co 4 and MDU 1, Co (On) 5","UTTAR PRADESH","SULTANPUR","LAMBHUA                                           ","2014-08-01 06:24:57.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam ki jaan kari","2-6 bhari baris hai","UTTAR PRADESH","SULTANPUR","JAMO                                              ","2014-08-01 06:34:26.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan ke khet me motha hai","bisparibac sodium @ 80ml/acar 200 liter paani me milakar spray kre","UTTAR PRADESH","SULTANPUR","BHADAR                                            ","2014-08-01 07:09:13.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam kijankari ke liye","barish ki sambhavna hai","UTTAR PRADESH","SULTANPUR","JAMO                                              ","2014-08-01 08:10:10.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kharpatwar","???????????? ?????? 10%?????? 160???? 250-300???? ???? ?? ??? ????? ????? ???????? ?????? 15-25 ??? ??? ??? ?? ??? ?? ?????? ?? ???? ??","UTTAR PRADESH","SULTANPUR","LAMBHUA                                           ","2014-08-01 08:28:56.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","dhan me tana chedak laga hai","Cartap Hydrochloride 4% GR 8 -10 kg/acre  ka prayog kare.","UTTAR PRADESH","SULTANPUR","SHAHGARH                                          ","2014-08-01 09:04:42.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","WEATHER INFORMATION","HLKI BARISH HO SKTI HAI","UTTAR PRADESH","SULTANPUR","JAMO                                              ","2014-08-01 09:36:41.000"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","pasu samasya","kisan bhai aap 18001805141 par sampark kare","UTTAR PRADESH","SULTANPUR","DUBEPUR                                           ","2014-08-01 10:17:45.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ganne ke agole me kide lge hai","traicograma card ko patti ki nichli sth pr badhe","UTTAR PRADESH","SULTANPUR","DHANPATGANJ                                       ","2014-08-01 10:23:16.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","MANDI KE RATE KA SMS NHI AATE HAI KYA KARE","ABHI DUBARA SE UPDATE KAR DIYA GYA HAI","UTTAR PRADESH","SULTANPUR","LAMBHUA                                           ","2014-08-01 11:00:27.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","phasal bima ki jankari de","aap is no. par 9235629576 sampark kare","UTTAR PRADESH","SULTANPUR","KADIPUR                                           ","2014-08-01 11:04:12.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dhan me Kharpatwar Ke Liye Kya Dale","bispyriback sodium 80ml/acre  me spray kare","UTTAR PRADESH","SULTANPUR","AKHAND NAGAR                                      ","2014-08-01 11:05:54.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan ka seeka sukh traha hi","korajin 100ml dawa 180liter pani milakar","UTTAR PRADESH","SULTANPUR","SHAHGARH                                          ","2014-08-01 11:30:47.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","mausam ki jaan kari","bhari baris ki sambhavana hai","UTTAR PRADESH","SULTANPUR","JAMO                                              ","2014-08-01 12:52:45.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","weather ki jankri","abhi mausam saf nahi hein","UTTAR PRADESH","SULTANPUR","LAMBHUA                                           ","2014-08-01 12:58:49.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","dhaan me ghass ki dwa bataye","bispayribaic sodium @ 80 ml / 200 litar pani par acre ka spray kare","UTTAR PRADESH","SULTANPUR","DUBEPUR                                           ","2014-08-01 13:16:47.000"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","","asking about arhar crop","answer given in detail","UTTAR PRADESH","SULTANPUR","KADIPUR                                           ","2014-08-01 14:08:53.000"
"","AGRICULTURE","Others","Others","","mausam kim jankari sde","tej varsha ho bsakti hai","UTTAR PRADESH","SULTANPUR","JAMO                                              ","2014-08-01 14:15:59.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me patti lal ho rahi hai","Hexaconazole 5% EC 400 ml / acre ka spray kara de","UTTAR PRADESH","SULTANPUR","AKHAND NAGAR                                      ","2014-08-01 14:25:19.000"
"","AGRICULTURE","Others","Others","Weather","mausam  ki jankari chahiye","2-6 august  tak  barsat  ki sambhawana hai","UTTAR PRADESH","SULTANPUR","JAMO                                              ","2014-08-01 14:55:56.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","fruit drop in mirch","planofix @ 2 ml/liter ka spray karen","UTTAR PRADESH","SULTANPUR","KADIPUR                                           ","2014-08-01 15:23:25.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","weed in paddy","bispyribac sodium -80 ml /acre 200 lit","UTTAR PRADESH","SULTANPUR","BHADAIYA                                          ","2014-08-01 15:31:15.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather infomation","your kcc Id-UTP_9613675,2-5 August tak baris ki sambhawna he","UTTAR PRADESH","SULTANPUR","AKHAND NAGAR                                      ","2014-08-01 16:09:57.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Fasal bima karwana hai","Bank se samparak hai","UTTAR PRADESH","SULTANPUR","DHANPATGANJ                                       ","2014-08-01 16:21:11.000"
"","AGRICULTURE","Others","Others","Weather","mausam  ki jankari","2-5  august    ko barsat  ki sambhawana hai","UTTAR PRADESH","SULTANPUR","DHANPATGANJ                                       ","2014-08-01 16:44:24.000"
"JAYAD","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","any contact number of animal helpline","18001805141","UTTAR PRADESH","SULTANPUR","AKHAND NAGAR                                      ","2014-08-01 16:57:18.000"
"","HORTICULTURE","Fruits","Citrus","","nibu ki phal fat raha hai","borex 2.0 gram /lire ka spray","UTTAR PRADESH","SULTANPUR","AMETHI                                            ","2014-08-01 17:00:53.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhan me kidda hai","carfuran 3G 8.0 kilo /acre","UTTAR PRADESH","SULTANPUR","P.P.KAMAICHA                                      ","2014-08-01 17:17:17.000"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FLOWER DROPING IN BRINJL","SPRAY PLANOFIX @ 1 ML./4.5 LIT.OF WATER","UTTAR PRADESH","SULTANPUR","SANGRAMPUR                                        ","2014-08-01 18:04:38.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","yellow problem in paddy","saaf(carbendazin+mancozeb )+streptocyclin ko milaker sprey kre","UTTAR PRADESH","SULTANPUR","KURWAR                                            ","2014-08-01 19:16:15.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Weather condition of forcast","Baaris hogi","UTTAR PRADESH","SULTANPUR","JAMO                                              ","2014-08-01 19:17:18.000"
