"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu me kharpatwar ho raha hai?","apply Sulfosulfuron 75% + Metsulfuran Methyl 5% WG @ 16 gm/acre me spray kare.","UTTARAKHAND","ALMORA","SYALDEY                                           ","2014-12-02 10:55:14.693"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","HAMARI SABJI ME BARVAR THIK NAHI HO RAHI HAI","AAP APNE SABJI KI FASAL ME UREA PHOSPHATE KA 1 KILOGRAM/ACRE KI DAR SE 1.5 % KA GHOL BANAKAR SPRAY KARE","UTTARAKHAND","ALMORA","HAWALBAG                                          ","2014-12-03 08:04:15.790"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","hame krishi yojna ke bare me batayee","aap apne jile ke krishi yojna ke jankari ke liye apne block me sampark kare","UTTARAKHAND","ALMORA","CHAUKHUTIYA                                       ","2014-12-03 11:23:19.857"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu ki jado me kida lag raha hai?","apply chlorpyrifos 20ec @ 3 liter/hectare me dale.","UTTARAKHAND","ALMORA","LAMGARA                                           ","2014-12-05 07:50:21.957"
"RABI","FISHERIES","Inland","Fresh Water","Fishery Nutrition","MACHHALIYAN TALAB ME MAR RAHI HAI","TALAB KA PANI BADALE AUR 250 KG CHUNA/HA KI DAR SE PRAYOG KARE","UTTARAKHAND","ALMORA","BHIKIYASAIN                                       ","2014-12-05 17:03:59.090"
"RABI","FISHERIES","Inland","Fresh Water","Fishery Nutrition","MACHHALIYAN TALAB ME MAR RAHI HAI","TALAB KA PANI BADALE AUR 250 KG CHUNA/HA KI DAR SE PRAYOG KARE","UTTARAKHAND","ALMORA","BHIKIYASAIN                                       ","2014-12-05 17:05:23.850"
"RABI","FISHERIES","Inland","Fresh Water","Fishery Nutrition","MACHHALIYAN TALAB ME MAR RAHI HAI","TALAB KA PANI BADALE AUR 250 KG CHUNA/HA KI DAR SE PRAYOG KARE","UTTARAKHAND","ALMORA","BHIKIYASAIN                                       ","2014-12-05 17:06:20.597"
"RABI","FISHERIES","Inland","Fresh Water","Fishery Nutrition","MACHHALIYAN TALAB ME MAR RAHI HAI","TALAB KA PANI BADALE AUR 250 KG CHUNA/HA KI DAR SE PRAYOG KARE","UTTARAKHAND","ALMORA","BHIKIYASAIN                                       ","2014-12-05 17:06:42.120"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","PYAJ ME LAD GAL RAHI HAI","THIRUM 3 GRAAM / LITER PANI KE SATH SPRAY","UTTARAKHAND","ALMORA","BHIKIYASAIN                                       ","2014-12-06 11:52:49.873"
"RABI","HORTICULTURE","Fruits","Jack Fruit","Cultural Practices","kathal ki chhatai kab kare","kathal ki chhatai august maah me  kare","UTTARAKHAND","ALMORA","SULT                                              ","2014-12-09 13:04:45.763"
