"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki variety bataye?","WH-711,PBW-343,550, U.P.-2338, DBW-17","UTTARAKHAND","ALMORA","BHAISIYA CHHANA                                   ","2014-11-05 07:15:59.320"
"KHARIF","AGRICULTURE","Others","Others","Weather","AAJ KA MAUSAM KAISA RAHEGA","Today we expect: plus 21—18 °C°F, plus 70—64 °C°F, without precipitation, light air. Tomorrow: plus 21—19 °C°F, plus 70—66 °C°F, without precipitation, light air.","UTTARAKHAND","ALMORA","LAMGARA                                           ","2014-11-06 06:53:47.933"
"RABI","HORTICULTURE","Flowers","Marigold","	Plant Protection	","fool ki kheti ke bare me bataye?","marigold,rose,gurhal laga le.","UTTARAKHAND","ALMORA","TARIKHET                                          ","2014-11-06 08:32:40.703"
"RABI","AGRICULTURE","Others","Others","Cultural Practices","hame soil testing","aap apne block office mein sampark kare","UTTARAKHAND","ALMORA","TARIKHET                                          ","2014-11-06 17:05:09.813"
"RABI","AGRICULTURE","Others","Others","Cultural Practices","hame soil testing","aap apne block office mein sampark kare","UTTARAKHAND","ALMORA","TARIKHET                                          ","2014-11-06 17:06:15.143"
"RABI","AGRICULTURE","Others","Others","Cultural Practices","hame soil testing","aap apne block office mein sampark kare","UTTARAKHAND","ALMORA","TARIKHET                                          ","2014-11-06 17:06:18.657"
"RABI","AGRICULTURE","Others","Others","Cultural Practices","hame soil testing","aap apne block office mein sampark kare","UTTARAKHAND","ALMORA","TARIKHET                                          ","2014-11-06 17:06:21.867"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","pyaj gal raha hai?","apply M-45 2gm/liter of water spray","UTTARAKHAND","ALMORA","BHIKIYASAIN                                       ","2014-11-06 17:39:45.223"
"RABI","AGRICULTURE","Others","Others","Seeds","gehu ki variety bataye","hd-2967 or pbw-550","UTTARAKHAND","ALMORA","TARIKHET                                          ","2014-11-06 18:02:48.250"
"RABI","AGRICULTURE","Others","Others","Seeds","gehu ki variety bataye","hd-2967 or pbw-550","UTTARAKHAND","ALMORA","TARIKHET                                          ","2014-11-06 18:02:55.073"
"RABI","HORTICULTURE","Vegetables","Radish","	Plant Protection	","muli me kulmula lag raha hai?","apply chlorpyrifos 20ec @ 3 liter/hectare me dale.","UTTARAKHAND","ALMORA","SYALDEY                                           ","2014-11-08 11:52:34.297"
"KHARIF","HORTICULTURE","Vegetables","Radish","	Plant Protection	","muli ke jad me kida laga hai?","apply CARBOFURAN 3% CG 1kg/naali","UTTARAKHAND","ALMORA","BHIKIYASAIN                                       ","2014-11-11 12:08:33.823"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","krishi ki subsidi kaha si milegi","aap apne jile ke jila krishi adhikari se sampark kare","UTTARAKHAND","ALMORA","BHIKIYASAIN                                       ","2014-11-12 09:03:17.530"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","krishi ki subsidi kaha si milegi","aap apne jile ke jila krishi adhikari se sampark kare","UTTARAKHAND","ALMORA","BHIKIYASAIN                                       ","2014-11-12 09:03:40.653"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","krishi ki subsidi kaha si milegi","aap apne jile ke jila krishi adhikari se sampark kare","UTTARAKHAND","ALMORA","BHIKIYASAIN                                       ","2014-11-12 09:03:42.370"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","krishi ki subsidi kaha si milegi","aap apne jile ke jila krishi adhikari se sampark kare","UTTARAKHAND","ALMORA","BHIKIYASAIN                                       ","2014-11-12 09:08:44.683"
"RABI","AGRICULTURE","Others","Others","Weather","mousam ki jankari de?","mousam saaf rahega.","UTTARAKHAND","ALMORA","BHIKIYASAIN                                       ","2014-11-12 09:09:18.090"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Field Preparation	","gehu ki acchi prajati ka naam bataye","gehu ki acchi prajati ka naam pbw 550 hai","UTTARAKHAND","ALMORA","BHIKIYASAIN                                       ","2014-11-12 09:13:41.060"
"RABI","HORTICULTURE","Fruits","Banana","Cultural Practices","kela ko kab laga sakte hai","kela ko  july aur august me laga sakte hai","UTTARAKHAND","ALMORA","DHAULADEVI                                        ","2014-11-12 15:36:11.233"
"RABI","HORTICULTURE","Vegetables","Radish","	Plant Protection	","muli ko jad se kaat raha hai","chloropyriphos 20 ec 2 ml / liter pani ke sath spray","UTTARAKHAND","ALMORA","BHIKIYASAIN                                       ","2014-11-12 18:01:16.213"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me kida lag raha hai?","apply chlorpyrifos 20ec @ 3 liter/hectare me dale.","UTTARAKHAND","ALMORA","DHAULADEVI                                        ","2014-11-13 07:49:38.720"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","tamatar me kala dhabba aa raha hai?","apply Copper Oxychloride 50% WG @ 2gm/liter of water","UTTARAKHAND","ALMORA","DHAULADEVI                                        ","2014-11-15 07:46:18.003"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","mere number par lagbhag 100 sms   aata hai mai ise band karna cahta hu kaise hoga","hamare yaha se keval sms lagaya jaata hai par hataya nahi jaata hai ya sms me badlav kiya jata hai","UTTARAKHAND","ALMORA","DHAULADEVI                                        ","2014-11-15 09:43:55.543"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","hame krishi yojna ke bare me bataye","aap apne jile ke jila krishi adhikari se sampark kare","UTTARAKHAND","ALMORA","DHAULADEVI                                        ","2014-11-15 10:19:02.227"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","KYA HUM ABHI TAMATAR LAGA SAKTE HAI","HAA AAP ABHI TAMATAR LAGA SAKTE HAI","UTTARAKHAND","ALMORA","SULT                                              ","2014-11-15 12:06:44.220"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Field Preparation	","GEHU KAB TAK LAGAYA JAATA HAI","GEHU KO AAP NOVEMBER SE DECMBER 15 TAK LAGA SAKTE HAI","UTTARAKHAND","ALMORA","DWARAHAT                                          ","2014-11-15 12:56:51.893"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","HAME RAJYA KE KRISHI YOJNA KE BARE ME BATAYEE","1-apne rajya ,jile ya blok ke krishi yojna ke bare me jankari ke liye in numbaro par sampark kare --------9412309322 ,0135-2772677  ,0135-2772496,9410534744 ----2-aapke pradesh me 60 varsh ke ayu se adhik umra ke kisano ko kisan penshon di jayegi ! DHANYABAD-----3-PRADESH ME SWAROJGAR YOGNA KE ANTARGAT BORVEL VIKAS AUR GREEN HOUSE KE BADLAV KE LIYE 75 % ANUDAN AUR PHAL PAUDH ROPAN YOJNA KE TAHAT 90 % ANUDAN DIYA JAYEGA","UTTARAKHAND","ALMORA","CHAUKHUTIYA                                       ","2014-11-18 07:03:25.697"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","HAME KRISHI LOAN LENA HAI KAHA SAMPARK KARE","AAP APNE JILE KE JILA KRISHI ADHIKARI YA VIKAS BHAVAN ME SAMPARK KARE","UTTARAKHAND","ALMORA","LAMGARA                                           ","2014-11-18 08:47:46.063"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","HAME KISAN PENSION YOJNA KE BARE ME BATAYE","1-apne rajya ,jile ya blok ke krishi yojna ke bare me jankari ke liye in numbaro par sampark kare --------9412309322 ,0135-2772677  ,0135-2772496,9410534744 ----2-aapke pradesh me 60 varsh ke ayu se adhik umra ke kisano ko kisan penshon di jayegi ! DHANYABAD-----3-PRADESH ME SWAROJGAR YOGNA KE ANTARGAT BORVEL VIKAS AUR GREEN HOUSE KE BADLAV KE LIYE 75 % ANUDAN AUR PHAL PAUDH ROPAN YOJNA KE TAHAT 90 % ANUDAN DIYA JAYEGA","UTTARAKHAND","ALMORA","DWARAHAT                                          ","2014-11-18 09:28:28.797"
"KHARIF","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","MATAR ME PHOOL AA GAYA HAI KISKA SPRAY KARE","AAP, APNE MATAR KE KHET ME SULPHATE OF POTASH KA 1 KILOGRAM KA 1.5 % KA GHOL BANAKAR SPRAY KARE","UTTARAKHAND","ALMORA","DHAULADEVI                                        ","2014-11-18 10:12:03.707"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Field Preparation	","GEHU KI ACCHI PRAJATI KA NAAM BATAYE","GEHU KI ACCHI PRAJATI KA NAAM  PBW 550 HAI UTPADAN 60-65 /HACTER QUNTAL HAI","UTTARAKHAND","ALMORA","CHAUKHUTIYA                                       ","2014-11-19 07:11:06.830"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","AME IS SAMAY KAUN SI GEHI KI PRAJATI LAGA SAKTE HAI","AAP IS SAMAY PBW-550 KO BO SAKTE HAI","UTTARAKHAND","ALMORA","DHAULADEVI                                        ","2014-11-19 09:15:18.173"
