"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","mater me sichai kab kare?","fool aane se pahale sichai kare.","UTTARAKHAND","BAGESHWAR","GARUR                                             ","2014-12-01 12:13:18.387"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Fertilizer Use and Availability","gobhi me kida laga hai","qunalphos 25 ec 1.5 ml / liter pani ke sath spray","UTTARAKHAND","BAGESHWAR","BAGESHWAR                                         ","2014-12-01 17:58:05.197"
"KHARIF","AGRICULTURE","Others","Others","Weather","AAJ KA MAUSAM KAISA RAHEGA","Today we expect: plus 20—17 °C°F, plus 68—63 °C°F, without precipitation, light air. Tomorrow: plus 20—17 °C°F, plus 68—63 °C°F, without precipitation, light air.","UTTARAKHAND","BAGESHWAR","GARUR                                             ","2014-12-03 09:23:04.267"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me patti jhulas rahi hai","Metalaxyl-8% + Mancozeb-64% WP
dose/acre : 300-500 gm/acre","UTTARAKHAND","BAGESHWAR","BAGESHWAR                                         ","2014-12-06 21:11:15.380"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","Cultural Practices","mater ki buvai kab kare","aap mater ko farvary me laga sakte hai","UTTARAKHAND","BAGESHWAR","BAGESHWAR                                         ","2014-12-08 11:19:45.910"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","gehu me pila pan aa raha hai","zinc salphate 2 kigra + urea 6 kigra ko ek acre me pani ke sath spray","UTTARAKHAND","BAGESHWAR","KAPKOTE                                           ","2014-12-10 10:47:37.963"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSUM KI JANKARI DE","aapke yhaa 13,14,15 ko barish ho sakati hai","UTTARAKHAND","BAGESHWAR","BAGESHWAR                                         ","2014-12-13 08:46:09.143"
"KHARIF","AGRICULTURE","Others","Others","Weather","AAJ KA MAUSAM KAISA RAHEGA","3 hoursago at the weather station (71 km) it was overcast, normal air pressure, high humidity (89%), light breezeblowing from the north-west. Thunderstorm, slight or moderate, without hail, but with rain and/or snow.","UTTARAKHAND","BAGESHWAR","GARUR                                             ","2014-12-13 20:41:28.667"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","BEGAN KA BIZ DAR KYA HAI","BEGAN KA BIZ DAR 500 GRAM/HACTER HAI","UTTARAKHAND","BAGESHWAR","BAGESHWAR                                         ","2014-12-13 20:49:43.753"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","tamatar me badvar ke liye kya de","tamatar me badvar ke liye urea fosphate 17:44 ka 1 kilogram 1.5 % ka ghol banakar spray kare","UTTARAKHAND","BAGESHWAR","GARUR                                             ","2014-12-15 07:09:16.427"
"RABI","AGRICULTURE","Others","Others","Weather","mousam ki jankari de?","Today we expect: plus 3 °C°F, plus 37 °C°F, heavy rain, light air. Tomorrow: plus 3 °C°F, plus 37 °C°F, mainly without precipitation, light air.","UTTARAKHAND","BAGESHWAR","GARUR                                             ","2014-12-15 09:50:29.477"
"KHARIF","AGRICULTURE","Others","Others","Weather","aaj ka mausam kaisa rahega","Today we expect: plus 3 °C°F, plus 37 °C°F, heavy rain, light air. Tomorrow: plus 3 °C°F, plus 37 °C°F, mainly without precipitation, light air.","UTTARAKHAND","BAGESHWAR","KAPKOTE                                           ","2014-12-15 10:28:16.193"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari de","16 se mausam saaf rahne ki sambhvana hai","UTTARAKHAND","BAGESHWAR","BAGESHWAR                                         ","2014-12-15 16:36:45.213"
"RABI","AGRICULTURE","Others","Others","Weather","mousam ki jankari dijiye?","Today we expect: plus 15—7 °C°F, plus 59—45 °C°F, without precipitation, calm. Tomorrow: plus 14 °C°F, plus 57 °C°F, without precipitation, light breeze.","UTTARAKHAND","BAGESHWAR","BAGESHWAR                                         ","2014-12-18 13:57:19.493"
"RABI","HORTICULTURE","Vegetables","Spinach (Palak)","Fertilizer Use and Availability","PALAK ME PILA PAN HAI KYA KARE","HUMIK ACID 1 LITER / 100 LITER PANI KE SATH SPRAY","UTTARAKHAND","BAGESHWAR","BAGESHWAR                                         ","2014-12-22 16:34:33.270"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Dairy Production","hame dairy ke liye training kaha se milegi","aap is number par sampark kare 05944 234810","UTTARAKHAND","BAGESHWAR","GARUR                                             ","2014-12-22 18:34:29.490"
"RABI","AGRICULTURE","Others","Others","Weather","mousam ki jankari dijiye?","Today we expect: plus 13—11 °C°F, plus 55—52 °C°F, without precipitation, light breeze. Tomorrow: plus 13—11 °C°F, plus 55—52 °C°F, without precipitation, light breeze.","UTTARAKHAND","BAGESHWAR","BAGESHWAR                                         ","2014-12-30 08:15:21.363"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ALOO ME JHULSA KE LIYE KYA DAALE","ALOO ME JHULSA KE LIYE RADOMIL @ 2 GRAM/LITER KI DAR SE SPRAY KARE","UTTARAKHAND","BAGESHWAR","BAGESHWAR                                         ","2014-12-30 09:21:30.677"
"JAYAD","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki prajati ka naam batayee","AAP AIS SAMAY UP-2338,PBW-373,,K-8020,DBW-16,NW-1076,K-9533 YAI LATE PRAJATI HAI","UTTARAKHAND","BAGESHWAR","BAGESHWAR                                         ","2014-12-31 08:10:51.410"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","pale se bachane ke liye kya kare?","sichai kare or nami banaye rakhye.","UTTARAKHAND","BAGESHWAR","BAGESHWAR                                         ","2014-12-31 12:21:38.987"
"RABI","AGRICULTURE","Others","Others","Weather","sms lagwana hai?","sms laga diye hai.","UTTARAKHAND","BAGESHWAR","BAGESHWAR                                         ","2014-12-31 19:19:23.530"
