"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","pomegranate me kida laga hai?","apply diclorovas ka spray kar de.","UTTARAKHAND","CHAMPAWAT","CHAMPAWAT                                         ","2014-08-02 09:38:49.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhaan ki gob me kida hai","Use corajan","UTTARAKHAND","CHAMPAWAT","CHAMPAWAT                                         ","2014-08-02 16:33:39.000"
"","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","khira ka fool jhad raha hai?","apply planofix @ .5ml/liter of water ka spray kare.","UTTARAKHAND","CHAMPAWAT","LOHAGHAT                                          ","2014-08-03 12:51:30.000"
"","AGRICULTURE","Others","Others","Weather","MAUSAM KE BARE MEIN BATAYE","AAPKE YAHA BUNDA BANDI HO SAKTI HAI","UTTARAKHAND","CHAMPAWAT","PATI                                              ","2014-08-04 20:40:11.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","adrak pila padraha hai kya kare","aapa pani fasal me mancozeb @ 2 gram ki dar se spray kare","UTTARAKHAND","CHAMPAWAT","CHAMPAWAT                                         ","2014-08-05 11:04:10.000"
"","HORTICULTURE","Fruits","Litchi","","litchi ke bare mein jaanana hai","jaankari di gayee","UTTARAKHAND","CHAMPAWAT","CHAMPAWAT                                         ","2014-08-06 17:28:16.000"
"","HORTICULTURE","Fruits","Litchi","	Plant Protection	","lichi ke ped ki duri bataye?","lichi ke ped ki duri 10x10 miter par lagaye.","UTTARAKHAND","CHAMPAWAT","CHAMPAWAT                                         ","2014-08-07 08:44:52.000"
"","HORTICULTURE","Fruits","Guava","","amrud jhad rahe hai","spray Planofix. ( naphthlacetic acid )","UTTARAKHAND","CHAMPAWAT","BARAKOT                                           ","2014-08-07 18:01:33.000"
"","AGRICULTURE","Others","Others","","ID","UTK_9671222","UTTARAKHAND","CHAMPAWAT","BARAKOT                                           ","2014-08-07 18:02:51.000"
"","AGRICULTURE","Others","Others","Government Schemes","SMS BAND KAR DO","YES","UTTARAKHAND","CHAMPAWAT","CHAMPAWAT                                         ","2014-08-11 12:24:43.000"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Dairy Production","bahis chara nahi kha rahi hai?","himalay batisa khilay or kala namak de.","UTTARAKHAND","CHAMPAWAT","PATI                                              ","2014-08-20 09:03:40.713"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","makka me kida laga hai?","spray Lambda-Cyhalothrin 2.5% EC @ 200ml/acre","UTTARAKHAND","CHAMPAWAT","LOHAGHAT                                          ","2014-08-21 11:39:03.710"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","adarakh  me patti pili pad rahi hai","coper oxicloride 2.5 graam   ko prati liter pani ke sath drenching","UTTARAKHAND","CHAMPAWAT","CHAMPAWAT                                         ","2014-08-22 17:29:59.053"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","Weather","mousam ki jankari dijiye?","Today we expect: plus 35 °C , without precipitation, gentle breeze. Tomorrow: plus 36 °C , without precipitation, gentle breeze.","UTTARAKHAND","CHAMPAWAT","CHAMPAWAT                                         ","2014-08-24 10:57:29.290"
"KHARIF","AGRICULTURE","Others","Others","Weather","mousam ki jankari de?","aaj mousam saaf rahega.","UTTARAKHAND","CHAMPAWAT","PATI                                              ","2014-08-26 09:29:52.087"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirch pila pad raha hai?","apply tricodarma @ 2gm/liter of water","UTTARAKHAND","CHAMPAWAT","PATI                                              ","2014-08-26 10:39:49.917"
