"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kida laga hai ?","apply Chlorantraniliprole 0.4% Gr@ 10kg/ha.","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-08-01 09:21:24.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","mousam ki jankari dijye?","Today we expect: plus 29 °C , rain, light air. Tomorrow: plus 30—29 °C , heavy rain, light air.","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-08-01 09:23:31.000"
"","HORTICULTURE","Fruits","Papaya","","papeete ki variety batao.","Co 1, Co 2, Co 3, Co 4, Co 5, Co 6, Co 7, Coorg Honey dew and Surya.
Co 3, Co 7 and Surya are gynodioecious (bisexual + female) types highly suitable for table purpose and Co 2, Co 5 and Co 6 are dual-purpose varieties for table and papain production","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-08-01 10:44:14.000"
"JAYAD","HORTICULTURE","Fruits","Papaya","	Plant Protection	","papita ki variety bataye?","????? ?? ???????: ??? ?????-?, ???? ??????, ???? ???????, ???? ?????.","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-08-01 10:56:43.000"
"","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","adrak me N.P.K-ki matra bataye?","adrak me N.P.K-ki matra-100-80-80kg/hectare hai.","UTTARAKHAND","DEHRADUN","KALSI                                             ","2014-08-01 11:02:21.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ka ped sukh raha hai?","apply Hexaconazole 5% EC@250-400ml/acre ki dar se spray kar de.","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-08-01 12:33:53.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ke tane ko kida kat raha hai","broad casting @ 4 kilo/acre","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-08-01 19:01:36.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","dhaan me kya daale","spray NPK 18:18:18:","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-08-01 19:20:08.000"
"","AGRICULTURE","Others","Others","","hame SMS cancel karna hai","aap kal 10 AM par kal kare","UTTARAKHAND","DEHRADUN","KALSI                                             ","2014-08-01 21:54:50.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me dimak lag rahi hai?","apply chlorpyrifos 20ec @ 2.5-3 liter /hectare me dale.","UTTARAKHAND","DEHRADUN","VIKASNAGAR                                        ","2014-08-02 07:40:02.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","dhan ke 1509 prajati me bich-bich me paudh lambe ho rahe hai","yai  dhan ki prajti ke bich me paudh badne par carbondazim 12 % aur mancozeb 63% in dono ko ret me  milakar paudh par chita lagaye","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-08-02 08:39:11.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me deemak laga rahe hai","chloropyriphos 20 ec  1.5 liter / acre sinchai ke pani ke sath spray","UTTARAKHAND","DEHRADUN","DOIWALA                                           ","2014-08-02 16:07:16.000"
"JAYAD","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","adrakh me galan ho rahi hai","chloropyriphos 20 ec 2 ml /liter pani ke sath spray","UTTARAKHAND","DEHRADUN","VIKASNAGAR                                        ","2014-08-02 17:52:34.000"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me gobh me kida laga hai","cartap hydrocloride 4 g 8 kigra / acre khet me nami hone par dale","UTTARAKHAND","DEHRADUN","VIKASNAGAR                                        ","2014-08-02 17:55:27.000"
