"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","bhindi me kida ched kar raha hai ?","go mutar ka spray kar sakte hai","UTTARAKHAND","PAURI GARHWAL","DUGGADA                                           ","2014-08-01 15:54:05.000"
"","AGRICULTURE","Others","Others","","ID","UTK_9643382","UTTARAKHAND","PAURI GARHWAL","DUGGADA                                           ","2014-08-01 15:54:53.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","tamatar sad rahi hai?","spray Chlorothalonil 75% WP @ 2gm/liter of water","UTTARAKHAND","PAURI GARHWAL","THALISAIN                                         ","2014-08-02 09:17:55.000"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","tamater me ched ho kar sad rahe hai","spinosad 1 ml / 3 liter pani ke sath spray","UTTARAKHAND","PAURI GARHWAL","THALISAIN                                         ","2014-08-02 14:59:31.000"
"JAYAD","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Dairy Production","gay ki jer nahi gir rahi hai","utrotone 100 ml / day pani me mila kar de","UTTARAKHAND","PAURI GARHWAL","DWARIKHAL                                         ","2014-08-02 16:39:44.000"
"KHARIF","AGRICULTURE","Others","Others","Weather","aaj ka mausam kaisa rahega","2 hours ago at the weather station (285 km) it was +16.3 °C, +61 °F, overcast, low air pressure, light air (1 m/s) (4 km/h) (2 mph) (2 knots) (1 Bft)blowing from the west. Slight drizzle. Horizontal visibility 5.0 km Horizontal visibility 3.11 miles","UTTARAKHAND","PAURI GARHWAL","DUGGADA                                           ","2014-08-03 07:06:55.000"
"","HORTICULTURE","Fruits","Guava","	Plant Protection	","guava ka ped sukh raha hai?","apply chlorpyriphos se dranch kre.","UTTARAKHAND","PAURI GARHWAL","POKHRA                                            ","2014-08-03 10:08:43.000"
"","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","tamatar sad rahe hai?","apply Carbendazim 12% + Mancozeb 63% WP@2gm/liter ki dar se spray kar de.","UTTARAKHAND","PAURI GARHWAL","THALISAIN                                         ","2014-08-03 10:22:50.000"
"","AGRICULTURE","Others","Others","","GAAJAR GHAS KE LIYE DAVA BATAYE","SPRAY MEERA-71 @ 150 MILI/15 LITER OF WATER","UTTARAKHAND","PAURI GARHWAL","EKESHWAR                                          ","2014-08-03 19:14:35.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","HAM APNE YAHA KYA LAGAYE","AAP MEDICINAL  PLANT LAGA SAKTE HAI","UTTARAKHAND","PAURI GARHWAL","EKESHWAR                                          ","2014-08-03 19:20:47.000"
"","HORTICULTURE","Flowers","Rose","	Plant Protection	","rose ki jankari de?","proper jankari di .","UTTARAKHAND","PAURI GARHWAL","KHIRSU                                            ","2014-08-04 11:28:52.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","bhat me patti pili pad rahi hai","imidachlorprid 17.8 sl .5 ml / liter pani ke sath spray","UTTARAKHAND","PAURI GARHWAL","DUGGADA                                           ","2014-08-04 16:55:43.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","soyabean me pati me ched ho rahe hai","dimethoat 30 ec 1 ml /liter pani ke sath spray","UTTARAKHAND","PAURI GARHWAL","DUGGADA                                           ","2014-08-04 16:58:14.000"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","polyhouse ke liye kisse sampark kare","pls contact district horticulture officer pauri garhwal","UTTARAKHAND","PAURI GARHWAL","YAMKESHWAR                                        ","2014-08-04 20:22:03.000"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","BHINDI ME PHOOL AA RAHA HAI PAR USE KIT KHA JA RAHA HAI KYA KARE","AAP APNE FASAL PAR Acetamiprid 20% SP dose/acre : 20-40 gm/acre KI DAR SE SPRAY KARE","UTTARAKHAND","PAURI GARHWAL","DUGGADA                                           ","2014-08-19 14:33:13.003"
"KHARIF","HORTICULTURE","Fruits","Lemon","	Plant Protection	","nibu ka fool jhad raha hai?","apply planofix @ .5ml/liter of water ka ghol banakar spray kare.","UTTARAKHAND","PAURI GARHWAL","DUGGADA                                           ","2014-08-22 13:23:06.660"
"KHARIF","HORTICULTURE","Vegetables","Radish","Cultural Practices","muli lagane ka samya bataye?","ageti muli ki buvai augast - sitambaer me kare","UTTARAKHAND","PAURI GARHWAL","THALISAIN                                         ","2014-08-23 08:13:44.070"
"KHARIF","HORTICULTURE","Vegetables","Radish","	Plant Protection	","muli ki buvai ka samay bataye?","september-october","UTTARAKHAND","PAURI GARHWAL","THALISAIN                                         ","2014-08-23 08:17:06.333"
"KHARIF","HORTICULTURE","Vegetables","Beans ","Cultural Practices","bakula kab bo sakte hai","july","UTTARAKHAND","PAURI GARHWAL","THALISAIN                                         ","2014-08-25 17:16:13.470"
"KHARIF","AGRICULTURE","Others","Others","Organic Farming","hame krishi bivhag ki taraf se biz diya gaya hai f1 hybrid tomato indis 18 iske bare me bataye","yai prajti utk sarkar ki taraf se di jane vali acchi prajati ise laga sakte hai++++++ 1-apne rajya ,jile ya blok ke krishi yojna ke bare me jankari ke liye in numbaro par sampark kare --------9412309322 ,0135-2772677  ,0135-2772496,9410534744 ----2-aapke pradesh me 60 varsh ke ayu se adhik umra ke kisano ko kisan penshon di jayegi ! DHANYABAD-----3-PRADESH ME SWAROJGAR YOGNA KE ANTARGAT BORVEL VIKAS AUR GREEN HOUSE KE BADLAV KE LIYE 75 % ANUDAN AUR PHAL PAUDH ROPAN YOJNA KE TAHAT 90 % ANUDAN DIYA JAYEGA","UTTARAKHAND","PAURI GARHWAL","DUGGADA                                           ","2014-08-26 10:25:48.747"
"JAYAD","AGRICULTURE","Others","Others","Government Schemes","sarkari yojna ke bare me bataye","1-apne rajya ,jile ya blok ke krishi yojna ke bare me jankari ke liye in numbaro par sampark kare --------9412309322 ,0135-2772677  ,0135-2772496,9410534744 ----2-aapke pradesh me 60 varsh ke ayu se adhik umra ke kisano ko kisan penshon di jayegi ! DHANYABAD-----3-PRADESH ME SWAROJGAR YOGNA KE ANTARGAT BORVEL VIKAS AUR GREEN HOUSE KE BADLAV KE LIYE 75 % ANUDAN AUR PHAL PAUDH ROPAN YOJNA KE TAHAT 90 % ANUDAN DIYA JAYEGA","UTTARAKHAND","PAURI GARHWAL","YAMKESHWAR                                        ","2014-08-28 09:32:07.920"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","kela me tana chedak lga hai","carbofuran 20 se 25 gram / plant dale","UTTARAKHAND","PAURI GARHWAL","YAMKESHWAR                                        ","2014-08-28 14:29:26.247"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam ki jankari de","30 31 aur 1 ko barsaat hone ki sambhavna hai","UTTARAKHAND","PAURI GARHWAL","YAMKESHWAR                                        ","2014-08-28 14:39:18.770"
