"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","Cultural Practices","tamatar ki variety bataye?","pant tamatar 1,2 abhinav","UTTARAKHAND","PAURI GARHWAL","THALISAIN                                         ","2014-09-02 14:18:33.880"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","adarakh me patte pile pad rahe hai","coper oxicloride 2.5 graam / liter pani ke sath spray","UTTARAKHAND","PAURI GARHWAL","NAINIDANDA                                        ","2014-09-04 16:36:40.767"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","kele ke ped me kida laga hai?","spray neem oil 2ml/liter of water","UTTARAKHAND","PAURI GARHWAL","YAMKESHWAR                                        ","2014-09-10 10:41:42.210"
"RABI","AGRICULTURE","Pulses","Rajma (french bean)","Varieties","rajma ki variety bataye","VL Rajma-63","UTTARAKHAND","PAURI GARHWAL","YAMKESHWAR                                        ","2014-09-11 19:11:41.543"
"RABI","AGRICULTURE","Pulses","Rajma (french bean)","Cultural Practices","rajma ka distance kya rakhhe","35 X 10 cm","UTTARAKHAND","PAURI GARHWAL","YAMKESHWAR                                        ","2014-09-11 19:15:04.090"
"KHARIF","FISHERIES","Inland","Cold Water","Fish Fingerling Production","machli palan ki jankari dijiye?","booklet krsi adhikari se le sakte ho.","UTTARAKHAND","PAURI GARHWAL","DUGGADA                                           ","2014-09-13 09:15:11.417"
"KHARIF","HORTICULTURE","Fruits","Citrus","	Plant Protection	","nimbu me fool jad rahe hai","planofix 1 ml / 3 litre pani ke sath spray","UTTARAKHAND","PAURI GARHWAL","DWARIKHAL                                         ","2014-09-13 15:54:24.653"
"JAYAD","AGRICULTURE","Others","Others","	Field Preparation	","aaj ka mausam kaisa rahega","3 hours ago at the weather station (304 km) it was +18.2 °C, +65 °F, variable clouds, low air pressure, very high humidity (93%), light air (1 m/s) (4 km/h) (2 mph) (2 knots) (1 Bft)blowing from the south-southeast. Mist. Horizontal visibility 3.0 km Horizontal visibility 1.86 miles","UTTARAKHAND","PAURI GARHWAL","THALISAIN                                         ","2014-09-20 11:59:02.103"
"KHARIF","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","lahsun lagane ka samy bataye?","ideol time october","UTTARAKHAND","PAURI GARHWAL","THALISAIN                                         ","2014-09-20 12:05:43.297"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","kaun sa vavsaai karwaai","bakri palan karwaye aur","UTTARAKHAND","PAURI GARHWAL","KALJIKHAL                                         ","2014-09-21 08:35:37.460"
"KHARIF","HORTICULTURE","Vegetables","French Bean","	Plant Protection	","rajma lagane ka samy bataye?","apply october","UTTARAKHAND","PAURI GARHWAL","THALISAIN                                         ","2014-09-23 10:34:58.500"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Government Schemes","pantnagar mela kab hai?","pantnagar mela 5-7 october.","UTTARAKHAND","PAURI GARHWAL","DUGGADA                                           ","2014-09-23 12:00:40.850"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","	Plant Protection	","coriendar ke beej sad jate hai","aap beej ko treat karke boye","UTTARAKHAND","PAURI GARHWAL","BIRONKHAL                                         ","2014-09-25 15:39:02.383"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu ki parjati bataye?","kufri bahar","UTTARAKHAND","PAURI GARHWAL","YAMKESHWAR                                        ","2014-09-26 11:24:05.140"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","anar me kida lag raha hai?","apply monocrotophos 36sl @ 1.5 ml/liter of water ka ghol banakar spray kare.","UTTARAKHAND","PAURI GARHWAL","DUGGADA                                           ","2014-09-28 12:47:37.500"
