"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","Government Schemes","sms band kar do?","aap ke namber par sms nhi laga hai.","UTTARAKHAND","PITHORAGARH","MUNSYARI                                          ","2014-08-02 06:30:21.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ganne me kharpatwar ho raha hai?","2,4-D amine salt 58sl 1 liter + metribujin 70wp @ 125gm/acre me spray kare.","UTTARAKHAND","PITHORAGARH","MUNSYARI                                          ","2014-08-02 07:59:24.000"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)","gay dudh kam de rahi hai?","santulit pashu ahar de.or galaiko powder 50gram /din de.","UTTARAKHAND","PITHORAGARH","DHARCHULA                                         ","2014-08-02 10:54:29.000"
"","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","louki sad rahi hai?","apply carbendazim 12% + mancozeb 63% @ 2gm/liter of water ka spray kare.","UTTARAKHAND","PITHORAGARH","BERINAG                                           ","2014-08-02 11:53:23.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","aaj ka mausam kaisa rahega","Today we expect: plus 30—29 °C°F , plus 86—84 °C°F , rain, light breeze. Tomorrow: plus 28—27 °C°F , plus 82—81 °C°F , heavy rain, light air.","UTTARAKHAND","PITHORAGARH","DHARCHULA                                         ","2014-08-03 09:54:19.000"
"","HORTICULTURE","Plantation Crops","Oil palm","","ashok ke ped ki growth ke liye bataye","gobar ki khad @ 10 kilo + NPK (12:32:16) @ 150-200 gram/paudha","UTTARAKHAND","PITHORAGARH","GANGOLIHAT                                        ","2014-08-03 19:51:36.000"
"","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","tomato sad rahe hai?","apply Carbendazim 12% + Mancozeb 63% WP @2gm/liter ki dar se spray kar de.","UTTARAKHAND","PITHORAGARH","DHARCHULA                                         ","2014-08-04 10:34:11.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kida laga hai?","spray Lambda-Cyhalothrin 5% EC @ 250ml/acre","UTTARAKHAND","PITHORAGARH","PITHORAGARH                                       ","2014-08-05 11:46:13.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kida laga hai?","spray Lambda-Cyhalothrin 5% EC @ 250ml/acre","UTTARAKHAND","PITHORAGARH","PITHORAGARH                                       ","2014-08-05 11:46:13.000"
"JAYAD","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","gay ko calsium kab tak dena chahiye","gay ko calsium 7 se 8 mah tak dena chahiye","UTTARAKHAND","PITHORAGARH","PITHORAGARH                                       ","2014-08-05 15:41:13.000"
"JAYAD","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","gay ko calsium kab tak dena chahiye","gay ko calsium 7 se 8 mah tak dena chahiye","UTTARAKHAND","PITHORAGARH","PITHORAGARH                                       ","2014-08-05 15:41:13.000"
"JAYAD","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","lauki me jad ke paas se kida kaat raha hai","chloropyriphos 20 ec 2 ml / liter pani ke sath spray","UTTARAKHAND","PITHORAGARH","PITHORAGARH                                       ","2014-08-05 15:45:34.000"
"JAYAD","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","lauki me jad ke paas se kida kaat raha hai","chloropyriphos 20 ec 2 ml / liter pani ke sath spray","UTTARAKHAND","PITHORAGARH","PITHORAGARH                                       ","2014-08-05 15:45:34.000"
"","AGRICULTURE","Others","Others","","hame SMS hatane hai","aapka SMS hata diya hai","UTTARAKHAND","PITHORAGARH","PITHORAGARH                                       ","2014-08-05 19:31:16.000"
"","AGRICULTURE","Others","Others","Weather","mousam ki jankari de?","barish hone ki sambhawna hai.","UTTARAKHAND","PITHORAGARH","GANGOLIHAT                                        ","2014-08-07 07:13:15.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","aaj ka mausam kaisa rahega","2 hours ago at the weather station (110 km) it was +18 °C, +64 °F, sky obscured by fog and/or other meteorological phenomena, normal air pressure, very high humidity (100%), light air (1 m/s) (4 km/h) (2 mph) (2 knots) (1 Bft)blowing from the east-southeast. Fog or ice fog. Horizontal visibility 0.1 km Horizontal visibility 0.06 miles","UTTARAKHAND","PITHORAGARH","GANGOLIHAT                                        ","2014-08-07 07:30:30.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me zulsa laga hai?","apply Hexaconazole 5% EC
Recommended dose/acre : 250-400ml","UTTARAKHAND","PITHORAGARH","PITHORAGARH                                       ","2014-08-08 10:34:44.000"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)","bheins ko gobar band lag raha hai?","hra kasis 200gm,namak-200gm ,pipl kari 30gm,hing 20gm ki 5 khurak banakar 1khurak ko aadha liter pani me pakakar subah sham de.","UTTARAKHAND","PITHORAGARH","BERINAG                                           ","2014-08-08 10:56:11.000"
"","HORTICULTURE","Fruits","Litchi","	Plant Protection	","lichi kali ho rahi hai?","apply carbendazim 12% + mancozeb 63%wp @ 2gm/liter of water ka ghol banakar spray kare.","UTTARAKHAND","PITHORAGARH","MUNSYARI                                          ","2014-08-09 10:45:35.000"
"","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","kakdi me fal nhi aa rahe hai?","apply N.A.A ka @ .5ML/liter of water ka ghol banakar spray kare.","UTTARAKHAND","PITHORAGARH","DIDIHAT                                           ","2014-08-10 10:12:11.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","dhan me kida laga hai?","spray Dichlorvos 76% EC @ 2ml/liter of water","UTTARAKHAND","PITHORAGARH","BERINAG                                           ","2014-08-21 09:09:40.680"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","Seeds and Planting Material","BANDH GOBHI KA BIZ LAYA THA PACKET KHOLA TO BIZ SAHI NAHI HAI KYA KARE","AAP UN BIZO KO AAP BAPAS KAR DE AAP IN BIZ KO LEKAR BLOCK ME SAMPARK KARE---------1-apne rajya ,jile ya blok ke krishi yojna ke bare me jankari ke liye in numbaro par sampark kare --------9412309322 ,0135-2772677  ,0135-2772496,9410534744 ----2-aapke pradesh me 60 varsh ke ayu se adhik umra ke kisano ko kisan penshon di jayegi ! DHANYABAD-----3-PRADESH ME SWAROJGAR YOGNA KE ANTARGAT BORVEL VIKAS AUR GREEN HOUSE KE BADLAV KE LIYE 75 % ANUDAN AUR PHAL PAUDH ROPAN YOJNA KE TAHAT 90 % ANUDAN DIYA JAYEGA","UTTARAKHAND","PITHORAGARH","DIDIHAT                                           ","2014-08-21 11:33:45.290"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)","gay ko thnela ho gai?","10 baje phon kare","UTTARAKHAND","PITHORAGARH","PITHORAGARH                                       ","2014-08-22 09:31:50.990"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)","gay ko thnela ho gai?","10 baje phon kare","UTTARAKHAND","PITHORAGARH","PITHORAGARH                                       ","2014-08-22 09:31:50.990"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)","gay ko thnela ho gai?","10 baje phon kare","UTTARAKHAND","PITHORAGARH","PITHORAGARH                                       ","2014-08-22 09:31:51.820"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)","gay ko thnela ho gai?","10 baje phon kare","UTTARAKHAND","PITHORAGARH","PITHORAGARH                                       ","2014-08-22 09:31:51.820"
"KHARIF","HORTICULTURE","Vegetables","Mushroom","Mushroom Production","mashroom ki kheti ki jankari de","mashroom ki kheti ki jankari 07500241509  ,05964-252175 se sampark","UTTARAKHAND","PITHORAGARH","DIDIHAT                                           ","2014-08-22 22:11:45.600"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirch me kale rang ke kide lage hai","imidachlorprid 17.8 sl  .5 ml / liter pani ke sath spray","UTTARAKHAND","PITHORAGARH","BERINAG                                           ","2014-08-23 19:25:31.187"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kida lag raha hai?","apply cartap hydrochloride 50sp @ 400gm/acre me spray kare.","UTTARAKHAND","PITHORAGARH","DHARCHULA                                         ","2014-08-24 16:46:55.303"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kida lag raha hai?","apply cartap hydrochloride 50sp @ 400gm/acre me spray kare.","UTTARAKHAND","PITHORAGARH","DHARCHULA                                         ","2014-08-24 16:46:55.303"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","lauki ke fal kale hokar gir jate hain","hexaconezol 2 ml + nitrbenzin 2 ml prati litre paani me milaakar spray karen","UTTARAKHAND","PITHORAGARH","MUNAKOT                                           ","2014-08-26 08:58:42.063"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","lauki ke fal kale hokar gir jate hain","hexaconezol 2 ml + nitrbenzin 2 ml prati litre paani me milaakar spray karen","UTTARAKHAND","PITHORAGARH","MUNAKOT                                           ","2014-08-26 08:58:42.063"
"KHARIF","AGRICULTURE","Others","Others","Weather","aaj ka mausam kaisa rahega","1 hour ago at the weather station (110 km) it was +22.2 °C, +72 °F, mostly clear, normal air pressure, high humidity (81%), calm. Haze. Horizontal visibility 4.0 km Horizontal visibility 2.49 miles","UTTARAKHAND","PITHORAGARH","DIDIHAT                                           ","2014-08-26 10:00:18.990"
