"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki paudha sukh rahi hai","spray chloropyriphos 20 EC @ 2.5-3 liter/hectare","UTTARAKHAND","UDHAM SINGH NAGAR","GADARPUR                                          ","2014-09-01 18:53:09.593"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki paudha sukh rahi hai","spray chloropyriphos 20 EC @ 2.5-3 liter/hectare","UTTARAKHAND","UDHAM SINGH NAGAR","GADARPUR                                          ","2014-09-01 18:53:09.593"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki jado mein kide lag rahe hai","broad casting carbofuron @ 8-10 kilo/acre","UTTARAKHAND","UDHAM SINGH NAGAR","GADARPUR                                          ","2014-09-01 18:55:47.503"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki jado mein kide lag rahe hai","broad casting carbofuron @ 8-10 kilo/acre","UTTARAKHAND","UDHAM SINGH NAGAR","GADARPUR                                          ","2014-09-01 18:55:47.503"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki bali pili pad rahi hai","spray propyconazole @ 500 gram/hectare","UTTARAKHAND","UDHAM SINGH NAGAR","SITARGANJ                                         ","2014-09-02 15:32:36.673"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki bali pili pad rahi hai","spray propyconazole @ 500 gram/hectare","UTTARAKHAND","UDHAM SINGH NAGAR","SITARGANJ                                         ","2014-09-02 15:32:36.673"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kida lag raha hai?","apply cartap hydrochloride 50sp @ 400gm/acre me spray kare.","UTTARAKHAND","UDHAM SINGH NAGAR","SITARGANJ                                         ","2014-09-03 07:55:16.033"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kida lag raha hai?","apply cartap 4gr @ 12kg/acre me dale.","UTTARAKHAND","UDHAM SINGH NAGAR","JASPUR                                            ","2014-09-03 08:22:09.983"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kida lag raha hai?","apply cartap 4gr @ 12kg/acre me dale.","UTTARAKHAND","UDHAM SINGH NAGAR","JASPUR                                            ","2014-09-03 08:22:09.983"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kida lag raha hai?","apply cartap 4gr @ 12kg/acre me dale.","UTTARAKHAND","UDHAM SINGH NAGAR","JASPUR                                            ","2014-09-03 08:22:09.983"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","mandi bhav lagvana hai?","yes","UTTARAKHAND","UDHAM SINGH NAGAR","KHATIMA                                           ","2014-09-03 08:48:59.643"
"JAYAD","AGRICULTURE","Others","Others","	Field Preparation	","HAMNE SUNDI KI DAVA KA SPRAY KIYA THA AB KAB KARE","AAPKO KAM SE KAM 7 DINO KE BAD KARNA CHAIYEE","UTTARAKHAND","UDHAM SINGH NAGAR","GADARPUR                                          ","2014-09-03 08:51:36.883"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","mousam ki jankari dijiye?","Today we expect: plus 29 °C , rain, gentle breeze. Tomorrow: plus 30—31 °C , rain, light breeze.","UTTARAKHAND","UDHAM SINGH NAGAR","KHATIMA                                           ","2014-09-04 06:13:00.337"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","mousam ki jankari dijiye?","Today we expect: plus 29 °C , rain, gentle breeze. Tomorrow: plus 30—31 °C , rain, light breeze.","UTTARAKHAND","UDHAM SINGH NAGAR","KHATIMA                                           ","2014-09-04 06:13:00.337"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me tela lag raha hai?","apply buprofezin 25sc @ 1 liter/hectare me spray kare.","UTTARAKHAND","UDHAM SINGH NAGAR","SITARGANJ                                         ","2014-09-04 07:57:48.853"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me sundi lag rahi hai?","apply cartap hydrochloride 50sp @ 400gm/acre me spray kare.","UTTARAKHAND","UDHAM SINGH NAGAR","GADARPUR                                          ","2014-09-04 08:54:17.367"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me sundi lag rahi hai?","apply imidacloprid 17.8sl @ 100ml/acre me spray kare.","UTTARAKHAND","UDHAM SINGH NAGAR","SITARGANJ                                         ","2014-09-04 10:16:08.997"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kida laga hai?","spray Lambda-Cyhalothrin 2.5% EC @ 350ml/acre","UTTARAKHAND","UDHAM SINGH NAGAR","KHATIMA                                           ","2014-09-04 11:39:23.027"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kida laga hai?","spray Lambda-Cyhalothrin 2.5% EC @ 350ml/acre","UTTARAKHAND","UDHAM SINGH NAGAR","KHATIMA                                           ","2014-09-04 11:39:23.027"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki bali kali pad rahi hai","spray propyconazole @ 500 mili/acre","UTTARAKHAND","UDHAM SINGH NAGAR","RUDRAPUR                                          ","2014-09-04 14:20:16.403"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan mein gobh sukh rahi hai","broad casting carbofuron @ 3 g @ 8-10 kilo/acre","UTTARAKHAND","UDHAM SINGH NAGAR","KASHIPUR                                          ","2014-09-04 17:38:31.313"
