"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","Seeds and Planting Material","VARIETIES OF BITTER GOURD","WHITE LONG, GREEN LONG, PANCHALI","WEST BENGAL","HOOGHLY","JANGIPARA                                         ","2014-10-01 06:56:58.810"
"KHARIF","AGRICULTURE","Cereals","Oats ","	Plant Protection	","CONTROL OF BROWN LEAF HOPPER IN PADDY","RECOMMENDED FOR SPRAY IMMIDACHOLPRID 17.8%SL @ 1ML/5LIT OF WATER","WEST BENGAL","HOOGHLY","ARAMBAGH                                          ","2014-10-01 08:37:55.900"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","CONTROL OF ZINC DEFICIENCY IN PADDY","RECOMMENDED DOSE SPRAY CHILETED ZINC 0.5GM/LIT OF WATER","WEST BENGAL","HOOGHLY","GOGHAT-II                                         ","2014-10-01 08:54:57.427"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","CONTROL OF FRUIT FLY IN BOTTLE GOURD","RECOMMENDED DOSE APPLY ACETAMIPRID 20% S.P. 1GM/ 5LIT. OF WATER.","WEST BENGAL","HOOGHLY","DHANIAKHALI                                       ","2014-10-01 09:19:17.997"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","WHERE SHOULD I CONTACT FOR KISAN CREDIT CARD.","ADVICE TO CONTACT WITH BLOCK A.D.A.","WEST BENGAL","HOOGHLY","DHANIAKHALI                                       ","2014-10-01 09:37:57.623"
"KHARIF","AGRICULTURE","Others","Others","Cultural Practices","CULTIVATION OF POTATO","CONTACT WITH BLOCK  [ ASSISTANT DIRECTOR OF AGRICULTURE(A.D.A)]","WEST BENGAL","HOOGHLY","PANDUA                                            ","2014-10-01 10:37:52.140"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL LEAF FOLDER IN PADDY","RECOMMENDED FOR SPRAY CHLORPYRIPHOS 20%EC @ 2.5 ML / 1 LIT.OF WATER.","WEST BENGAL","HOOGHLY","TARAKESWAR                                        ","2014-10-01 10:52:20.100"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT IN MURSHIDABAD DISTRICT.","NO RAIN FALL UPTO 05.10.2014. BUT WEATHER WILL BE CLOUDY.","WEST BENGAL","HOOGHLY","PANDUA                                            ","2014-10-01 11:03:35.727"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BROWN LEAF HOPPER IN PADDY.","RECOMMENDED FOR TRIAZOPHOS 40%EC @ 1 ML/LIT. OF WATER.","WEST BENGAL","HOOGHLY","GOGHAT-I                                          ","2014-10-01 11:11:26.457"
"KHARIF","HORTICULTURE","Vegetables","Pointed Gourd","	Plant Protection	","CONTROL OF OF BROWN SPOTS IN POINTED GOURD","RECOMMENDED DOSE SPRAY COPPER OXYCHLORIDE 50%WP @ 4 GM/LIT OF WATER","WEST BENGAL","HOOGHLY","PURSURAH                                          ","2014-10-01 11:52:49.177"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF LEAF SPOT IN PADDY.","RECOMENDED FOR SPRAY CARBENDAZIM + MANCOZEB @ 2 GM / LITER OF WATER.","WEST BENGAL","HOOGHLY","PANDUA                                            ","2014-10-01 13:14:00.530"
"KHARIF","HORTICULTURE","Vegetables","Pumpkin","	Plant Protection	","CONTROL OF FRUIT  ROT IN PUMKING","RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50% WP @ 4GM/LIT. OF WATER","WEST BENGAL","HOOGHLY","HARIPAL                                           ","2014-10-01 13:38:33.297"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT IN  HUGLI","NO RAIN FALL UP TO NEXT FIVE DAYS(INDIA METEOROLOGICAL DEPARTMENT )","WEST BENGAL","HOOGHLY","DHANIAKHALI                                       ","2014-10-01 13:45:33.103"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BROWN PLANT HOPPER IN PADDY","RECOMMENDED FOR SPRAY ACEPHATE 75% SP @ 0.75GM/LIT. OF WATER","WEST BENGAL","HOOGHLY","PANDUA                                            ","2014-10-01 16:53:29.567"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF LEAF BLAST IN PADDY.","RECOMMENDED FOR SPRAY HEXACONAZOLE 5% SC @ 1.5 ML / LIT OF WATER.","WEST BENGAL","HOOGHLY","PURSURAH                                          ","2014-10-01 19:06:19.597"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","BRINJAL FRUIT BORER.","RECOMMENDED FOR SPRAY ACEPHATE 75%WP @ 1 GM./LIT. OF WATER FOR BRINJAL FRUIT BORER.","WEST BENGAL","HOOGHLY","POLBA-DADPUR                                      ","2014-10-01 19:32:26.640"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","BRINJAL FRUIT BORER.","RECOMMENDED FOR SPRAY ACEPHATE 75%WP @ 1 GM./LIT. OF WATER FOR BRINJAL FRUIT BORER.","WEST BENGAL","HOOGHLY","POLBA-DADPUR                                      ","2014-10-01 19:32:40.173"
"KHARIF","HORTICULTURE","Vegetables","Radish","	Plant Protection	","CONTROL OF BLACK SPORT OF LIEF IN RADISH","RECOMMENDED FOR SPARY MANCOZEB 75% W.P @ 2.5 GM/LIT OF WATER","WEST BENGAL","HOOGHLY","PURSURAH                                          ","2014-10-02 08:24:29.347"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF ROOT ROT IN PADDY","RECOMMENDED FOR SPRAY VALIDAMYCIN 2ML/LIT OF WATER","WEST BENGAL","HOOGHLY","POLBA-DADPUR                                      ","2014-10-02 11:37:16.760"
"KHARIF","HORTICULTURE","Vegetables","Potato","Cultural Practices","ASKING ABOUT CULTURAL PRACTICES IN POTATO","VARIETIES IN POTATO=Kufri Jyoti, Kufri Muthu, Kufri Swarna, Kufri Thangam, Kufri Malar, Kufri Soga and Kufri Giriraj are commonly cultivated.","WEST BENGAL","HOOGHLY","GOGHAT-I                                          ","2014-10-02 18:01:43.853"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","ASKING ABOUT CULTURAL PRACTICES IN PADDY","CONTACT WITH LOCAL BLOCK OFFICE -A.D.A AND K.P.S.","WEST BENGAL","HOOGHLY","ARAMBAGH                                          ","2014-10-02 19:00:03.870"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF SHOOT BORER IN BRINJAL","RECOMMENDED FOR SPRAY FLUBENDIAMIDE 39.35% S.C. @ 1 ML/5 LT. OF WATER","WEST BENGAL","HOOGHLY","POLBA-DADPUR                                      ","2014-10-03 07:56:34.527"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF  UNTIME HERBISIED APPLY IN PADDY.","RECOMMENDED FOR SPRAY MANCOZEB @ 2.58 GM / LIT OF WATER. AFTER 3 DAYS GRAD-2 @ 2 ML / LIT OF WATER.","WEST BENGAL","HOOGHLY","GOGHAT-I                                          ","2014-10-03 08:46:17.113"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF STEM BORER IN PADDY.","RECOMMENDED FOR SPRAY CARTAP HYDROCHLORIDE 50 % SP @1GM/ LIT. OF WATER.","WEST BENGAL","HOOGHLY","ARAMBAGH                                          ","2014-10-03 08:50:53.627"
"KHARIF","AGRICULTURE","Others","Others","Weather","WANT TO KNOW ABOUT WEATHER REPORT IN THE DISTRICT OF HOOGHLY","NO RAIN FALL IN THE DISTRICT OF HOOGHLY","WEST BENGAL","HOOGHLY","DHANIAKHALI                                       ","2014-10-03 09:27:39.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF STEM BORER IN PADDY.","RECOMMENDED FOR SPRAY ACEPHATE 75%SP @ 0.75 GM/ LIT. OF WATER.","WEST BENGAL","HOOGHLY","GOGHAT-II                                         ","2014-10-03 10:08:41.490"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF STEM BORER IN PADDY.","RECOMMENDED FOR SPRAY ACEPHATE 75%SP @ 0.75 GM/ LIT. OF WATER.","WEST BENGAL","HOOGHLY","GOGHAT-II                                         ","2014-10-03 10:10:13.383"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","ASKING ABOUT FERTILIZER DOSE IN MANGO.","RECOMMENDED FOR ADVICE TO USE ORGANIC MANURE AND N,P,K FERTILIZER BEFORE RAINY SEASON","WEST BENGAL","HOOGHLY","CHINSURAH-MAGRAH                                  ","2014-10-03 10:43:09.843"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BLAST IN PADDY.","RECOMMENDED FOR SPRAY TRICYCLAZOLE 75% WP @ 0.75 GM/LITER OF WATER.","WEST BENGAL","HOOGHLY","PANDUA                                            ","2014-10-03 11:36:29.723"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BROWN PLANT HOPPER IN PADDY.","RECOMMENDED FOR SPRAY BUFROFEZIN 25% S.C. @ 1 ML/LT. OF WATER","WEST BENGAL","HOOGHLY","GOGHAT-II                                         ","2014-10-03 12:26:25.703"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT.","NO RAINFALL WILL BE DONE FROM LAST FIVE DAYS.","WEST BENGAL","HOOGHLY","KHANAKUL-I                                        ","2014-10-03 12:31:58.043"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT IN HUGLI","PARTLY CLOUD SKY WITH POSSIBILITY OF RAIN OF THUNDERSTORM(INDIA METEOROLOGICAL DEPARTMENT ).","WEST BENGAL","HOOGHLY","GOGHAT-II                                         ","2014-10-03 13:00:27.030"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","PADDY STEM BORER.","RECOMMENDED FOR SPRAY ACEPHATE 75%WP @ 1 GM./LIT. OF WATER FOR PADDY STEM BORER.","WEST BENGAL","HOOGHLY","ARAMBAGH                                          ","2014-10-03 17:42:35.900"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF BROWN PLANT LEAFHOPPER IN PADDY.","RECOMMENDED FOR SPRAY BUPROFEZIN 25% S.C. @ 1 ML/ LIT. OF WATER.","WEST BENGAL","HOOGHLY","PURSURAH                                          ","2014-10-03 18:03:46.657"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT.","INDIA METEOROLOGICAL DEPARTMENT Rainfall (mm) - 04/10/14- 0 MM,05/10/14- 0 MM,06/10/14- 0 MM, 07/10/14- 3 MM, AND 08/10/14- 3 MM,","WEST BENGAL","HOOGHLY","PANDUA                                            ","2014-10-03 19:14:46.330"
