"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","HORTICULTURE","Fruits","Banana","","panama wilt","apply bleaching powder","ANDHRA PRADESH","EAST GODAVARI","Routhulapudi","2014-07-01 08:38:36.000"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","","dairy form","VETERNARY	040-23311720,  9848406211-koteshwar rao (knr)
040-24015316","ANDHRA PRADESH","EAST GODAVARI","ADDATEEGALA","2014-07-01 09:10:27.000"
"","AGRICULTURE","Others","Others","Weather","weather","hot and cloudy","ANDHRA PRADESH","EAST GODAVARI","KIRLAMPUDI","2014-07-01 09:15:34.000"
"","HORTICULTURE","Vegetables","Mushroom","","MUSHROOM","MUSHROOM	9912655843—RAJESHWARI Madam","ANDHRA PRADESH","EAST GODAVARI","BICCAVOLU","2014-07-01 13:56:05.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","sowing time","june       july","ANDHRA PRADESH","EAST GODAVARI","BICCAVOLU","2014-07-01 14:42:38.000"
"","AGRICULTURE","Others","Others","","abc","1800-425-1556-Agriclinic","ANDHRA PRADESH","EAST GODAVARI","THONDANGI","2014-07-01 14:57:05.000"
"","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","","mgmt  of green gram","ACEPHATE (ANTAF, ARTIN, LUCID )  300 GRAMS PER ACRE","ANDHRA PRADESH","EAST GODAVARI","SAMALKOTA","2014-07-01 15:35:24.000"
"","AGRICULTURE","Millets","Maize (Makka)","","phone number","18004251110","ANDHRA PRADESH","EAST GODAVARI","KOTHAPETA","2014-07-01 15:36:35.000"
"","AGRICULTURE","Others","Others","","soil testing addres","A stant Director of Agriculture, (Soil Testing Laboratory) Opp-Railway North Cabin, Samalkota-533440,East Godhavari District. ssi","ANDHRA PRADESH","EAST GODAVARI","MALIKIPURAM","2014-07-01 17:03:25.000"
"","HORTICULTURE","Vegetables","Beans ","","sucking","FIPRONIL(REGENT,2 ml/lt water","ANDHRA PRADESH","EAST GODAVARI","GOLLAPROLU","2014-07-01 17:04:35.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","weedicide","pretelakhlor 3ml/l","ANDHRA PRADESH","EAST GODAVARI","GOKAVARAM","2014-07-01 17:35:49.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","weeed problem","butachlor 1.5lit","ANDHRA PRADESH","EAST GODAVARI","KOTANANDURU","2014-07-01 17:50:03.000"
"","AGRICULTURE","Others","Others","","sowing time","june and july","ANDHRA PRADESH","EAST GODAVARI","KOTANANDURU","2014-07-01 19:46:16.000"
"","AGRICULTURE","Others","Others","","Soil Testing Laboratory","Samalkota	-	9505518044	08842-384238	Assistant Director of Agriculture, (Soil Testing Laboratory) Opp-Railway North Cabin, Samalkota-533440,East Godhavari District.","ANDHRA PRADESH","EAST GODAVARI","MALIKIPURAM","2014-07-02 07:23:13.000"
"","AGRICULTURE","Others","Others","","Agriclinic","Agriclinic 	1800-425-1556","ANDHRA PRADESH","EAST GODAVARI","KOTHAPETA","2014-07-02 07:25:26.000"
"","","","","","","","ANDHRA PRADESH","EAST GODAVARI","","2014-07-02 07:57:24.000"
"","AGRICULTURE","Millets","Maize (Makka)","","maize","040–24018447, 9989625219","ANDHRA PRADESH","EAST GODAVARI","KOTHAPETA","2014-07-02 10:40:07.000"
"","AGRICULTURE","Others","Others","","mushroom cultivation","040-25015011 ex.no 376","ANDHRA PRADESH","EAST GODAVARI","ADDATEEGALA","2014-07-02 14:34:03.000"
"","AGRICULTURE","Others","Others","","WEATHER REPORT","NO RAIN","ANDHRA PRADESH","EAST GODAVARI","ALLAVARAM","2014-07-02 14:54:24.000"
"","","","","","","","ANDHRA PRADESH","EAST GODAVARI","GOLLAPROLU","2014-07-02 15:02:59.000"
"","","","","","","","ANDHRA PRADESH","EAST GODAVARI","","2014-07-02 15:37:52.000"
"","HORTICULTURE","Fruits","Mango","","mango flower drop","planofix 2.5 ml/10 l water","ANDHRA PRADESH","EAST GODAVARI","GANDEPALLE","2014-07-02 16:12:02.000"
"","AGRICULTURE","Others","Others","","mature leaf","Apply UREA 10g per litre of water","ANDHRA PRADESH","EAST GODAVARI","GANGAVARAM","2014-07-02 17:41:14.000"
"","AGRICULTURE","Others","Others","","asked weather report","no rain next two days","ANDHRA PRADESH","EAST GODAVARI","DEVIPATNAM","2014-07-02 19:06:12.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","FERTILIZERS IN RICE","DAP AND POTASH","ANDHRA PRADESH","EAST GODAVARI","GANGAVARAM","2014-07-02 19:53:42.000"
"","AGRICULTURE","Others","Others","","asked weather report","no rain next two days","ANDHRA PRADESH","EAST GODAVARI","DEVIPATNAM","2014-07-02 19:56:41.000"
"","AGRICULTURE","Others","Others","","asked weather report","no rain next days","ANDHRA PRADESH","EAST GODAVARI","DEVIPATNAM","2014-07-02 20:16:13.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","asked about seeds","mahico poineer seeds","ANDHRA PRADESH","EAST GODAVARI","DEVIPATNAM","2014-07-02 20:21:48.000"
"","HORTICULTURE","Vegetables","Brinjal","","Brinjal poor growth","Spray MULTI-K 1kg per acre","ANDHRA PRADESH","EAST GODAVARI","GOLLAPROLU","2014-07-02 20:54:15.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","weather report","no rain","ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM","2014-07-03 10:47:57.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","cotton,variety details","lam hybrids1, narasimha","ANDHRA PRADESH","EAST GODAVARI","GOLLAPROLU","2014-07-03 10:48:36.000"
"","AGRICULTURE","Millets","Maize (Makka)","","LESS GERMINATION","LESS GERMINATION DUE TO SEED PROBLEM","ANDHRA PRADESH","EAST GODAVARI","BICCAVOLU","2014-07-03 13:32:35.000"
"","AGRICULTURE","Others","Others","","farm traing","contact 18004251110","ANDHRA PRADESH","EAST GODAVARI","AMALAPURAM","2014-07-03 15:47:24.000"
"","","","","","","","ANDHRA PRADESH","EAST GODAVARI","","2014-07-03 15:56:47.000"
"","AGRICULTURE","Others","Others","","h.o.number","K.Ajay Babu	A.D.Horticulture		8374449043
			0883 - 2442483","ANDHRA PRADESH","EAST GODAVARI","I. POLAVARAM","2014-07-03 16:31:27.000"
"","AGRICULTURE","Others","Others","","agriclinic","1800-425-1556-agriclinic","ANDHRA PRADESH","EAST GODAVARI","I. POLAVARAM","2014-07-03 17:20:46.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","nutrient management","apply zinc sulphate 20 kg/acre","ANDHRA PRADESH","EAST GODAVARI","KORUKONDA","2014-07-03 17:43:04.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","weedicide","BUTACHLOR(BILCHLOR,-25ml/5 lts water","ANDHRA PRADESH","EAST GODAVARI","GOKAVARAM","2014-07-03 17:44:29.000"
