"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Management","Asking about the medicine for poultry","Advice-Ambiplex-5ml/lit. of water  .Ostocalcium-5ml/lit. of water.","ASSAM","BONGAIGAON","DANGTOL                                           ","2014-10-01 09:38:38.670"
"RABI","AGRICULTURE","Others","Others","Credit","ASKING ABOUT KISAN CREDIT CARD.","EXPLAIN IN DETAILS ABOUT KISAN CREDIT CARD AND SUGGESTED TO CONTACT WITH NEAREST BANK.","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-10-02 14:56:27.107"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","QUERY REGARDING APPLICATION OF VITAMIN IN PADDY","RECIOMMENDED TO SPARY PADDY SPECIAL @ 2ML PER LITR OF WATER","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-10-02 16:38:47.263"
"JAYAD","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","AGRIL. RELATED QUERY","TRANSFERED TO EXPERT","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-10-06 14:43:49.410"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","ASKING FOR THE CONTROL OF FRUIT DROPPING IN COCONUT","ADVISED TO APPLY RECOMMENDED DOSE OF FERTILIZER","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-10-06 14:47:58.347"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","Cultural Practices","ASKING ABOUT THE PACKAGE OF PRACTICES OF GARLIC","GIVEN IN DETAILS ABOUT THE PACKAGE OF PRACTICES OF GARLIC","ASSAM","BONGAIGAON","DANGTOL                                           ","2014-10-09 15:33:38.133"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","ASKING ABOUT THE CONTROL OF FRUITS FLY","SPRAY MALATHION 50EC @ 2ML/LITRES OF WATER","ASSAM","BONGAIGAON","BOITAMARI                                         ","2014-10-14 11:50:37.720"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","CONTROL MEASURES OF FRUIT ROT","ADVICE TO SPRAY BLITOX 50 @ 2 GM/5 L WATER","ASSAM","BONGAIGAON","BOITAMARI                                         ","2014-10-14 12:20:16.140"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","AGRIL.QUERY","CALL TRANSFERRED TO EXPERT","ASSAM","BONGAIGAON","MANIKPUR                                          ","2014-10-15 14:22:59.720"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","ASKING ABOUT THE CULTURAL PRACICES OF POTATO","EXPLAINED IN DETAILS","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-10-17 09:15:44.623"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","asked about agri query","transffered","ASSAM","BONGAIGAON","SRIJANGRAM                                        ","2014-10-18 12:52:36.887"
