"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","ASKED ABOUT AGRI QUESTION","TRANSFFERED","ASSAM","CHIRANG","Manikpur(Part)","2014-10-05 07:03:08.823"
"RABI","HORTICULTURE","Vegetables","Spine Gourd","	Plant Protection	","ASKING ABOUT LEAF MINOR","ADVICE TO SPRAY MALATHION 50 EC @ 2 ML/L WATER","ASSAM","CHIRANG","Dangtola(Part)","2014-10-08 08:12:45.300"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","ASKING ABOUT FERTILIZER DOSE","ADVICE TO APPLY UREA=19 KG,SSP=45 KG,MOP=12 KG/BIGHA","ASSAM","CHIRANG","SIDLI-CHIRANG PART                                ","2014-10-15 19:28:00.157"
"RABI","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","Fertiliser management for 12 year coconut plant","I suggest him to apply FYM 50 kg, UREA 560 g, SSP 320 g,MOP 1200 g and Borax 250 g per plant.","ASSAM","CHIRANG","BOROBAZAR                                         ","2014-10-16 14:23:37.350"
"KHARIF","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","ASKING FOR THE SEED TREATMENT OF POTATO","RECOMMENDED FOR BAVISTIN @ 100 GM PER 50 LITRE OF WATER","ASSAM","CHIRANG","BOROBAZAR                                         ","2014-10-17 14:28:28.663"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ASKING CONTROL MEASURE OF EARLY BLIGHT IN TOMATO","APPLY SECTIN @ 2 GRAM PER LITRE OF WATER","ASSAM","CHIRANG","SIDLI-CHIRANG PART                                ","2014-10-20 17:01:45.730"
"KHARIF","HORTICULTURE","Vegetables","Pumpkin","	Plant Protection	","ASKING FOR THE CONTROL OF BACTERIAL WILT IN PUMPKIN","RECOMMENDED TO SPRAY STREPTOCYCLIN @ 2 GM PER 10 LITRE OF WATER","ASSAM","CHIRANG","BOROBAZAR                                         ","2014-10-22 08:37:55.150"
"RABI","HORTICULTURE","Vegetables","Radish","	Plant Protection	","agril.query","call transferred","ASSAM","CHIRANG","SIDLI-CHIRANG PART                                ","2014-10-22 18:17:46.363"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","ASKING FOR FERTILIZER REQUIRMENT IN ONE BIGHA OF POTATO","ADVISED TO USE 19 KG UREA 45 KG SUPER 12 KG POTASH PER BIGHA","ASSAM","CHIRANG","BOROBAZAR                                         ","2014-10-23 14:28:45.737"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","ASKING CONTROL MEASURE OF CERCOSPORA LEAF SPOT OF LENTIL","APPLY AMISTAR @ 1 ML PER LITRE OF WATER","ASSAM","CHIRANG","BOROBAZAR                                         ","2014-10-27 18:16:23.010"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","BACTERIAL WILT OF TOMATO","ADVISED TO SPRAY STREPTOMYCIN @ 1 GRAM / 10 LITRE WATER","ASSAM","CHIRANG","Dangtola(Part)","2014-10-29 10:49:04.240"
"RABI","AGRICULTURE","Oilseeds","Mustard","Fertilizer Use and Availability","WANTED TO KNOW THE AMOUNT OF FERTILIZER REQUIRED IN ONE BIGHA OF LAND","ADVISED TO APPLY 12 KG UREA 30 KG SUPER 3 KG POTASH AND 1.3 KG BORAX IN ONE BIGHA OF MUSTARD","ASSAM","CHIRANG","Dangtola(Part)","2014-10-29 11:09:38.073"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE TO CONTROL THRIPS IN TOMATO","SUGGESTED TO SPRAY ROGOR @2 GRAM/LITER OF WATER AT 15 DAYS INTERVAL","ASSAM","CHIRANG","BOROBAZAR                                         ","2014-10-29 11:14:32.683"
