"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Plantation Crops","Arecanut","Nutrient Management","ASKING FOR THE CONTROL OF FRUIT DROPPING IN ARECANUT","RECOMMENDED TO APLLY BORAX @ 1- 2 KG PER PLANT","ASSAM","DHUBRI","MANKACHAR                                         ","2014-10-01 08:09:17.020"
"RABI","HORTICULTURE","Flowers","Hibiscus (Gurhal)","	Plant Protection	","INSECT PROBLEM IN HIBISCUS","SPRAY ROGOR @ 2ML/LITRE OF WATER","ASSAM","DHUBRI","MANKACHAR                                         ","2014-10-02 07:14:01.333"
"RABI","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","Query about premature dropping of coconut","recommended him to apply borax @ 250g/10 L of water","ASSAM","DHUBRI","MANKACHAR                                         ","2014-10-02 08:31:31.707"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","BACTERIAL WILT OF CHILLY","ADVISED TO SPRAY STREPTOMYCIN @ 1 GRAM/ 10 LITRE WATER","ASSAM","DHUBRI","BILASIPARA                                        ","2014-10-02 12:56:52.917"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","QUERY REGARDING CONTROL MEASURES OF BACTERIAL WILT IN BRINJAL","RECOMMENDED TO SPARY STREPTOMYCIN @ 1GM PER 10 LITR OF WATER","ASSAM","DHUBRI","MAHAMAYA","2014-10-03 07:38:38.787"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Cultural Practices","QUERY REGARDING CULTURAL PRACTICE OF CHILLI","EXPLAINED DETAILS","ASSAM","DHUBRI","BILASIPARA                                        ","2014-10-03 08:49:04.463"
"KHARIF","HORTICULTURE","Fruits","Banana","Cultural Practices","WANTED TO KNOW THE PROCEDURE OF PLANTING BANANA","EXPLAINED IN DETAIL","ASSAM","DHUBRI","JAMADARHAT","2014-10-07 14:38:37.577"
"RABI","HORTICULTURE","Vegetables","Chillies","Agriculture Mechanization","ASKING ABOUT THE CULTIVATION PRACTICES OF CHILLIES","EXPLAINED IN DETAILS","ASSAM","DHUBRI","BILASIPARA                                        ","2014-10-08 09:50:22.963"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","ASKING RECOMMENDED FERTILIZER DOSE OF SUGARCANE","APPLY RECOMMENDED FERTILIZER DOSE LIKE-UREA @ 40 KG,SSP @60 KG,MOP @ 15 KG/BIGHA","ASSAM","DHUBRI","MANKACHAR                                         ","2014-10-09 19:32:18.757"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","CONTROL MEASURES 0F SUCKING PESTS","ADVICE TO SPRAY MALATHION 50 EC @ 2 ML/L WATER","ASSAM","DHUBRI","MANKACHAR                                         ","2014-10-09 19:42:32.520"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ASKING CONTROL MEASURE OF LEAF ROT IN BRINJAL","APPLY SECTIN 60WG(FENAMIDONE 10% + MANCOZEB 50%) @ 2 GRAM PER LITRE OF WATER","ASSAM","DHUBRI","GAURIPUR","2014-10-09 19:44:42.000"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Fertilizer Use and Availability","ASKING FOR FERTILIZER REQUIRMENT IN ONE BIGHA OF CHILLY","ADVISED TO APPLY 15 KG UREA SUPER 50 KG POTASH 13 KG AND ONE TON COWDUNG AS ADVISED","ASSAM","DHUBRI","DEBITOLA","2014-10-10 11:50:54.873"
