"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING CONTROL OF STORED GRAIN PEST ATTACK IN STORAGE OF PADDY","ADVISED TO APPLY AZADIRACTIN PESTICIDE","ASSAM","GOLAGHAT","GOLAGHAT NORTH                                    ","2014-08-01 15:39:47.000"
"RABI","HORTICULTURE","Plantation Crops","Tea","Cultural Practices","Query regarding tea management","Explained details","ASSAM","GOLAGHAT","GOLAGHAT CENTRAL                                  ","2014-08-01 16:13:00.000"
"JAYAD","FISHERIES","Inland","Fresh Water","Fishery Nutrition","ASKING QUERY FROM NUTRIENT MANAGEMENT IN FISH REARING","CALL FORWARDED TO FISHERY EXPERT","ASSAM","GOLAGHAT","MORONGI                                           ","2014-08-01 20:05:36.000"
"","HORTICULTURE","Fruits","Orange","	Plant Protection	","DISEASE IN ORANGE","CALL TRANSFERED TO AGRIL. EXPERT FOR CONSULTATION","ASSAM","GOLAGHAT","GOLAGHAT NORTH                                    ","2014-08-02 13:51:28.000"
"","AGRICULTURE","Others","Others","Credit","QUERY REGARDING KCC LOAN","DETAIL PROCEDURE OF AVAILING KCC LOAN EXPLAINED IN DETAIL","ASSAM","GOLAGHAT","GOLAGHAT WEST                                     ","2014-08-03 09:03:15.000"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","Query regarding cultural practice in paddy","Explained details","ASSAM","GOLAGHAT","GOLAGHAT EAST                                     ","2014-08-03 09:39:45.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","CULTURAL PRACTICE OF RICE","CALL TRANSFERED TO AGRIL. EXPERT FOR CONSULTATION","ASSAM","GOLAGHAT","GOLAGHAT SOUTH                                    ","2014-08-03 17:29:17.000"
"","HORTICULTURE","Vegetables","Bottle Gourd ","Fertilizer Use and Availability","ASKING FOR FERT DOSE OF BOTTLE GOURD","APPLY 7KG UREA, 32 KG SSP AND 10 KG MOP PER BIGHA AS BASAL DOSE","ASSAM","GOLAGHAT","GOLAGHAT SOUTH                                    ","2014-08-04 09:46:21.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","ASKING ABOUT FERTILIZER DOSES","ADVICE TO APPLY UREA=29 KG,SSP=50 KG,MOP=13 KG/BIGHA","ASSAM","GOLAGHAT","GOLAGHAT SOUTH                                    ","2014-08-04 10:57:59.000"
"","HORTICULTURE","Plantation Crops","Rubber","Training and Exposure Visits","ASKING ABOUT RUBBER CULIVATION TRAINING","ADVICE TO CONTACT WITH RUBBER BOARD REGIONAL OFFICE,JORHAT","ASSAM","GOLAGHAT","GOLAGHAT NORTH                                    ","2014-08-04 11:30:01.000"
"","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","ASKING ABOUT HERBICIDE ADVICE TO APPLY PARAQUAT,2,4 D ETC","ADVICE TO APPLY PARAQUAT,2,4 D ETC","ASSAM","GOLAGHAT","GOLAGHAT SOUTH                                    ","2014-08-04 13:01:09.000"
"","HORTICULTURE","Vegetables","Cabbage","","ASKING ABOUT VARITY OF CABBAGE","DRUM HEAD, PRIDE OF INDIA","ASSAM","GOLAGHAT","GOLAGHAT EAST                                     ","2014-08-04 14:18:11.000"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","Query regarding control measures of worm infestation in paddy seedlings","Suggested Apply Furadon @ 1 kg per bigha","ASSAM","GOLAGHAT","GOLAGHAT EAST                                     ","2014-08-05 08:50:28.000"
"","HORTICULTURE","Fruits","Banana","	Plant Protection	","CONTROL OF PSEUDOSTEM BORER IN BANANA","SPRAY MALATHION 50 EC @ 2 ML PER LITER OF WATER FOLLOWED BY SOIL APPLICATION OF FURADON @ 40 GM PER PLANT AROUND THE BASE","ASSAM","GOLAGHAT","KAKODONGA                                         ","2014-08-06 18:52:26.000"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer of rice","ADVISED TO SPRAY CLASSIC-20 OR TRICEL- 20 @ 2ML/ LITRE WATER","ASSAM","GOLAGHAT","MORONGI                                           ","2014-08-08 16:09:50.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","FERTILIZER TOP DRESSING DOSE OF RICE","TOP DRESS UREA-4KG,MOP-3KG/BIGHA","ASSAM","GOLAGHAT","GOLAGHAT EAST                                     ","2014-08-08 16:54:23.000"
"JAYAD","HORTICULTURE","Medicinal and Aromatic Plants","Betel Vine","	Plant Protection	","ASKING CONTROL OF PHYTOPHTHORA FOOT ROT IN BETEL VINE","SPRAY 1% BORDEAUX MIXTURE @ 100-150 ML PER VINE AT AN INTERVAL OF 15-20 DAYS FOR TWO TIMES","ASSAM","GOLAGHAT","GOLAGHAT WEST                                     ","2014-08-09 08:35:38.000"
