"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Plantation Crops","Arecanut","	Plant Protection	","ASKING ABOUT FRUIT DROP CONTROL","ADVICE TO APPLY BORAX @ 50 GM/PLANT","ASSAM","HAILAKANDI","SOUTH HAILAKANDI                                  ","2014-10-09 19:57:45.203"
"RABI","HORTICULTURE","Vegetables","Tomato","Nutrient Management","ASKING ABOUT THE BORAX DOSE FOR TOMATO CULTIVAION","ADVISED TO APPLY 1.5 KG /BIGHA","ASSAM","HAILAKANDI","LALA                                              ","2014-10-10 11:12:52.327"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","Asking about the Agricultural","Answer is transferred to Agri-expert","ASSAM","HAILAKANDI","LALA                                              ","2014-10-12 08:15:36.163"
"JAYAD","HORTICULTURE","Fruits","Orange","Nutrient Management","ASKING ABOUT MICRO-NUTRIENT REQUIREMENT IN ORANGE","SPRAY 'TRACEL' @ 2 GM PER LITER OF WATER","ASSAM","HAILAKANDI","HAILAKANDI                                        ","2014-10-12 19:59:49.413"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","Asking about the Agricultural","Answer is transferred to Agri-expert","ASSAM","HAILAKANDI","LALA                                              ","2014-10-13 09:04:28.890"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","Asking about the Agricultural","Answer is transferred to Agri-expert","ASSAM","HAILAKANDI","LALA                                              ","2014-10-14 08:01:12.173"
"RABI","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF FRUIT DROPPING IN TREE BEAN.","SUGGESTED TO SPRAY NAA @ 10 MG/LT OF WATER OR PLANOFIX @1ML/4 LT OF WATER OR GIBBERELLIC ACID 10 MG/LT OF WATER.","ASSAM","HAILAKANDI","LALA                                              ","2014-10-15 10:50:15.623"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE TO CONTROL PANAMA DISEASE IN BANANA (VARIETY-MALBHOG)","SUGGESTED TO MAKE  10 CENTIMETR HOLE IN DISEASED CORM AT AN ANGLE OF 45°.THE HOLE IS FILLED WITH 2%(20GRAM/LITER)CARBENDAZIM SOLUTION  AND ALSO TO PLANT HEALTHY PLANTING MATERIALS.","ASSAM","HAILAKANDI","HAILAKANDI                                        ","2014-10-20 15:06:27.030"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT THE SOIL SAMPLE COLLECTION METHOD FOR SOIL TEST","GIVEN IN DETAILS ABOUT THE SOIL SAMPLE COLLECTION METHOD","ASSAM","HAILAKANDI","ALGAPUR                                           ","2014-10-21 20:35:01.980"
"RABI","AGRICULTURE","Others","Others","Weather","ASKING FOR WEATHER REPORT OF HAILAKANDI DISTRICT OF ASSAM","EXPLAINED IN DETAIL","ASSAM","HAILAKANDI","ALGAPUR                                           ","2014-10-30 12:04:29.337"
"RABI","HORTICULTURE","Plantation Crops","Arecanut","Cultural Practices","ASKING ABOUT THE PACKAGE OF PRACTICES OF ARECA NUT","GIVEN IN DETAILS ABOUT THE CULTIVATION PRACTICES","ASSAM","HAILAKANDI","ALGAPUR                                           ","2014-10-30 12:08:49.360"
