"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INSECT CONTROL","Spray quinolphos @ 2 ml in one litre of water","BIHAR","BANKA","BARAHAT                                           ","2014-11-01 15:21:43.140"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","yellowing of leaves","Spray copper hydraoxide @ 2 gram in 1 litre of water","BIHAR","BANKA","BARAHAT                                           ","2014-11-01 15:36:00.947"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","insect problem","spray imidachlorpid @ 1 ml / 3 lt of water","BIHAR","BANKA","KATORIA                                           ","2014-11-01 16:48:41.447"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","BANKA","BANKA                                             ","2014-11-02 06:15:29.590"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","BANKA","DHURAIYA                                          ","2014-11-02 08:50:32.537"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","Insect infestation","Spray imidachloprid @ 1ml/3lit of water *","BIHAR","BANKA","BANKA                                             ","2014-11-03 12:50:10.617"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","pest management","malathion 20 kg/hectare","BIHAR","BANKA","RAJAUN                                            ","2014-11-04 14:22:01.167"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect problem","Spray quinalphos@ 1 ml in 1 litre of watera","BIHAR","BANKA","BANKA                                             ","2014-11-06 06:57:15.137"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Shoot & fruit borer","Quinalphos 25 % EC
 
1.5 ml/lit.","BIHAR","BANKA","BARAHAT                                           ","2014-11-06 09:05:46.983"
"RABI","HORTICULTURE","Plantation Crops","Sagoan","	Plant Protection	","INSECT PROBLEM","DUSTING WITH MAMATHION 5%","BIHAR","BANKA","BARAHAT                                           ","2014-11-06 09:59:49.820"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","seed treatment","bavistin 2 gram/liter/kilo seed","BIHAR","BANKA","BANKA                                             ","2014-11-07 08:31:23.293"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Weed Management","WEED CONTROL IN GRAM-","WEED CONTROL IN GRAM- ALACLORE 3-4 LITER/HA","BIHAR","BANKA","SHAMBHUGANJ                                       ","2014-11-13 09:13:51.087"
"RABI","HORTICULTURE","Vegetables","Brinjal","Field Preparation","variety of brinjal","best variety of brinjal- rajendra baigan-2, pant baigan, punjab sadabahar, sonali, pusa purple long, pusa anmol, arka navneet","BIHAR","BANKA","CHANDAN                                           ","2014-11-13 09:34:28.727"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Floriculture","ferlizer recomendation in maize","use urea-1.5kg,dap-500g,potash-1kg and give urea in three split dose on 20,45,and60days from the day of  sowing","BIHAR","BANKA","BARAHAT                                           ","2014-11-15 09:29:02.173"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","BANKA","DHURAIYA                                          ","2014-11-15 13:12:46.580"
"RABI","HORTICULTURE","Vegetables","Radish","	Plant Protection	","INSECT PROBLEM IN RADIISH PLANT","Spray methyl demeton or dimethoate @ 1 ml in one litter of water","BIHAR","BANKA","DHURAIYA                                          ","2014-11-15 13:17:01.533"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","insect problem","spray malathion @ 1 ml in one litre","BIHAR","BANKA","BAUSI                                             ","2014-11-15 15:16:41.413"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","FUNGAL PROBLEM","Spray copper oxycloride @ 2 gram in 1 litre of water","BIHAR","BANKA","FULLIDUMAR                                        ","2014-11-18 17:57:39.677"
"JAYAD","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","treated your seed","You treated your seed with capton, bavistin and thirum @ 2-2.5 gram per kg of seed","BIHAR","BANKA","SHAMBHUGANJ                                       ","2014-11-19 08:29:00.810"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Varieties","Weather information","Very low Cloudy weather in your area but no chance of rain","BIHAR","BANKA","BANKA                                             ","2014-11-19 10:17:45.287"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","insect problem","Spray cloropyriphos @ 1 ml in 1 litre of water","BIHAR","BANKA","FULLIDUMAR                                        ","2014-11-19 17:07:25.180"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","1.	What is the nutrient requirement for sugarcane?","An average crop of sugarcane yielding 100 t/ha removes 208kg of N, 53kg of P, 280kg of K, 30 kg of Sulphur, 3.4kg of iron, 1.2 kg of manganese, 0.6 kg of copper respectively from the soil. Hence, soil has to be replenished to maintain the productivity of sugarcane with the said quantities of nutrients.","BIHAR","BANKA","DHURAIYA                                          ","2014-11-20 07:33:53.153"
"KHARIF","HORTICULTURE","Vegetables","Ash Gourd (Petha)","	Plant Protection	","Insect infestation","Spray imidachloprid @ 1ml/3lit of water *","BIHAR","BANKA","BELHAR                                            ","2014-11-20 10:45:00.287"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","yellowing of leaves","Spray copper oxychloride @ 2 gram in 1 litre of water","BIHAR","BANKA","BANKA                                             ","2014-11-21 18:10:27.170"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Weed Management","WEED MANAGEMENT OF PULSES CROP","ALACHLOR 2ML/LITER OF WATER","BIHAR","BANKA","DHURAIYA                                          ","2014-11-22 08:01:45.770"
"RABI","HORTICULTURE","Fruits","Guava","	Plant Protection	","PLANT PROTECTION OF GUAVA","Spray cloropyriphos @ 1 ml in 1 litre of water","BIHAR","BANKA","BANKA                                             ","2014-11-22 11:32:56.943"
