"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","NO chance of rain","BIHAR","GOPALGANJ","KUCHAIKOTE                                        ","2014-12-01 15:19:31.840"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","FERTILIZER DOSE IN WHEAT","FERTILIZER DOSE IN WHEAT -  APPLY UREA @ 120 KG/HA , DAP @ 130 KG/HA , MOP - 70 KG/HA AT THE TIME OF LAND PREPARATION AND APPLY UREA @ 120 KG/HA AT THE TIME OF FIRST IRRIGATION","BIHAR","GOPALGANJ","KUCHAIKOTE                                        ","2014-12-01 15:45:22.347"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","Weather query","Very low Cloudy weather in your area no chance of rain","BIHAR","GOPALGANJ","BAIKUNTHPUR                                       ","2014-12-03 10:31:28.843"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","WILT DISEASE IN PIGEON PEA","SPRAY COPPEROXYCLORIDE @ 2GRAM/LITER OF WATER","BIHAR","GOPALGANJ","KUCHAIKOTE                                        ","2014-12-03 11:37:39.057"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","today and tomorrow NO chance of rain","BIHAR","GOPALGANJ","BHOREY                                            ","2014-12-03 15:54:18.197"
"RABI","AGRICULTURE","Others","Others","Weather","VARIETIES OF WHEAT","VARIETIES OF WHEAT-hd-2307,2285,2329,2643,2985","BIHAR","GOPALGANJ","BIJAIPUR                                          ","2014-12-03 19:11:54.100"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","yellowing of leaves","spray carbendazim @ 2 gm/lt of water","BIHAR","GOPALGANJ","KUCHAIKOTE                                        ","2014-12-04 08:37:10.800"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETIES OF WHEAT","VARIETIES OF WHEAT - HD-2733,HD-2967,PBW-343,PBW-443","BIHAR","GOPALGANJ","MANJHA                                            ","2014-12-05 16:40:32.667"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","weed managment in wheat","spray sulphosufuron @ 13 gram in acre","BIHAR","GOPALGANJ","BIJAIPUR                                          ","2014-12-06 12:47:48.473"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","no chance of rain","BIHAR","GOPALGANJ","KUCHAIKOTE                                        ","2014-12-08 10:20:45.653"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Seeds and Planting Material","Seed rate","Varieties : 8.0 kg / ha 
 Hybrids : 2.5 kg / ha","BIHAR","GOPALGANJ","SIDHWALIYA                                        ","2014-12-08 13:19:54.633"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Weather query","Very low Cloudy weather in your area no chance of rain","BIHAR","GOPALGANJ","PHULWARIYA                                        ","2014-12-09 17:42:36.950"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","NO CHANCE OF RAIN IN YOUR AREA","BIHAR","GOPALGANJ","HATHUA                                            ","2014-12-09 17:48:16.617"
"RABI","AGRICULTURE","Others","Others","Weather","weather information in gopalganj","cloudy
10°
RealFeel® 11°  

Hourly Forecast




Today

Dec 10


Sunny
Hi 26°

RealFeel 26°
 more 

 



Tonight

Dec 10


Clear
Lo 11°

RealFeel 10°
 more 

 



Tomorrow

Dec 11


Sunny to partly cloudy
Hi 26°

RealFeel 26°
 more","BIHAR","GOPALGANJ","MANJHA                                            ","2014-12-10 06:08:40.077"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","weather in your area but no chance of rain","BIHAR","GOPALGANJ","GOPALGANJ                                         ","2014-12-10 16:08:58.860"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","variety of wheat","variety of wheat pbw 373","BIHAR","GOPALGANJ","BAIKUNTHPUR                                       ","2014-12-12 19:16:53.653"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","Delay in growth","spray boomflower @ 2 ml / lt of water + Spray multi micro nutrients @ 2 ml in 1 litre of ater","BIHAR","GOPALGANJ","BARAULI                                           ","2014-12-13 14:58:44.973"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","LATE BLIGHT OF POTATO","SPRAY SAAF @ 2 GM /LITER OF WATER","BIHAR","GOPALGANJ","BHOREY                                            ","2014-12-13 18:08:13.700"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Tomato spotted wilt disease","sprays of phosalone 35 EC @ 1.5 ml/lit","BIHAR","GOPALGANJ","UCHKAGAON                                         ","2014-12-14 11:58:42.503"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","Today and tomorrow chance of rain","BIHAR","GOPALGANJ","KATAIYA                                           ","2014-12-14 18:10:28.363"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","white soil in the sugarcane field","spray carbaril @2ml/lit of water","BIHAR","GOPALGANJ","BARAULI                                           ","2014-12-15 18:18:19.240"
"RABI","HORTICULTURE","Vegetables","Potato","Nursery Management","WEED MANAGMENT IN POTATO","NO WEEDICIDE CAN BE APPLIED  AS POST EMERGENCE","BIHAR","GOPALGANJ","UCHKAGAON                                         ","2014-12-17 14:41:41.077"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Field Preparation	","How I do seed treatment","You treated your seed with capton, bavistin and thirum @ 2-2.5 gram per kg of seed","BIHAR","GOPALGANJ","KATAIYA                                           ","2014-12-18 11:59:46.710"
"KHARIF","HORTICULTURE","Vegetables","Amarphophallus (Surankand/Elephant Foot Yam)","	Plant Protection	","Delay in growth","Spray multi micro nutrients @ 2 ml in 1 litre of ater","BIHAR","GOPALGANJ","BHOREY                                            ","2014-12-18 18:18:24.937"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Delay in growth","spray boomflower @ 2 ml / lt of water","BIHAR","GOPALGANJ","GOPALGANJ                                         ","2014-12-19 18:16:50.910"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","WEED CONTROL IN WHEAT","SPRAY SULFOSALFURAN @ 16 GRAM /ACARE","BIHAR","GOPALGANJ","KUCHAIKOTE                                        ","2014-12-20 08:05:30.873"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","late of blight of potato","spray mencozeb @2g/lit of water","BIHAR","GOPALGANJ","PHULWARIYA                                        ","2014-12-20 17:08:03.047"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect problem","Spray quinalphos@ 1 ml in 1 litre of watera","BIHAR","GOPALGANJ","HATHUA                                            ","2014-12-22 12:23:38.530"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","WEED IN WHEAT","SPRAY TOTAL @ 16 GM./ACRE N 250LT. OF WATER","BIHAR","GOPALGANJ","BHOREY                                            ","2014-12-23 07:53:00.440"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","today and tomorrow no chance of rain","BIHAR","GOPALGANJ","PHULWARIYA                                        ","2014-12-23 13:48:55.163"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Weather information","Weather information/ Very low Cloudy weather in your area but no chance of rain","BIHAR","GOPALGANJ","BHOREY                                            ","2014-12-24 11:01:56.063"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Weed problem","Spray salfosulfuran @ 33-35 gram par hacter + 2 4 D @ 1 KG PER HACTARE IN 600-700 LITER OF WATER","BIHAR","GOPALGANJ","GOPALGANJ                                         ","2014-12-24 14:37:32.800"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","N
E
S
W

W 9 km/h 
Gusts: 20 km/h 
Cool with low clouds and fog

Max UV Index: 4 (Moderate) 
Thunderstorms: 0% 
Precipitation: 0 mm 
Rain: 0 mm 
Snow: 0 CM 
Ice: 0 mm 
Hours of Precipitation: 0 hrs 
Hours of Rain: 0 hrs","BIHAR","GOPALGANJ","BHOREY                                            ","2014-12-25 15:26:55.120"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","DISEASE IN WHEAT","SPRAY SAAF @ 2GM./LIT. OF WATER","BIHAR","GOPALGANJ","PANCHDEORI                                        ","2014-12-27 07:22:56.750"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEATHER","NO RAIN","BIHAR","GOPALGANJ","KATAIYA                                           ","2014-12-29 11:20:53.803"
"KHARIF","HORTICULTURE","Fruits","Litchi","Beekeeping","preventive measure of  flower drop","use ashyaray granules 8kg/acre in 200lit of water","BIHAR","GOPALGANJ","BIJAIPUR                                          ","2014-12-29 11:44:19.723"
"JAYAD","AGRICULTURE","Millets","Buck Wheat (Kaspat)","	Field Preparation	","fruit shading in mango","Spray planofix ml in 4.5- 5 liter of water","BIHAR","GOPALGANJ","BARAULI                                           ","2014-12-29 14:32:45.350"
"JAYAD","AGRICULTURE","Millets","Buck Wheat (Kaspat)","	Plant Protection	","fungicide","spray saaf @ 2ml in 1 litre of of water","BIHAR","GOPALGANJ","KATAIYA                                           ","2014-12-30 13:22:58.683"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","WEED PROBLEM IN WHEAT LAND ?","Sulfosulfuron 75% WG @ 13 gm/acre in 250 litter of water PER ACRE","BIHAR","GOPALGANJ","KATAIYA                                           ","2014-12-30 15:01:29.077"
